SHEF_A,Not Reported Fixed,Reported Fixed
Abandoned Vehicles,10472.0,3304.0
Accumulated Litter,425.0,1216.0
Barriers/Bollards on RoW,195.0,111.0
Benches/Bicycle Racks,28.0,13.0
Bin Collection,16.0,6.0
Bin Repair/Replacement,492.0,66.0
Blocked Drains,10535.0,2276.0
Bridge/Culvert Defects,1098.0,247.0
Broken Kerbs,687.0,309.0
Bus Stops Damage,721.0,364.0
Countryside RoW,1.0,
Dead Animals,1106.0,733.0
Debris/Spillage,630.0,112.0
Demo,13.0,6.0
Discarded Syringes,11.0,5.0
Dog Fouling,2822.0,837.0
Dog Litter Bin,129.0,12.0
Environmental Health,23.0,42.0
Fallen/Dangerous Trees,11260.0,1982.0
Fences,85.0,23.0
Flooding,3360.0,874.0
Fly-tipping,65209.0,27692.0
Flyposting,700.0,305.0
Garden Waste,189.0,87.0
Gates/Stiles RoW,210.0,40.0
General Highways Enquiries,1178.0,286.0
Graffiti,7975.0,2689.0
Grass/Weed Control,4003.0,316.0
Grids and Drains,158.0,6.0
Grit Bins,110.0,83.0
Gritting,10.0,
Grounds Maintenance,5.0,
Gullies,2499.0,951.0
Gully/Manhole Defects,581.0,78.0
Highway Condition,14075.0,3106.0
Highway Drainage,48.0,6.0
Ice & Snow,79.0,1.0
Leafing,357.0,14.0
Lewisham Homes,159.0,23.0
Litter/Litter Bin,4675.0,1718.0
Manhole Covers,2286.0,590.0
Manhole Defects,92.0,1.0
Missed Bin Collection,258.0,263.0
Noise,5.0,3.0
Obstruction,5449.0,1203.0
Open Spaces/Parks,4735.0,2807.0
Other,18258.0,5222.0
Overgrown Vegetation,11387.0,3344.0
Parking,9010.0,1302.0
Pavement /Footway Defects,21526.0,8047.0
Pest Control,1.0,
Phoenix HA,29.0,2.0
Potholes,52623.0,29818.0
Property Damage,2.0,1.0
Protected Trees,2.0,
Public Toilets,100.0,29.0
Recycling,77.0,46.0
Retaining Wall,71.0,6.0
Right of Way,1995.0,496.0
Road Markings,3976.0,1245.0
Road Safety,135.0,32.0
Road Surface Defects,13288.0,7676.0
Road Works,2185.0,197.0
Road/Pavement Defects,721.0,33.0
Rubbish,6245.0,3819.0
Salt Bins,12.0,8.0
Shopping Trolley,197.0,24.0
Skips,6.0,2.0
Spillage on Road,346.0,41.0
Street Cleaning,10980.0,10313.0
Street Furniture,1234.0,454.0
Street Lights,20255.0,21147.0
Street Name Plates,1484.0,311.0
Street Signs,10517.0,2173.0
Trade Waste,59.0,18.0
Traffic Lights,2325.0,1290.0
Trees and Hedges RoW,920.0,183.0
Trees on RoW,177.0,61.0
Trip Hazard,759.0,398.0
Utility Works,852.0,131.0
Vehicle Access,16.0,3.0
Verge Damage,480.0,62.0
Zebra Crossing,38.0,3.0
