SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,5.0,14.0,11.0,22.0,23.0,14.0,20.0,7.0,5.0,7.0
Bus Stops Damage,,2.0,6.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0
Dog Fouling,2.0,17.0,16.0,29.0,14.0,25.0,26.0,15.0,16.0,21.0
Highways Enquiries,175.0,74.0,89.0,106.0,79.0,94.0,105.0,89.0,80.0,92.0
Incivilities,,6.0,24.0,11.0,9.0,9.0,17.0,13.0,7.0,6.0
Open Spaces/Parks,3.0,14.0,21.0,13.0,20.0,17.0,28.0,13.0,17.0,36.0
Other,54.0,53.0,78.0,96.0,61.0,62.0,97.0,70.0,54.0,59.0
Overgrown/Fallen Veg/Trees,44.0,24.0,17.0,35.0,20.0,25.0,56.0,33.0,32.0,29.0
Parking,18.0,34.0,37.0,43.0,37.0,49.0,43.0,36.0,41.0,48.0
Pavement /Footway Defects,54.0,64.0,92.0,79.0,88.0,84.0,83.0,89.0,60.0,102.0
Public Toilets,,,,1.0,2.0,1.0,2.0,2.0,,1.0
Road Safety,24.0,20.0,20.0,28.0,24.0,22.0,15.0,22.0,8.0,21.0
Road Surface Defects,424.0,211.0,216.0,275.0,135.0,170.0,186.0,148.0,173.0,188.0
Rubbish,124.0,388.0,308.0,249.0,211.0,180.0,260.0,187.0,141.0,113.0
Street Furniture,1.0,1.0,6.0,8.0,2.0,2.0,1.0,4.0,2.0,5.0
Street Lights,38.0,75.0,122.0,120.0,105.0,141.0,125.0,84.0,78.0,129.0
