SHEF_A,A1,B1,C1,C2,D1,D2,E1,E2
Abandoned Vehicles,7111.0,151.0,4800.0,9.0,746.0,14.0,698.0,16.0
Accumulated Litter,205.0,,1185.0,,46.0,,205.0,
Barriers/Bollards on RoW,85.0,,161.0,,16.0,,44.0,
Benches/Bicycle Racks,,,29.0,,6.0,,6.0,
Bin Collection,,,5.0,,7.0,,10.0,
Bin Repair/Replacement,319.0,,179.0,,40.0,,20.0,
Blocked Drains,1320.0,,5740.0,35.0,2233.0,21.0,3395.0,63.0
Bridge/Culvert Defects,19.0,1.0,496.0,4.0,255.0,2.0,550.0,18.0
Broken Kerbs,42.0,,583.0,1.0,160.0,2.0,204.0,4.0
Bus Stops Damage,407.0,73.0,454.0,2.0,58.0,1.0,41.0,1.0
Countryside RoW,,,1.0,,,,,
Dead Animals,1077.0,1.0,417.0,,113.0,,231.0,
Debris/Spillage,271.0,3.0,200.0,,86.0,,182.0,
Demo,19.0,,,,,,,
Discarded Syringes,,,16.0,,,,,
Dog Fouling,1186.0,146.0,1667.0,21.0,232.0,4.0,148.0,10.0
Dog Litter Bin,9.0,,95.0,,27.0,,10.0,
Environmental Health,,,60.0,,3.0,,2.0,
Fallen/Dangerous Trees,2570.0,173.0,6580.0,6.0,1666.0,8.0,2033.0,53.0
Fences,50.0,,37.0,,9.0,,11.0,1.0
Flooding,525.0,3.0,1738.0,12.0,598.0,8.0,1302.0,48.0
Fly-tipping,58105.0,2707.0,18433.0,12.0,3751.0,25.0,8431.0,104.0
Flyposting,372.0,31.0,405.0,3.0,71.0,3.0,114.0,2.0
Garden Waste,276.0,,,,,,,
Gates/Stiles RoW,,,12.0,,87.0,,151.0,
General Highways Enquiries,868.0,,525.0,,34.0,,37.0,
Graffiti,8492.0,75.0,1707.0,1.0,118.0,2.0,96.0,2.0
Grass/Weed Control,626.0,,2263.0,1.0,608.0,,818.0,2.0
Grids and Drains,88.0,,75.0,,1.0,,,
Grit Bins,,,97.0,,26.0,,65.0,5.0
Gritting,1.0,,8.0,,,,1.0,
Grounds Maintenance,,,3.0,,,,2.0,
Gullies,216.0,,2365.0,,193.0,,673.0,
Gully/Manhole Defects,108.0,,282.0,,89.0,,180.0,
Highway Condition,4431.0,686.0,6382.0,21.0,1688.0,67.0,2615.0,202.0
Highway Drainage,,,17.0,,8.0,,29.0,
Ice & Snow,2.0,,36.0,,10.0,,32.0,
Leafing,370.0,,1.0,,,,,
Lewisham Homes,182.0,,,,,,,
Litter/Litter Bin,4013.0,2.0,1783.0,,323.0,,269.0,3.0
Manhole Covers,592.0,,1253.0,18.0,502.0,5.0,479.0,27.0
Manhole Defects,85.0,,2.0,,4.0,,1.0,1.0
Missed Bin Collection,521.0,,,,,,,
Noise,,,8.0,,,,,
Obstruction,1868.0,,3130.0,24.0,601.0,17.0,934.0,78.0
Open Spaces/Parks,4330.0,203.0,2254.0,7.0,274.0,7.0,253.0,15.0
Other,7100.0,560.0,10256.0,30.0,2167.0,36.0,2525.0,97.0
Overgrown Vegetation,3492.0,18.0,6937.0,28.0,1949.0,10.0,2231.0,65.0
Parking,3985.0,468.0,4372.0,22.0,667.0,28.0,432.0,23.0
Pavement /Footway Defects,9275.0,676.0,13811.0,19.0,2822.0,45.0,2109.0,64.0
Pest Control,,,1.0,,,,,
Phoenix HA,31.0,,,,,,,
Potholes,7662.0,855.0,32738.0,137.0,13125.0,187.0,22343.0,1266.0
Property Damage,,,1.0,,1.0,,1.0,
Protected Trees,2.0,,,,,,,
Public Toilets,27.0,19.0,58.0,,9.0,2.0,7.0,
Recycling,,,123.0,,,,,
Retaining Wall,,,72.0,,2.0,,3.0,
Right of Way,548.0,,920.0,,196.0,,807.0,20.0
Road Markings,95.0,5.0,2892.0,18.0,915.0,9.0,1212.0,68.0
Road Safety,,,54.0,1.0,31.0,,77.0,4.0
Road Surface Defects,7309.0,3.0,7823.0,31.0,1803.0,18.0,3776.0,199.0
Road Works,312.0,2.0,1231.0,,401.0,2.0,426.0,8.0
Road/Pavement Defects,287.0,,312.0,,64.0,,91.0,
Rubbish,4124.0,845.0,3412.0,5.0,494.0,9.0,572.0,26.0
Salt Bins,,,10.0,,1.0,,9.0,
Shopping Trolley,209.0,,12.0,,,,,
Skips,,,6.0,,1.0,,1.0,
Spillage on Road,96.0,,169.0,,34.0,,88.0,
Street Cleaning,15400.0,658.0,3706.0,6.0,510.0,15.0,715.0,17.0
Street Furniture,542.0,,849.0,3.0,171.0,,121.0,
Street Lights,8793.0,347.0,23418.0,159.0,4496.0,94.0,2724.0,97.0
Street Name Plates,365.0,31.0,971.0,5.0,175.0,2.0,212.0,4.0
Street Signs,3119.0,151.0,5371.0,9.0,1443.0,18.0,2383.0,33.0
Trade Waste,75.0,,2.0,,,,,
Traffic Lights,404.0,95.0,2278.0,4.0,312.0,5.0,285.0,2.0
Trees and Hedges RoW,65.0,,610.0,,151.0,,277.0,
Trees on RoW,32.0,,177.0,,11.0,,18.0,
Trip Hazard,,,580.0,24.0,290.0,7.0,234.0,22.0
Utility Works,156.0,,655.0,,102.0,,70.0,
Vehicle Access,,,12.0,,,,7.0,
Zebra Crossing,6.0,,31.0,,1.0,,3.0,
