SHEF_A,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Abandoned Vehicles,2289.0,2253.0,2136.0,2069.0,1933.0,1542.0,1554.0
Accumulated Litter,331.0,264.0,285.0,278.0,250.0,108.0,125.0
Barriers/Bollards on RoW,54.0,50.0,52.0,51.0,48.0,26.0,25.0
Benches/Bicycle Racks,12.0,5.0,7.0,8.0,3.0,3.0,3.0
Bin Collection,3.0,4.0,2.0,5.0,3.0,,5.0
Bin Repair/Replacement,126.0,88.0,90.0,85.0,77.0,45.0,47.0
Blocked Drains,2360.0,1965.0,2172.0,2288.0,1745.0,986.0,1295.0
Bridge/Culvert Defects,237.0,236.0,236.0,205.0,187.0,102.0,142.0
Broken Kerbs,163.0,170.0,154.0,182.0,163.0,77.0,87.0
Bus Stops Damage,217.0,171.0,151.0,160.0,134.0,125.0,127.0
Countryside RoW,,,,1.0,,,
Dead Animals,354.0,267.0,265.0,268.0,271.0,210.0,204.0
Debris/Spillage,129.0,106.0,144.0,128.0,129.0,56.0,50.0
Demo,,3.0,8.0,1.0,,4.0,3.0
Discarded Syringes,2.0,4.0,2.0,5.0,2.0,1.0,
Dog Fouling,591.0,567.0,629.0,576.0,477.0,412.0,407.0
Dog Litter Bin,31.0,36.0,21.0,17.0,14.0,7.0,15.0
Environmental Health,13.0,12.0,13.0,12.0,7.0,6.0,2.0
Fallen/Dangerous Trees,2490.0,2299.0,2203.0,1908.0,1842.0,1027.0,1473.0
Fences,24.0,24.0,13.0,23.0,12.0,4.0,8.0
Flooding,709.0,693.0,826.0,785.0,496.0,306.0,419.0
Fly-tipping,16076.0,14773.0,14060.0,13488.0,12190.0,10844.0,11470.0
Flyposting,169.0,147.0,162.0,146.0,150.0,116.0,115.0
Garden Waste,37.0,42.0,49.0,53.0,41.0,34.0,20.0
Gates/Stiles RoW,43.0,39.0,43.0,45.0,27.0,28.0,25.0
General Highways Enquiries,280.0,269.0,235.0,225.0,193.0,114.0,148.0
Graffiti,1852.0,1578.0,1492.0,1434.0,1464.0,1186.0,1658.0
Grass/Weed Control,791.0,741.0,804.0,762.0,569.0,296.0,356.0
Grids and Drains,16.0,28.0,20.0,51.0,17.0,14.0,18.0
Grit Bins,38.0,37.0,34.0,43.0,20.0,6.0,15.0
Gritting,2.0,3.0,2.0,1.0,2.0,,
Grounds Maintenance,1.0,,2.0,1.0,1.0,,
Gullies,627.0,584.0,618.0,580.0,452.0,286.0,303.0
Gully/Manhole Defects,107.0,106.0,106.0,88.0,97.0,79.0,76.0
Highway Condition,2592.0,2672.0,2714.0,2624.0,2448.0,1967.0,2164.0
Highway Drainage,5.0,7.0,1.0,8.0,12.0,8.0,13.0
Ice & Snow,31.0,12.0,14.0,7.0,6.0,3.0,7.0
Leafing,69.0,56.0,56.0,60.0,38.0,38.0,54.0
Lewisham Homes,28.0,38.0,30.0,25.0,16.0,14.0,31.0
Litter/Litter Bin,1154.0,936.0,823.0,864.0,745.0,946.0,925.0
Manhole Covers,533.0,482.0,489.0,509.0,416.0,242.0,205.0
Manhole Defects,10.0,21.0,20.0,18.0,14.0,6.0,4.0
Missed Bin Collection,106.0,87.0,90.0,95.0,85.0,28.0,30.0
Noise,,,1.0,1.0,2.0,2.0,2.0
Obstruction,1176.0,1137.0,1114.0,1079.0,961.0,539.0,646.0
Open Spaces/Parks,1231.0,1254.0,1080.0,1053.0,917.0,967.0,1040.0
Other,4013.0,3803.0,3731.0,3585.0,3535.0,2328.0,2485.0
Overgrown Vegetation,2769.0,2668.0,2446.0,2402.0,2274.0,947.0,1225.0
Parking,1583.0,1661.0,1587.0,1610.0,1459.0,1185.0,1227.0
Pavement /Footway Defects,5234.0,4967.0,4905.0,4616.0,4150.0,2734.0,2967.0
Pest Control,,,,,,1.0,
Phoenix HA,4.0,4.0,7.0,5.0,4.0,3.0,4.0
Potholes,13513.0,13469.0,14160.0,13157.0,11739.0,8024.0,8379.0
Property Damage,1.0,,,,1.0,,1.0
Protected Trees,,1.0,,1.0,,,
Public Toilets,19.0,16.0,18.0,15.0,23.0,21.0,17.0
Recycling,8.0,19.0,19.0,20.0,14.0,22.0,21.0
Retaining Wall,12.0,12.0,13.0,13.0,16.0,8.0,3.0
Right of Way,444.0,458.0,336.0,360.0,322.0,331.0,240.0
Road Markings,933.0,858.0,920.0,942.0,795.0,368.0,405.0
Road Safety,38.0,31.0,22.0,29.0,23.0,9.0,15.0
Road Surface Defects,3635.0,3547.0,3496.0,3400.0,2977.0,1874.0,2035.0
Road Works,424.0,434.0,441.0,420.0,349.0,150.0,164.0
Road/Pavement Defects,130.0,134.0,148.0,112.0,128.0,43.0,59.0
Rubbish,1678.0,1547.0,1506.0,1441.0,1311.0,1217.0,1364.0
Salt Bins,4.0,4.0,3.0,1.0,3.0,2.0,3.0
Shopping Trolley,29.0,46.0,30.0,27.0,31.0,30.0,28.0
Skips,2.0,2.0,1.0,1.0,2.0,,
Spillage on Road,64.0,62.0,64.0,59.0,71.0,37.0,30.0
Street Cleaning,3876.0,3456.0,3367.0,3163.0,2710.0,2137.0,2584.0
Street Furniture,314.0,311.0,280.0,266.0,262.0,118.0,137.0
Street Lights,6917.0,6874.0,6965.0,6427.0,5572.0,4011.0,4636.0
Street Name Plates,296.0,311.0,290.0,287.0,249.0,173.0,189.0
Street Signs,2174.0,2085.0,2032.0,2012.0,1802.0,1284.0,1301.0
Trade Waste,14.0,14.0,18.0,5.0,13.0,9.0,4.0
Traffic Lights,628.0,576.0,594.0,549.0,485.0,350.0,433.0
Trees and Hedges RoW,179.0,193.0,185.0,142.0,141.0,109.0,154.0
Trees on RoW,40.0,51.0,30.0,30.0,32.0,22.0,33.0
Trip Hazard,226.0,213.0,182.0,191.0,171.0,81.0,93.0
Utility Works,210.0,174.0,173.0,165.0,156.0,52.0,53.0
Vehicle Access,3.0,2.0,3.0,5.0,2.0,3.0,1.0
Zebra Crossing,6.0,7.0,8.0,6.0,5.0,4.0,5.0
