SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,19.0,39.0,21.0,34.0,21.0,21.0,22.0,18.0,9.0,17.0
Bus Stops Damage,5.0,4.0,5.0,8.0,4.0,6.0,6.0,3.0,3.0,4.0
Dog Fouling,19.0,29.0,15.0,65.0,13.0,10.0,33.0,21.0,7.0,17.0
Highways Enquiries,73.0,92.0,41.0,94.0,74.0,103.0,123.0,134.0,133.0,169.0
Incivilities,11.0,9.0,12.0,17.0,14.0,17.0,21.0,21.0,18.0,31.0
Open Spaces/Parks,26.0,17.0,13.0,24.0,19.0,22.0,16.0,17.0,20.0,23.0
Other,57.0,54.0,53.0,58.0,63.0,67.0,93.0,69.0,76.0,100.0
Overgrown/Fallen Veg/Trees,10.0,9.0,16.0,7.0,20.0,13.0,22.0,12.0,22.0,16.0
Parking,34.0,40.0,39.0,25.0,27.0,37.0,22.0,31.0,21.0,31.0
Pavement /Footway Defects,60.0,84.0,56.0,75.0,48.0,88.0,82.0,62.0,72.0,106.0
Public Toilets,,,,3.0,,,,,2.0,2.0
Road Safety,13.0,32.0,27.0,47.0,39.0,32.0,42.0,41.0,58.0,49.0
Road Surface Defects,273.0,271.0,229.0,306.0,348.0,367.0,445.0,606.0,631.0,577.0
Rubbish,176.0,209.0,208.0,445.0,217.0,123.0,184.0,150.0,114.0,254.0
Street Furniture,4.0,1.0,1.0,3.0,2.0,2.0,3.0,5.0,2.0,4.0
Street Lights,130.0,110.0,93.0,130.0,104.0,89.0,131.0,113.0,121.0,153.0
