SHEF_B,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Abandoned Vehicles,2289.0,2253.0,2136.0,2069.0,1933.0,1542.0,1554.0
Bin Replacement,157.0,124.0,111.0,102.0,91.0,52.0,62.0
Bridge/Culvert Defects,237.0,236.0,236.0,205.0,187.0,102.0,142.0
Bus Stops Damage,217.0,171.0,151.0,160.0,134.0,125.0,127.0
Dangerous Building/Structure,33.0,20.0,15.0,20.0,10.0,11.0,7.0
Dog Fouling,591.0,567.0,629.0,576.0,477.0,412.0,407.0
Drainage,4367.0,3886.0,4252.0,4327.0,3249.0,1927.0,2333.0
Environmental Health,367.0,279.0,278.0,280.0,278.0,217.0,206.0
Fences,24.0,24.0,13.0,23.0,12.0,4.0,8.0
Gritting,75.0,56.0,53.0,52.0,31.0,11.0,25.0
Grounds Maintenance,431.0,447.0,451.0,438.0,367.0,163.0,167.0
Highways Enquiries,2862.0,2922.0,2938.0,2827.0,2620.0,2068.0,2304.0
Incivilities,2042.0,1767.0,1683.0,1604.0,1644.0,1334.0,1802.0
Open Spaces/Parks,1231.0,1254.0,1080.0,1053.0,917.0,967.0,1040.0
Other,4208.0,4019.0,3930.0,3799.0,3718.0,2426.0,2610.0
Overgrown/Fallen Veg/Trees,5981.0,5624.0,5397.0,5034.0,4644.0,2236.0,3027.0
Parking,1583.0,1661.0,1587.0,1610.0,1459.0,1185.0,1227.0
Pavement /Footway Defects,3086.0,2933.0,2926.0,2797.0,2537.0,2018.0,2174.0
Property Damage,1.0,,,,1.0,,1.0
Public Toilets,19.0,16.0,18.0,15.0,23.0,21.0,17.0
Retaining Wall,12.0,12.0,13.0,13.0,16.0,8.0,3.0
Right of Way,2968.0,2920.0,2698.0,2538.0,2203.0,1402.0,1484.0
Road Safety,3814.0,3510.0,3624.0,3571.0,3122.0,1970.0,2132.0
Road Surface Defects,18346.0,18162.0,18795.0,17594.0,15747.0,10292.0,10891.0
Rubbish,21370.0,19459.0,18595.0,17875.0,16123.0,14288.0,15254.0
Street Furniture,3184.0,2990.0,2812.0,2704.0,2317.0,1683.0,1958.0
Street Lights,6917.0,6874.0,6965.0,6427.0,5572.0,4011.0,4636.0
Utility Works,210.0,174.0,173.0,165.0,156.0,52.0,53.0
