SHEF_B,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Abandoned Vehicles,77.0,43.0,33.0,30.0,20.0,36.0,100.0,341.0,643.0,1079.0,1162.0,1183.0,1184.0,1094.0,1151.0,1072.0,995.0,838.0,694.0,614.0,502.0,403.0,292.0,190.0
Bridge/Culvert Defects,8.0,2.0,,2.0,,4.0,7.0,22.0,47.0,103.0,139.0,141.0,125.0,100.0,124.0,128.0,108.0,69.0,61.0,42.0,44.0,38.0,19.0,12.0
Bus Stops Damage,11.0,12.0,19.0,1.0,8.0,13.0,15.0,39.0,62.0,70.0,75.0,97.0,91.0,64.0,77.0,61.0,77.0,58.0,43.0,47.0,44.0,46.0,22.0,33.0
Dangerous Building/Structure,1.0,,,,,,,1.0,3.0,10.0,5.0,11.0,13.0,11.0,14.0,9.0,10.0,5.0,2.0,10.0,4.0,6.0,,1.0
Dog Fouling,22.0,15.0,9.0,3.0,2.0,11.0,23.0,100.0,299.0,389.0,312.0,327.0,293.0,289.0,315.0,274.0,230.0,162.0,134.0,124.0,122.0,75.0,74.0,55.0
Environmental Health,21.0,14.0,3.0,6.0,1.0,12.0,52.0,100.0,182.0,235.0,204.0,166.0,144.0,123.0,130.0,100.0,101.0,59.0,59.0,54.0,42.0,50.0,29.0,18.0
Fences,1.0,1.0,,,,,,1.0,6.0,16.0,10.0,9.0,4.0,14.0,7.0,13.0,7.0,4.0,1.0,3.0,3.0,5.0,2.0,1.0
Gritting,1.0,,1.0,,,,2.0,3.0,19.0,38.0,30.0,42.0,34.0,18.0,28.0,27.0,24.0,7.0,10.0,3.0,4.0,6.0,4.0,2.0
Grounds Maintenance,8.0,9.0,10.0,11.0,7.0,12.0,18.0,46.0,139.0,207.0,245.0,237.0,211.0,173.0,218.0,231.0,191.0,128.0,85.0,59.0,71.0,54.0,58.0,36.0
Open Spaces/Parks,66.0,39.0,13.0,6.0,13.0,9.0,66.0,220.0,418.0,650.0,604.0,672.0,600.0,550.0,586.0,573.0,514.0,406.0,402.0,341.0,287.0,250.0,151.0,106.0
Other,230.0,101.0,76.0,33.0,46.0,72.0,220.0,620.0,1197.0,1868.0,2030.0,2155.0,1965.0,1906.0,1990.0,2008.0,1764.0,1344.0,1116.0,1032.0,964.0,812.0,739.0,422.0
Parking,101.0,53.0,29.0,17.0,19.0,38.0,84.0,249.0,509.0,766.0,745.0,760.0,757.0,725.0,799.0,888.0,768.0,605.0,607.0,472.0,485.0,377.0,298.0,161.0
Pavement /Footway Defects,141.0,78.0,34.0,19.0,27.0,43.0,159.0,368.0,831.0,1346.0,1529.0,1579.0,1530.0,1423.0,1525.0,1485.0,1404.0,1090.0,896.0,817.0,752.0,575.0,534.0,286.0
Property Damage,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,
Public Toilets,3.0,1.0,,,,,5.0,2.0,3.0,8.0,7.0,13.0,12.0,15.0,9.0,12.0,9.0,12.0,4.0,7.0,2.0,1.0,3.0,1.0
Retaining Wall,,1.0,,,,,,2.0,6.0,7.0,5.0,12.0,3.0,6.0,8.0,5.0,5.0,4.0,3.0,5.0,1.0,1.0,1.0,2.0
Right of Way,83.0,59.0,26.0,18.0,24.0,28.0,113.0,337.0,805.0,1463.0,1616.0,1501.0,1402.0,1292.0,1461.0,1429.0,1191.0,773.0,651.0,543.0,503.0,384.0,316.0,195.0
Road Safety,204.0,93.0,62.0,53.0,39.0,71.0,196.0,569.0,1099.0,1637.0,1817.0,1926.0,1817.0,1660.0,1714.0,1697.0,1469.0,1151.0,926.0,854.0,833.0,769.0,621.0,466.0
Road Surface Defects,777.0,381.0,185.0,170.0,122.0,296.0,871.0,2930.0,5507.0,8044.0,8777.0,8916.0,8977.0,8909.0,8871.0,8820.0,7717.0,6199.0,5359.0,4868.0,4486.0,3968.0,3045.0,1632.0
Rubbish,907.0,356.0,175.0,117.0,124.0,279.0,1164.0,3457.0,7363.0,10158.0,10695.0,11113.0,10481.0,10028.0,9762.0,9497.0,8295.0,6933.0,5832.0,4817.0,4089.0,3306.0,2480.0,1536.0
Street Furniture,177.0,50.0,34.0,17.0,19.0,40.0,154.0,567.0,1084.0,1671.0,1717.0,1589.0,1469.0,1391.0,1300.0,1282.0,1218.0,834.0,736.0,618.0,557.0,502.0,347.0,275.0
Street Lights,866.0,441.0,251.0,187.0,154.0,262.0,484.0,966.0,1554.0,2395.0,2636.0,2500.0,2158.0,1978.0,2091.0,1924.0,2088.0,2298.0,2382.0,2770.0,3153.0,3295.0,2958.0,1611.0
Utility Works,4.0,2.0,3.0,3.0,5.0,3.0,15.0,17.0,77.0,85.0,122.0,88.0,83.0,68.0,85.0,87.0,69.0,47.0,44.0,22.0,16.0,12.0,16.0,10.0
