SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,15.0,37.0,30.0,25.0,22.0,19.0,18.0,16.0,21.0,18.0
Bus Stops Damage,1.0,7.0,8.0,5.0,4.0,3.0,1.0,10.0,5.0,4.0
Dog Fouling,31.0,51.0,17.0,32.0,23.0,15.0,16.0,11.0,13.0,20.0
Highways Enquiries,85.0,75.0,53.0,65.0,81.0,93.0,144.0,142.0,125.0,173.0
Incivilities,10.0,10.0,9.0,13.0,13.0,15.0,21.0,29.0,23.0,28.0
Open Spaces/Parks,25.0,18.0,18.0,27.0,24.0,18.0,8.0,22.0,14.0,23.0
Other,67.0,61.0,48.0,63.0,66.0,56.0,70.0,90.0,66.0,103.0
Overgrown/Fallen Veg/Trees,15.0,10.0,9.0,17.0,13.0,19.0,16.0,15.0,16.0,17.0
Parking,31.0,50.0,34.0,36.0,26.0,22.0,30.0,24.0,34.0,20.0
Pavement /Footway Defects,59.0,78.0,59.0,70.0,70.0,59.0,85.0,99.0,72.0,82.0
Public Toilets,,,,2.0,,1.0,1.0,,,3.0
Road Safety,34.0,23.0,22.0,38.0,24.0,33.0,46.0,64.0,38.0,58.0
Road Surface Defects,355.0,284.0,204.0,257.0,310.0,415.0,495.0,622.0,532.0,579.0
Rubbish,231.0,270.0,180.0,197.0,318.0,149.0,179.0,211.0,184.0,162.0
Street Furniture,2.0,2.0,2.0,2.0,3.0,4.0,3.0,1.0,4.0,4.0
Street Lights,126.0,123.0,93.0,98.0,109.0,105.0,102.0,152.0,124.0,142.0
