SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,1290.0,1364.0,1756.0,1689.0,1636.0,1652.0,1427.0,1135.0,838.0,630.0
Accumulated Litter,8.0,184.0,225.0,155.0,153.0,143.0,234.0,161.0,202.0,176.0
Barriers/Bollards on RoW,7.0,39.0,44.0,46.0,27.0,12.0,48.0,26.0,29.0,28.0
Benches/Bicycle Racks,9.0,7.0,5.0,8.0,1.0,3.0,2.0,1.0,1.0,4.0
Bin Collection,,3.0,4.0,,,3.0,1.0,4.0,3.0,4.0
Bin Repair/Replacement,158.0,117.0,108.0,59.0,24.0,22.0,43.0,11.0,10.0,6.0
Blocked Drains,1134.0,1224.0,1170.0,1334.0,1253.0,1235.0,1169.0,1427.0,1637.0,1224.0
Bridge/Culvert Defects,96.0,198.0,156.0,172.0,127.0,120.0,103.0,107.0,144.0,122.0
Broken Kerbs,50.0,73.0,50.0,110.0,69.0,63.0,92.0,128.0,157.0,204.0
Bus Stops Damage,96.0,100.0,133.0,100.0,114.0,115.0,110.0,95.0,83.0,64.0
Countryside RoW,,,,,,,,,1.0,
Dead Animals,248.0,177.0,283.0,286.0,251.0,298.0,160.0,71.0,37.0,28.0
Debris/Spillage,85.0,113.0,166.0,88.0,80.0,48.0,56.0,41.0,31.0,34.0
Demo,4.0,3.0,10.0,1.0,1.0,,,,,
Discarded Syringes,,,,,3.0,2.0,9.0,2.0,,
Dog Fouling,462.0,457.0,418.0,294.0,254.0,321.0,312.0,224.0,215.0,276.0
Dog Litter Bin,16.0,19.0,26.0,13.0,7.0,16.0,18.0,10.0,7.0,9.0
Environmental Health,,15.0,6.0,2.0,5.0,2.0,14.0,7.0,10.0,4.0
Fallen/Dangerous Trees,1004.0,1014.0,1380.0,1252.0,1250.0,1162.0,1400.0,1395.0,1483.0,1434.0
Fences,10.0,4.0,17.0,19.0,24.0,20.0,6.0,5.0,1.0,2.0
Flooding,521.0,530.0,483.0,557.0,369.0,376.0,378.0,367.0,355.0,298.0
Fly-tipping,14599.0,17762.0,18857.0,12929.0,6659.0,4419.0,5028.0,3492.0,3641.0,2719.0
Flyposting,130.0,128.0,134.0,98.0,78.0,85.0,92.0,58.0,66.0,87.0
Garden Waste,37.0,42.0,42.0,52.0,51.0,27.0,16.0,9.0,,
Gates/Stiles RoW,21.0,46.0,39.0,26.0,39.0,25.0,10.0,19.0,16.0,9.0
General Highways Enquiries,77.0,163.0,267.0,247.0,288.0,162.0,120.0,69.0,63.0,8.0
Graffiti,2483.0,1969.0,1975.0,1215.0,926.0,671.0,459.0,288.0,259.0,191.0
Grass/Weed Control,278.0,274.0,425.0,396.0,400.0,436.0,454.0,513.0,675.0,467.0
Grids and Drains,56.0,31.0,18.0,15.0,10.0,2.0,2.0,8.0,1.0,21.0
Grit Bins,21.0,21.0,27.0,12.0,11.0,18.0,13.0,29.0,18.0,23.0
Gritting,2.0,,2.0,4.0,,1.0,1.0,,,
Grounds Maintenance,1.0,,,,1.0,2.0,1.0,,,
Gullies,321.0,372.0,397.0,447.0,415.0,359.0,368.0,242.0,347.0,179.0
Gully/Manhole Defects,87.0,65.0,102.0,91.0,80.0,90.0,59.0,40.0,24.0,21.0
Highway Condition,1907.0,1942.0,1692.0,1710.0,1423.0,1364.0,1307.0,1349.0,1316.0,1099.0
Highway Drainage,3.0,6.0,7.0,4.0,1.0,9.0,9.0,1.0,6.0,8.0
Ice & Snow,5.0,7.0,8.0,13.0,9.0,8.0,7.0,12.0,6.0,5.0
Leafing,20.0,103.0,130.0,60.0,49.0,7.0,2.0,,,
Lewisham Homes,8.0,29.0,48.0,95.0,2.0,,,,,
Litter/Litter Bin,1947.0,1128.0,921.0,346.0,390.0,284.0,372.0,213.0,425.0,367.0
Manhole Covers,439.0,325.0,289.0,294.0,298.0,269.0,294.0,213.0,240.0,215.0
Manhole Defects,9.0,17.0,20.0,28.0,12.0,3.0,,3.0,,1.0
Missed Bin Collection,99.0,157.0,133.0,104.0,28.0,,,,,
Noise,2.0,,,1.0,,,,,1.0,4.0
Obstruction,318.0,702.0,1037.0,980.0,806.0,763.0,609.0,517.0,517.0,403.0
Open Spaces/Parks,380.0,484.0,791.0,824.0,1048.0,1131.0,910.0,794.0,430.0,369.0
Other,2367.0,2216.0,2940.0,2689.0,2690.0,2154.0,2103.0,1787.0,1801.0,1339.0
Overgrown Vegetation,869.0,1064.0,1390.0,1294.0,1585.0,1686.0,2037.0,1683.0,1502.0,1620.0
Parking,1089.0,1046.0,1125.0,1055.0,981.0,932.0,1069.0,823.0,785.0,706.0
Pavement /Footway Defects,2688.0,2320.0,3026.0,2919.0,3243.0,2878.0,2888.0,2522.0,2792.0,2750.0
Pest Control,,,1.0,,,,,,,
Phoenix HA,1.0,4.0,16.0,10.0,,,,,,
Potholes,8297.0,7872.0,7666.0,7300.0,7776.0,6918.0,7509.0,8023.0,8161.0,6665.0
Property Damage,,,1.0,,1.0,,1.0,,,
Protected Trees,,,,,,,1.0,,1.0,
Public Toilets,7.0,14.0,13.0,13.0,20.0,5.0,20.0,10.0,7.0,4.0
Recycling,26.0,14.0,10.0,9.0,13.0,16.0,16.0,9.0,10.0,
Retaining Wall,2.0,11.0,13.0,15.0,12.0,11.0,4.0,5.0,2.0,2.0
Right of Way,341.0,321.0,282.0,323.0,195.0,285.0,291.0,218.0,151.0,84.0
Road Markings,338.0,462.0,482.0,529.0,496.0,448.0,466.0,634.0,643.0,716.0
Road Safety,16.0,28.0,19.0,14.0,13.0,14.0,12.0,17.0,12.0,22.0
Road Surface Defects,934.0,1664.0,1754.0,2390.0,2639.0,2880.0,2917.0,2516.0,1643.0,1625.0
Road Works,390.0,291.0,327.0,266.0,231.0,218.0,212.0,161.0,135.0,151.0
Road/Pavement Defects,56.0,71.0,100.0,89.0,94.0,92.0,101.0,66.0,28.0,57.0
Rubbish,1626.0,1331.0,1130.0,1029.0,862.0,699.0,636.0,603.0,613.0,554.0
Salt Bins,2.0,4.0,1.0,3.0,2.0,,,1.0,3.0,4.0
Shopping Trolley,80.0,46.0,50.0,23.0,22.0,,,,,
Skips,,3.0,,1.0,,,1.0,1.0,1.0,1.0
Spillage on Road,54.0,56.0,65.0,53.0,38.0,25.0,36.0,20.0,18.0,22.0
Street Cleaning,1078.0,1669.0,3361.0,3201.0,3085.0,3564.0,2312.0,1306.0,657.0,500.0
Street Furniture,130.0,177.0,280.0,231.0,239.0,157.0,157.0,113.0,108.0,94.0
Street Lights,2682.0,3156.0,3124.0,3512.0,3738.0,3818.0,4127.0,4790.0,4985.0,5179.0
Street Name Plates,108.0,153.0,182.0,163.0,167.0,128.0,194.0,212.0,230.0,196.0
Street Signs,2190.0,1565.0,1313.0,1168.0,1275.0,994.0,995.0,954.0,1131.0,799.0
Trade Waste,14.0,31.0,20.0,10.0,,,,,2.0,
Traffic Lights,313.0,296.0,290.0,337.0,378.0,365.0,430.0,286.0,343.0,286.0
Trees and Hedges RoW,84.0,71.0,160.0,105.0,150.0,129.0,128.0,121.0,94.0,61.0
Trees on RoW,8.0,1.0,8.0,5.0,15.0,19.0,53.0,59.0,57.0,13.0
Trip Hazard,72.0,146.0,102.0,100.0,58.0,74.0,107.0,152.0,150.0,196.0
Utility Works,116.0,134.0,145.0,125.0,157.0,102.0,96.0,70.0,26.0,12.0
Vehicle Access,6.0,,2.0,,1.0,,4.0,,3.0,3.0
Zebra Crossing,3.0,5.0,,6.0,3.0,3.0,9.0,3.0,7.0,2.0
