SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,12.0,12.0,15.0,12.0,11.0,15.0,13.0,12.0,16.0,10.0
Bus Stops Damage,2.0,5.0,3.0,2.0,3.0,,3.0,3.0,3.0,3.0
Dog Fouling,22.0,11.0,20.0,15.0,24.0,39.0,14.0,17.0,11.0,8.0
Fallen/Dangerous Trees,30.0,30.0,49.0,17.0,30.0,39.0,39.0,27.0,17.0,37.0
Fly-tipping,237.0,189.0,168.0,85.0,212.0,127.0,247.0,67.0,90.0,41.0
Flyposting,3.0,5.0,18.0,5.0,2.0,6.0,3.0,,3.0,
Graffiti,12.0,16.0,1.0,3.0,8.0,3.0,7.0,3.0,2.0,2.0
Highway Condition,99.0,74.0,104.0,89.0,88.0,157.0,136.0,89.0,77.0,70.0
Open Spaces/Parks,37.0,22.0,28.0,11.0,20.0,15.0,19.0,13.0,5.0,12.0
Other,93.0,77.0,82.0,66.0,76.0,61.0,98.0,62.0,40.0,30.0
Parking,50.0,42.0,46.0,28.0,45.0,36.0,39.0,27.0,31.0,42.0
Pavement /Footway Defects,88.0,78.0,95.0,69.0,80.0,98.0,94.0,81.0,61.0,51.0
Potholes,192.0,173.0,196.0,167.0,216.0,281.0,356.0,203.0,171.0,171.0
Public Toilets,1.0,,2.0,,1.0,,,2.0,1.0,2.0
Rubbish,95.0,45.0,65.0,35.0,26.0,30.0,36.0,29.0,24.0,19.0
Street Cleaning,48.0,38.0,49.0,34.0,29.0,33.0,30.0,11.0,14.0,8.0
Street Lights,72.0,72.0,135.0,109.0,76.0,156.0,157.0,95.0,102.0,43.0
Street Name Plates,4.0,,6.0,5.0,1.0,1.0,6.0,3.0,1.0,5.0
Street Signs,12.0,15.0,21.0,9.0,13.0,18.0,16.0,11.0,13.0,15.0
Traffic Lights,14.0,6.0,9.0,7.0,3.0,5.0,5.0,2.0,8.0,2.0
