SHEF_A,2-20 Reports,21-50 Reports,50+ Reports,One Report
Abandoned Vehicles,359.0,66.0,182.0,316.0
Accumulated Litter,51.0,14.0,42.0,22.0
Barriers/Bollards on RoW,9.0,1.0,8.0,1.0
Benches/Bicycle Racks,,,3.0,
Bin Collection,,2.0,1.0,1.0
Bin Repair/Replacement,8.0,1.0,24.0,3.0
Blocked Drains,413.0,82.0,260.0,246.0
Bridge/Culvert Defects,32.0,10.0,23.0,24.0
Broken Kerbs,30.0,1.0,9.0,17.0
Bus Stops Damage,29.0,2.0,27.0,16.0
Dead Animals,17.0,4.0,38.0,35.0
Debris/Spillage,14.0,4.0,16.0,12.0
Demo,,,1.0,
Discarded Syringes,,,1.0,
Dog Fouling,116.0,34.0,102.0,53.0
Dog Litter Bin,1.0,,,
Fallen/Dangerous Trees,172.0,40.0,114.0,104.0
Fences,,1.0,4.0,1.0
Flooding,104.0,18.0,88.0,80.0
Fly-tipping,1558.0,755.0,2249.0,417.0
Flyposting,16.0,6.0,38.0,1.0
Garden Waste,6.0,1.0,3.0,6.0
Gates/Stiles RoW,4.0,,,1.0
General Highways Enquiries,34.0,11.0,26.0,22.0
Graffiti,160.0,103.0,481.0,43.0
Grass/Weed Control,51.0,8.0,16.0,16.0
Grids and Drains,1.0,1.0,5.0,
Grit Bins,14.0,1.0,8.0,4.0
Gullies,47.0,5.0,32.0,35.0
Gully/Manhole Defects,35.0,1.0,9.0,22.0
Highway Condition,557.0,175.0,246.0,226.0
Highway Drainage,3.0,2.0,,1.0
Ice & Snow,16.0,2.0,1.0,12.0
Leafing,11.0,5.0,16.0,3.0
Lewisham Homes,2.0,1.0,11.0,
Litter/Litter Bin,72.0,28.0,311.0,14.0
Manhole Covers,76.0,11.0,105.0,39.0
Manhole Defects,,1.0,2.0,5.0
Missed Bin Collection,11.0,2.0,10.0,3.0
Obstruction,128.0,34.0,122.0,101.0
Open Spaces/Parks,125.0,61.0,89.0,52.0
Other,563.0,134.0,848.0,347.0
Overgrown Vegetation,152.0,25.0,85.0,68.0
Parking,244.0,51.0,60.0,240.0
Pavement /Footway Defects,681.0,183.0,378.0,386.0
Phoenix HA,1.0,,2.0,
Potholes,4910.0,1156.0,2073.0,2237.0
Public Toilets,,,4.0,
Recycling,1.0,1.0,,2.0
Retaining Wall,2.0,,,1.0
Right of Way,65.0,14.0,102.0,49.0
Road Markings,139.0,28.0,135.0,71.0
Road Surface Defects,683.0,162.0,380.0,414.0
Road Works,15.0,2.0,32.0,29.0
Road/Pavement Defects,6.0,2.0,5.0,7.0
Rubbish,275.0,82.0,90.0,112.0
Salt Bins,,,,1.0
Shopping Trolley,2.0,,7.0,
Skips,1.0,,,
Spillage on Road,5.0,1.0,21.0,5.0
Street Cleaning,558.0,211.0,530.0,197.0
Street Furniture,34.0,4.0,48.0,16.0
Street Lights,1384.0,303.0,1148.0,983.0
Street Name Plates,45.0,5.0,17.0,21.0
Street Signs,322.0,81.0,292.0,145.0
Trade Waste,3.0,2.0,,
Traffic Lights,105.0,23.0,47.0,50.0
Trees and Hedges RoW,11.0,2.0,1.0,9.0
Trees on RoW,1.0,,2.0,1.0
Trip Hazard,21.0,2.0,24.0,23.0
Utility Works,11.0,6.0,31.0,3.0
Vehicle Access,,,1.0,
