SHEF_A,Urban,Rural,More Rural
Abandoned Vehicles,12250.0,786.0,740.0
Accumulated Litter,1390.0,46.0,205.0
Barriers/Bollards on RoW,246.0,16.0,44.0
Benches/Bicycle Racks,29.0,6.0,6.0
Bin Collection,5.0,7.0,10.0
Bin Repair/Replacement,498.0,40.0,20.0
Blocked Drains,7096.0,2255.0,3460.0
Bridge/Culvert Defects,520.0,257.0,568.0
Broken Kerbs,626.0,162.0,208.0
Bus Stops Damage,978.0,65.0,42.0
Countryside RoW,1.0,,
Dead Animals,1495.0,113.0,231.0
Debris/Spillage,474.0,86.0,182.0
Demo,19.0,,
Discarded Syringes,16.0,,
Dog Fouling,3224.0,249.0,186.0
Dog Litter Bin,104.0,27.0,10.0
Environmental Health,60.0,3.0,2.0
Fallen/Dangerous Trees,9432.0,1684.0,2126.0
Fences,87.0,9.0,12.0
Flooding,2278.0,606.0,1350.0
Fly-tipping,80127.0,3829.0,8945.0
Flyposting,814.0,74.0,117.0
Garden Waste,276.0,,
Gates/Stiles RoW,12.0,87.0,151.0
General Highways Enquiries,1393.0,34.0,37.0
Graffiti,10434.0,122.0,108.0
Grass/Weed Control,2891.0,608.0,820.0
Grids and Drains,163.0,1.0,
Grit Bins,97.0,26.0,70.0
Gritting,9.0,,1.0
Grounds Maintenance,3.0,,2.0
Gullies,2584.0,193.0,673.0
Gully/Manhole Defects,390.0,89.0,180.0
Highway Condition,12256.0,1845.0,3080.0
Highway Drainage,17.0,8.0,29.0
Ice & Snow,38.0,10.0,32.0
Leafing,371.0,,
Lewisham Homes,182.0,,
Litter/Litter Bin,5798.0,323.0,272.0
Manhole Covers,1863.0,507.0,506.0
Manhole Defects,87.0,4.0,2.0
Missed Bin Collection,521.0,,
Noise,8.0,,
Obstruction,5022.0,618.0,1012.0
Open Spaces/Parks,6962.0,297.0,283.0
Other,18478.0,2261.0,2741.0
Overgrown Vegetation,10476.0,1959.0,2296.0
Parking,9106.0,722.0,484.0
Pavement /Footway Defects,24354.0,2944.0,2275.0
Pest Control,1.0,,
Phoenix HA,31.0,,
Potholes,43825.0,13749.0,24867.0
Property Damage,1.0,1.0,1.0
Protected Trees,2.0,,
Public Toilets,108.0,13.0,8.0
Recycling,123.0,,
Retaining Wall,72.0,2.0,3.0
Right of Way,1468.0,196.0,827.0
Road Markings,3017.0,924.0,1280.0
Road Safety,55.0,31.0,81.0
Road Surface Defects,15168.0,1821.0,3975.0
Road Works,1545.0,403.0,434.0
Road/Pavement Defects,599.0,64.0,91.0
Rubbish,8904.0,520.0,640.0
Salt Bins,10.0,1.0,9.0
Shopping Trolley,221.0,,
Skips,6.0,1.0,1.0
Spillage on Road,265.0,34.0,88.0
Street Cleaning,19998.0,540.0,755.0
Street Furniture,1396.0,171.0,121.0
Street Lights,33701.0,4724.0,2977.0
Street Name Plates,1394.0,181.0,220.0
Street Signs,8765.0,1471.0,2454.0
Trade Waste,77.0,,
Traffic Lights,2985.0,327.0,303.0
Trees and Hedges RoW,675.0,151.0,277.0
Trees on RoW,209.0,11.0,18.0
Trip Hazard,604.0,297.0,256.0
Utility Works,811.0,102.0,70.0
Vehicle Access,12.0,,7.0
Verge Damage,307.0,107.0,128.0
Zebra Crossing,37.0,1.0,3.0
