SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,997.0,1115.0,1204.0,1185.0,1385.0,1558.0,1199.0,1647.0,1393.0,1734.0
Accumulated Litter,177.0,91.0,142.0,167.0,185.0,190.0,213.0,212.0,106.0,158.0
Barriers/Bollards on RoW,32.0,26.0,31.0,28.0,29.0,37.0,48.0,29.0,27.0,19.0
Benches/Bicycle Racks,6.0,6.0,3.0,3.0,9.0,4.0,3.0,3.0,3.0,1.0
Bin Collection,9.0,8.0,4.0,,,,,,1.0,
Bin Repair/Replacement,41.0,26.0,27.0,18.0,34.0,48.0,35.0,58.0,81.0,190.0
Blocked Drains,3596.0,1738.0,1086.0,1093.0,1019.0,1093.0,971.0,1073.0,595.0,543.0
Bridge/Culvert Defects,605.0,190.0,94.0,111.0,88.0,79.0,50.0,69.0,41.0,18.0
Broken Kerbs,261.0,137.0,100.0,115.0,88.0,107.0,60.0,63.0,37.0,28.0
Bus Stops Damage,56.0,71.0,105.0,99.0,110.0,116.0,138.0,126.0,96.0,93.0
Countryside RoW,1.0,,,,,,,,,
Dead Animals,210.0,153.0,160.0,116.0,183.0,257.0,195.0,199.0,160.0,206.0
Debris/Spillage,185.0,92.0,56.0,57.0,51.0,81.0,68.0,60.0,53.0,39.0
Demo,,,,1.0,,6.0,1.0,4.0,3.0,4.0
Discarded Syringes,,,5.0,3.0,2.0,3.0,1.0,,2.0,
Dog Fouling,194.0,294.0,260.0,223.0,276.0,296.0,369.0,378.0,390.0,553.0
Dog Litter Bin,28.0,14.0,21.0,5.0,15.0,24.0,10.0,15.0,4.0,5.0
Environmental Health,2.0,4.0,8.0,5.0,6.0,2.0,10.0,16.0,1.0,11.0
Fallen/Dangerous Trees,2505.0,1704.0,1427.0,1225.0,1196.0,1321.0,1024.0,997.0,754.0,621.0
Fences,9.0,16.0,15.0,6.0,11.0,22.0,11.0,11.0,5.0,2.0
Flooding,1493.0,463.0,328.0,371.0,295.0,265.0,253.0,234.0,282.0,250.0
Fly-tipping,9542.0,5382.0,5350.0,5678.0,7116.0,7480.0,8346.0,11288.0,14748.0,15175.0
Flyposting,160.0,85.0,88.0,70.0,90.0,78.0,77.0,95.0,110.0,103.0
Garden Waste,4.0,9.0,14.0,11.0,24.0,44.0,40.0,33.0,62.0,35.0
Gates/Stiles RoW,160.0,27.0,20.0,8.0,9.0,8.0,3.0,14.0,1.0,
General Highways Enquiries,58.0,87.0,126.0,112.0,178.0,193.0,195.0,157.0,189.0,169.0
Graffiti,211.0,395.0,478.0,634.0,645.0,928.0,1211.0,1449.0,1861.0,2624.0
Grass/Weed Control,1037.0,616.0,503.0,442.0,443.0,406.0,312.0,312.0,170.0,77.0
Grids and Drains,,4.0,1.0,8.0,12.0,22.0,19.0,9.0,30.0,59.0
Grit Bins,67.0,25.0,22.0,13.0,9.0,12.0,11.0,14.0,13.0,7.0
Gritting,1.0,,,1.0,3.0,1.0,2.0,,2.0,
Grounds Maintenance,1.0,1.0,,,2.0,1.0,,,,
Gullies,802.0,314.0,291.0,318.0,360.0,241.0,256.0,286.0,321.0,258.0
Gully/Manhole Defects,181.0,72.0,65.0,46.0,45.0,40.0,54.0,54.0,58.0,44.0
Highway Condition,2997.0,1723.0,1468.0,1255.0,1386.0,1277.0,1284.0,1364.0,1254.0,1101.0
Highway Drainage,34.0,10.0,3.0,2.0,3.0,,1.0,1.0,,
Ice & Snow,33.0,11.0,6.0,5.0,6.0,7.0,1.0,5.0,5.0,1.0
Leafing,,9.0,25.0,14.0,21.0,52.0,64.0,74.0,70.0,42.0
Lewisham Homes,,,52.0,4.0,10.0,6.0,28.0,31.0,29.0,22.0
Litter/Litter Bin,278.0,270.0,308.0,392.0,314.0,417.0,454.0,821.0,1378.0,1761.0
Manhole Covers,574.0,327.0,209.0,212.0,314.0,317.0,250.0,251.0,244.0,178.0
Manhole Defects,2.0,4.0,3.0,6.0,7.0,14.0,13.0,17.0,18.0,9.0
Missed Bin Collection,,,23.0,17.0,35.0,56.0,63.0,76.0,165.0,86.0
Noise,,2.0,,,,1.0,2.0,1.0,,2.0
Obstruction,1054.0,612.0,545.0,494.0,668.0,718.0,639.0,726.0,678.0,518.0
Open Spaces/Parks,472.0,649.0,786.0,910.0,820.0,770.0,767.0,832.0,598.0,557.0
Other,3170.0,2429.0,2132.0,1802.0,2091.0,2233.0,1944.0,2027.0,1964.0,2294.0
Overgrown Vegetation,2906.0,2076.0,1732.0,1665.0,1285.0,1510.0,1139.0,1136.0,680.0,601.0
Parking,645.0,856.0,839.0,909.0,976.0,1095.0,987.0,1059.0,1082.0,1163.0
Pavement /Footway Defects,2985.0,2917.0,2670.0,2492.0,3144.0,3183.0,2693.0,2788.0,2468.0,2686.0
Pest Control,,,,1.0,,,,,,
Phoenix HA,,,,,7.0,1.0,3.0,9.0,5.0,6.0
Potholes,25243.0,10173.0,6852.0,6406.0,5688.0,5978.0,5029.0,4601.0,3497.0,2720.0
Property Damage,,2.0,,,1.0,,,,,
Protected Trees,,,1.0,,,1.0,,,,
Public Toilets,10.0,4.0,7.0,6.0,15.0,9.0,21.0,11.0,17.0,13.0
Recycling,7.0,1.0,2.0,3.0,22.0,4.0,13.0,10.0,38.0,23.0
Retaining Wall,2.0,1.0,10.0,8.0,12.0,6.0,7.0,6.0,14.0,11.0
Right of Way,800.0,290.0,174.0,218.0,282.0,176.0,161.0,152.0,159.0,79.0
Road Markings,1413.0,644.0,549.0,550.0,406.0,513.0,376.0,405.0,230.0,128.0
Road Safety,82.0,26.0,22.0,9.0,9.0,6.0,9.0,2.0,,2.0
Road Surface Defects,4461.0,2379.0,2340.0,2277.0,1936.0,1995.0,1717.0,1739.0,1156.0,962.0
Road Works,549.0,354.0,177.0,171.0,197.0,231.0,165.0,177.0,182.0,179.0
Road/Pavement Defects,125.0,118.0,59.0,84.0,84.0,89.0,57.0,53.0,54.0,31.0
Rubbish,783.0,616.0,629.0,649.0,796.0,784.0,871.0,1094.0,1404.0,1457.0
Salt Bins,9.0,4.0,1.0,,4.0,1.0,,,,1.0
Shopping Trolley,,3.0,4.0,4.0,16.0,10.0,48.0,36.0,72.0,28.0
Skips,1.0,,2.0,,2.0,1.0,,,,2.0
Spillage on Road,73.0,57.0,36.0,50.0,35.0,38.0,28.0,37.0,18.0,15.0
Street Cleaning,1259.0,1457.0,1888.0,1976.0,2033.0,2270.0,2766.0,2703.0,1918.0,2463.0
Street Furniture,190.0,169.0,130.0,138.0,173.0,218.0,180.0,182.0,170.0,136.0
Street Lights,4428.0,4579.0,4352.0,4190.0,4254.0,4502.0,3684.0,3715.0,2603.0,2804.0
Street Name Plates,266.0,233.0,192.0,176.0,186.0,181.0,159.0,146.0,114.0,80.0
Street Signs,2683.0,1430.0,984.0,919.0,940.0,898.0,875.0,1034.0,1178.0,1443.0
Trade Waste,,,2.0,2.0,7.0,4.0,9.0,12.0,25.0,16.0
Traffic Lights,558.0,360.0,320.0,385.0,337.0,357.0,286.0,291.0,255.0,175.0
Trees and Hedges RoW,312.0,152.0,122.0,95.0,69.0,86.0,88.0,51.0,89.0,39.0
Trees on RoW,52.0,32.0,39.0,27.0,16.0,34.0,9.0,16.0,10.0,3.0
Trip Hazard,291.0,159.0,106.0,122.0,88.0,120.0,107.0,86.0,60.0,18.0
Utility Works,113.0,93.0,78.0,42.0,110.0,109.0,125.0,133.0,96.0,84.0
Vehicle Access,5.0,2.0,3.0,1.0,3.0,1.0,3.0,,,1.0
Zebra Crossing,7.0,7.0,8.0,4.0,3.0,3.0,8.0,,1.0,
