SHEF_A,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Abandoned Vehicles,1423.0,1160.0,1030.0,691.0,846.0,1041.0,1200.0,1333.0,1438.0,1356.0,1294.0,964.0
Accumulated Litter,207.0,123.0,107.0,77.0,110.0,152.0,140.0,122.0,153.0,126.0,202.0,122.0
Barriers/Bollards on RoW,26.0,31.0,11.0,11.0,18.0,27.0,18.0,28.0,43.0,32.0,33.0,28.0
Benches/Bicycle Racks,6.0,1.0,2.0,,6.0,,3.0,5.0,8.0,2.0,5.0,3.0
Bin Collection,9.0,6.0,4.0,,1.0,,,1.0,,1.0,,
Bin Repair/Replacement,58.0,49.0,29.0,32.0,35.0,80.0,44.0,43.0,62.0,44.0,46.0,36.0
Blocked Drains,1350.0,1834.0,848.0,364.0,361.0,940.0,685.0,1642.0,754.0,1551.0,1066.0,1416.0
Bridge/Culvert Defects,123.0,153.0,86.0,76.0,110.0,102.0,75.0,96.0,91.0,136.0,123.0,174.0
Broken Kerbs,93.0,72.0,63.0,38.0,41.0,92.0,101.0,103.0,108.0,89.0,89.0,107.0
Bus Stops Damage,124.0,135.0,100.0,32.0,66.0,69.0,72.0,91.0,82.0,101.0,103.0,110.0
Countryside RoW,,,,,,,,,1.0,,,
Dead Animals,159.0,159.0,134.0,114.0,129.0,174.0,203.0,162.0,185.0,163.0,156.0,101.0
Debris/Spillage,73.0,72.0,52.0,23.0,40.0,48.0,55.0,68.0,57.0,89.0,90.0,75.0
Demo,1.0,6.0,1.0,2.0,2.0,1.0,3.0,,2.0,,1.0,
Discarded Syringes,4.0,,1.0,1.0,3.0,3.0,2.0,,1.0,1.0,,
Dog Fouling,530.0,470.0,428.0,206.0,182.0,213.0,229.0,220.0,247.0,258.0,313.0,363.0
Dog Litter Bin,3.0,9.0,13.0,32.0,15.0,9.0,9.0,15.0,9.0,6.0,14.0,7.0
Environmental Health,2.0,10.0,5.0,6.0,3.0,6.0,10.0,4.0,8.0,5.0,3.0,3.0
Fallen/Dangerous Trees,624.0,1636.0,542.0,414.0,1283.0,1626.0,1671.0,1877.0,1388.0,1019.0,676.0,486.0
Fences,12.0,14.0,8.0,3.0,3.0,12.0,10.0,10.0,13.0,5.0,9.0,9.0
Flooding,365.0,676.0,246.0,106.0,57.0,439.0,212.0,498.0,201.0,463.0,261.0,710.0
Fly-tipping,7497.0,6418.0,6100.0,6418.0,7839.0,8645.0,9256.0,8718.0,9095.0,7724.0,8309.0,6882.0
Flyposting,103.0,76.0,79.0,34.0,76.0,81.0,85.0,103.0,109.0,79.0,95.0,85.0
Garden Waste,24.0,28.0,14.0,19.0,30.0,36.0,28.0,24.0,27.0,19.0,16.0,11.0
Gates/Stiles RoW,11.0,13.0,9.0,17.0,27.0,29.0,31.0,29.0,28.0,20.0,18.0,18.0
General Highways Enquiries,146.0,112.0,114.0,49.0,96.0,153.0,165.0,142.0,155.0,128.0,115.0,89.0
Graffiti,1112.0,878.0,784.0,442.0,601.0,958.0,938.0,865.0,969.0,869.0,1239.0,1009.0
Grass/Weed Control,145.0,127.0,105.0,134.0,584.0,860.0,761.0,540.0,509.0,243.0,201.0,110.0
Grids and Drains,12.0,20.0,11.0,14.0,8.0,9.0,18.0,24.0,28.0,4.0,7.0,9.0
Grit Bins,45.0,17.0,7.0,2.0,5.0,6.0,9.0,7.0,9.0,6.0,8.0,72.0
Gritting,,1.0,,,,,,,,,2.0,7.0
Grounds Maintenance,1.0,,,1.0,1.0,,,2.0,,,,
Gullies,185.0,232.0,288.0,138.0,162.0,412.0,278.0,400.0,236.0,391.0,325.0,403.0
