SHEF_A,Female,Male
Abandoned Vehicles,3815.0,7124.0
Accumulated Litter,493.0,574.0
Barriers/Bollards on RoW,74.0,131.0
Benches/Bicycle Racks,6.0,25.0
Bin Collection,12.0,9.0
Bin Repair/Replacement,94.0,144.0
Blocked Drains,2966.0,6364.0
Bridge/Culvert Defects,299.0,532.0
Broken Kerbs,201.0,356.0
Bus Stops Damage,230.0,616.0
Countryside RoW,1.0,
Dead Animals,639.0,419.0
Debris/Spillage,144.0,243.0
Demo,2.0,15.0
Discarded Syringes,5.0,2.0
Dog Fouling,1049.0,1459.0
Dog Litter Bin,16.0,30.0
Environmental Health,13.0,20.0
Fallen/Dangerous Trees,3999.0,5673.0
Fences,27.0,28.0
Flooding,718.0,1288.0
Fly-tipping,24278.0,43829.0
Flyposting,236.0,538.0
Garden Waste,139.0,105.0
Gates/Stiles RoW,90.0,117.0
General Highways Enquiries,423.0,700.0
Graffiti,1501.0,6624.0
Grass/Weed Control,1346.0,1650.0
Grids and Drains,20.0,87.0
Grit Bins,51.0,61.0
Gritting,1.0,8.0
Grounds Maintenance,2.0,3.0
Gullies,477.0,1011.0
Gully/Manhole Defects,168.0,417.0
Highway Condition,3726.0,11135.0
Highway Drainage,17.0,34.0
Ice & Snow,31.0,29.0
Leafing,119.0,169.0
Lewisham Homes,97.0,48.0
Litter/Litter Bin,1080.0,2107.0
Manhole Covers,535.0,1117.0
Manhole Defects,18.0,40.0
Missed Bin Collection,142.0,284.0
Noise,2.0,3.0
Obstruction,1885.0,2678.0
Open Spaces/Parks,2577.0,3756.0
Other,7079.0,10395.0
Overgrown Vegetation,3462.0,4511.0
Parking,2768.0,5695.0
Pavement /Footway Defects,8436.0,13825.0
Pest Control,1.0,
Phoenix HA,3.0,15.0
Potholes,18777.0,40934.0
Property Damage,1.0,2.0
Protected Trees,1.0,
Public Toilets,37.0,80.0
Recycling,30.0,80.0
Retaining Wall,27.0,39.0
Right of Way,745.0,1100.0
Road Markings,1030.0,2466.0
Road Safety,43.0,51.0
Road Surface Defects,5291.0,9733.0
Road Works,268.0,585.0
Road/Pavement Defects,112.0,165.0
Rubbish,3602.0,4948.0
Salt Bins,10.0,6.0
Shopping Trolley,35.0,117.0
Skips,2.0,2.0
Spillage on Road,66.0,87.0
Street Cleaning,7318.0,10585.0
Street Furniture,269.0,523.0
Street Lights,9588.0,22283.0
Street Name Plates,440.0,852.0
Street Signs,2457.0,6355.0
Trade Waste,37.0,30.0
Traffic Lights,774.0,1997.0
Trees and Hedges RoW,348.0,595.0
Trees on RoW,67.0,82.0
Trip Hazard,269.0,442.0
Utility Works,101.0,236.0
Vehicle Access,4.0,9.0
Verge Damage,157.0,229.0
