SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,13.0,24.0,18.0,11.0,12.0,12.0,11.0,9.0,9.0,9.0
Bus Stops Damage,2.0,3.0,1.0,2.0,3.0,2.0,5.0,2.0,3.0,4.0
Dog Fouling,18.0,19.0,12.0,18.0,15.0,9.0,13.0,24.0,34.0,19.0
Open Spaces/Parks,11.0,22.0,13.0,12.0,16.0,18.0,18.0,18.0,20.0,34.0
Other,68.0,77.0,57.0,64.0,75.0,62.0,77.0,56.0,78.0,71.0
Parking,39.0,32.0,35.0,46.0,42.0,37.0,22.0,45.0,53.0,35.0
Pavement /Footway Defects,56.0,66.0,52.0,74.0,67.0,88.0,55.0,89.0,116.0,132.0
Public Toilets,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0
Road Safety,22.0,31.0,9.0,15.0,22.0,15.0,13.0,25.0,27.0,25.0
Road Surface Defects,165.0,220.0,190.0,212.0,235.0,191.0,169.0,265.0,232.0,247.0
Rubbish,351.0,175.0,174.0,275.0,262.0,140.0,160.0,237.0,201.0,186.0
Street Furniture,3.0,2.0,1.0,2.0,4.0,3.0,2.0,4.0,9.0,2.0
Street Lights,54.0,83.0,55.0,86.0,94.0,113.0,69.0,138.0,155.0,170.0
