SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,31.0,17.0,5.0,10.0,15.0,13.0,9.0,14.0,5.0,9.0
Bus Stops Damage,4.0,5.0,2.0,3.0,6.0,3.0,,3.0,1.0,
Dog Fouling,7.0,18.0,13.0,23.0,34.0,18.0,25.0,16.0,19.0,8.0
Highways Enquiries,73.0,94.0,50.0,70.0,111.0,136.0,140.0,100.0,110.0,98.0
Incivilities,17.0,33.0,5.0,10.0,12.0,7.0,7.0,4.0,4.0,3.0
Open Spaces/Parks,20.0,24.0,9.0,26.0,15.0,18.0,13.0,20.0,16.0,21.0
Other,73.0,84.0,35.0,76.0,88.0,81.0,61.0,69.0,62.0,56.0
Overgrown/Fallen Veg/Trees,8.0,19.0,20.0,25.0,41.0,26.0,38.0,36.0,55.0,47.0
Parking,44.0,50.0,35.0,44.0,51.0,40.0,42.0,27.0,29.0,24.0
Pavement /Footway Defects,74.0,84.0,36.0,66.0,104.0,102.0,82.0,86.0,88.0,73.0
Public Toilets,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,
Road Safety,22.0,33.0,11.0,28.0,19.0,25.0,13.0,12.0,16.0,25.0
Road Surface Defects,126.0,197.0,117.0,163.0,277.0,270.0,235.0,240.0,223.0,278.0
Rubbish,474.0,353.0,206.0,244.0,166.0,213.0,209.0,147.0,73.0,76.0
Street Furniture,,5.0,,3.0,7.0,4.0,5.0,5.0,2.0,1.0
Street Lights,49.0,111.0,61.0,87.0,128.0,139.0,102.0,91.0,96.0,153.0
