SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,14.0,24.0,19.0,18.0,7.0,18.0,10.0,6.0,8.0,4.0
Bus Stops Damage,8.0,3.0,2.0,5.0,,3.0,2.0,1.0,,3.0
Dog Fouling,14.0,26.0,28.0,21.0,24.0,15.0,17.0,20.0,13.0,3.0
Highways Enquiries,45.0,78.0,91.0,89.0,90.0,130.0,88.0,121.0,142.0,109.0
Incivilities,13.0,5.0,21.0,7.0,11.0,3.0,11.0,8.0,8.0,14.0
Open Spaces/Parks,4.0,14.0,23.0,19.0,16.0,24.0,23.0,23.0,21.0,15.0
Other,48.0,101.0,61.0,85.0,55.0,75.0,57.0,73.0,80.0,49.0
Overgrown/Fallen Veg/Trees,7.0,28.0,19.0,28.0,29.0,41.0,43.0,53.0,40.0,27.0
Parking,31.0,49.0,40.0,33.0,48.0,50.0,34.0,48.0,32.0,21.0
Pavement /Footway Defects,46.0,96.0,81.0,65.0,89.0,109.0,67.0,74.0,90.0,78.0
Public Toilets,,2.0,,2.0,,,1.0,1.0,2.0,1.0
Road Safety,11.0,19.0,19.0,15.0,17.0,38.0,14.0,23.0,22.0,26.0
Road Surface Defects,106.0,212.0,180.0,163.0,155.0,197.0,153.0,231.0,355.0,374.0
Rubbish,438.0,293.0,223.0,221.0,146.0,215.0,140.0,165.0,180.0,140.0
Street Furniture,3.0,7.0,3.0,2.0,2.0,6.0,1.0,3.0,3.0,2.0
Street Lights,68.0,150.0,102.0,86.0,112.0,117.0,107.0,65.0,140.0,70.0
