SHEF_B,2-20 Reports,21-50 Reports,50+ Reports,One Report
Abandoned Vehicles,359.0,66.0,182.0,316.0
Bridge/Culvert Defects,32.0,10.0,23.0,24.0
Bus Stops Damage,29.0,2.0,27.0,16.0
Dog Fouling,116.0,34.0,102.0,53.0
Environmental Health,17.0,4.0,38.0,35.0
Fences,,1.0,4.0,1.0
Gritting,30.0,3.0,9.0,17.0
Grounds Maintenance,17.0,2.0,33.0,29.0
Open Spaces/Parks,125.0,61.0,89.0,52.0
Other,596.0,136.0,871.0,364.0
Parking,244.0,51.0,60.0,240.0
Pavement /Footway Defects,450.0,124.0,176.0,198.0
Public Toilets,,,4.0,
Retaining Wall,2.0,,,1.0
Right of Way,313.0,77.0,316.0,252.0
Road Safety,614.0,135.0,500.0,292.0
Road Surface Defects,5728.0,1355.0,2570.0,2759.0
Rubbish,2243.0,990.0,3002.0,709.0
Street Furniture,412.0,128.0,373.0,141.0
Street Lights,1384.0,303.0,1148.0,983.0
Utility Works,11.0,6.0,31.0,3.0
