SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,1550.0,1839.0,1533.0,1448.0,1073.0,1144.0,1039.0,920.0,859.0,566.0
Bridge/Culvert Defects,5.0,36.0,15.0,35.0,30.0,37.0,44.0,67.0,144.0,399.0
Bus Stops Damage,88.0,145.0,107.0,153.0,93.0,158.0,222.0,112.0,131.0,49.0
Dog Fouling,395.0,430.0,439.0,309.0,291.0,330.0,348.0,370.0,213.0,161.0
Environmental Health,116.0,185.0,131.0,170.0,97.0,103.0,120.0,66.0,92.0,136.0
Fences,,2.0,1.0,1.0,6.0,1.0,3.0,6.0,10.0,2.0
Gritting,10.0,40.0,16.0,47.0,40.0,58.0,62.0,50.0,98.0,158.0
Grounds Maintenance,21.0,60.0,39.0,72.0,60.0,45.0,66.0,97.0,206.0,261.0
Open Spaces/Parks,399.0,768.0,582.0,813.0,619.0,752.0,727.0,601.0,521.0,247.0
Other,2280.0,2226.0,2090.0,2240.0,2159.0,2268.0,2189.0,2597.0,3161.0,4594.0
Parking,846.0,1079.0,872.0,961.0,827.0,803.0,872.0,777.0,607.0,289.0
Pavement /Footway Defects,1867.0,1665.0,1593.0,1623.0,1518.0,1551.0,1572.0,1580.0,1550.0,1180.0
Property Damage,,2.0,,1.0,2.0,2.0,3.0,1.0,1.0,
Public Toilets,6.0,10.0,10.0,14.0,18.0,16.0,12.0,14.0,16.0,18.0
Retaining Wall,8.0,17.0,8.0,4.0,5.0,9.0,9.0,2.0,1.0,
Right of Way,503.0,1110.0,817.0,916.0,700.0,888.0,1054.0,813.0,1197.0,2500.0
Road Safety,1224.0,1179.0,1255.0,1273.0,1404.0,1631.0,2069.0,2017.0,3067.0,3975.0
Road Surface Defects,1902.0,3935.0,4161.0,5761.0,5269.0,6116.0,6852.0,7822.0,13852.0,24543.0
Rubbish,21881.0,18375.0,9590.0,6876.0,4780.0,5045.0,4552.0,4753.0,5819.0,7273.0
Street Furniture,1127.0,2789.0,1606.0,1877.0,1297.0,1601.0,906.0,718.0,822.0,214.0
Street Lights,1919.0,3601.0,3571.0,4107.0,3616.0,3849.0,4426.0,4286.0,4678.0,3645.0
Utility Works,56.0,104.0,35.0,58.0,40.0,55.0,21.0,21.0,50.0,19.0
