SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,552.0,1010.0,1279.0,1372.0,1335.0,1099.0,1204.0,1078.0,1361.0,1315.0
Bridge/Culvert Defects,36.0,28.0,60.0,50.0,80.0,109.0,86.0,125.0,115.0,123.0
Bus Stops Damage,48.0,89.0,112.0,104.0,213.0,91.0,92.0,105.0,132.0,139.0
Dog Fouling,204.0,285.0,349.0,345.0,318.0,296.0,292.0,190.0,226.0,195.0
Environmental Health,18.0,88.0,97.0,132.0,172.0,114.0,148.0,125.0,175.0,147.0
Fences,2.0,4.0,1.0,9.0,4.0,4.0,4.0,1.0,3.0,
Gritting,18.0,32.0,40.0,36.0,71.0,33.0,51.0,65.0,66.0,167.0
Grounds Maintenance,50.0,73.0,44.0,78.0,73.0,127.0,82.0,159.0,134.0,107.0
Open Spaces/Parks,329.0,558.0,550.0,619.0,725.0,591.0,538.0,465.0,616.0,689.0
Other,1472.0,1761.0,2312.0,1977.0,2296.0,2267.0,2634.0,2947.0,3397.0,3611.0
Parking,541.0,701.0,793.0,789.0,828.0,725.0,775.0,691.0,692.0,731.0
Pavement /Footway Defects,934.0,1237.0,1195.0,1231.0,1299.0,1358.0,1305.0,1680.0,1812.0,2405.0
Property Damage,2.0,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,
Public Toilets,5.0,9.0,5.0,8.0,12.0,13.0,14.0,17.0,19.0,16.0
Retaining Wall,4.0,3.0,7.0,16.0,8.0,4.0,4.0,4.0,5.0,8.0
Right of Way,460.0,595.0,781.0,1123.0,1310.0,1130.0,1293.0,1191.0,1358.0,1257.0
Road Safety,759.0,932.0,1312.0,1448.0,1615.0,1854.0,1955.0,2297.0,2646.0,3595.0
Road Surface Defects,2442.0,3188.0,4739.0,5506.0,6457.0,7222.0,8344.0,9682.0,12252.0,15596.0
Rubbish,6841.0,8276.0,10857.0,11451.0,9209.0,9743.0,8350.0,6258.0,6163.0,7936.0
Street Furniture,147.0,1103.0,854.0,1167.0,2081.0,1105.0,1276.0,1701.0,1764.0,1697.0
Street Lights,1777.0,2075.0,2575.0,3152.0,3540.0,3727.0,3536.0,4494.0,4253.0,6365.0
Utility Works,23.0,50.0,70.0,56.0,32.0,38.0,56.0,41.0,39.0,54.0
