SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,26.0,38.0,42.0,34.0,22.0,23.0,17.0,6.0,20.0,17.0
Bus Stops Damage,6.0,9.0,7.0,10.0,7.0,2.0,13.0,6.0,4.0,12.0
Dog Fouling,57.0,66.0,18.0,71.0,14.0,39.0,48.0,10.0,43.0,15.0
Highways Enquiries,73.0,53.0,61.0,91.0,84.0,97.0,127.0,119.0,90.0,134.0
Incivilities,7.0,4.0,4.0,7.0,6.0,10.0,12.0,9.0,9.0,23.0
Open Spaces/Parks,25.0,24.0,16.0,13.0,13.0,11.0,11.0,24.0,17.0,16.0
Other,68.0,50.0,59.0,51.0,52.0,52.0,71.0,56.0,61.0,63.0
Overgrown/Fallen Veg/Trees,12.0,9.0,9.0,10.0,7.0,15.0,18.0,14.0,15.0,23.0
Parking,54.0,44.0,36.0,33.0,31.0,20.0,36.0,40.0,26.0,24.0
Pavement /Footway Defects,62.0,58.0,55.0,43.0,58.0,58.0,75.0,69.0,73.0,68.0
Public Toilets,,,,2.0,2.0,1.0,1.0,1.0,,
Road Safety,40.0,28.0,28.0,39.0,52.0,60.0,61.0,61.0,39.0,41.0
Road Surface Defects,225.0,201.0,225.0,211.0,292.0,363.0,468.0,441.0,370.0,395.0
Rubbish,151.0,168.0,138.0,169.0,108.0,141.0,251.0,126.0,149.0,103.0
Street Furniture,3.0,1.0,2.0,2.0,4.0,8.0,4.0,2.0,1.0,1.0
Street Lights,92.0,115.0,104.0,101.0,88.0,95.0,99.0,104.0,94.0,116.0
