SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,15.0,17.0,4.0,11.0,15.0,12.0,11.0,11.0,6.0,9.0
Bus Stops Damage,9.0,4.0,9.0,9.0,3.0,6.0,3.0,6.0,6.0,2.0
Dog Fouling,11.0,29.0,29.0,17.0,21.0,21.0,30.0,5.0,22.0,10.0
Fallen/Dangerous Trees,17.0,17.0,16.0,22.0,24.0,42.0,28.0,27.0,23.0,32.0
Fly-tipping,481.0,310.0,113.0,150.0,96.0,127.0,97.0,63.0,66.0,33.0
Flyposting,8.0,7.0,3.0,8.0,4.0,4.0,2.0,1.0,2.0,3.0
Graffiti,11.0,6.0,2.0,2.0,5.0,9.0,2.0,1.0,1.0,
Highway Condition,66.0,59.0,49.0,54.0,79.0,89.0,92.0,74.0,100.0,100.0
Open Spaces/Parks,24.0,22.0,15.0,23.0,14.0,18.0,21.0,16.0,12.0,10.0
Other,78.0,65.0,38.0,59.0,65.0,48.0,46.0,46.0,35.0,49.0
Parking,49.0,41.0,31.0,37.0,24.0,34.0,38.0,26.0,20.0,15.0
Pavement /Footway Defects,59.0,73.0,42.0,40.0,61.0,70.0,73.0,48.0,60.0,71.0
Potholes,109.0,121.0,93.0,146.0,181.0,167.0,183.0,157.0,181.0,187.0
Public Toilets,2.0,,,,,1.0,1.0,,5.0,
Rubbish,100.0,48.0,90.0,52.0,38.0,24.0,38.0,20.0,21.0,14.0
Street Cleaning,78.0,30.0,25.0,44.0,26.0,26.0,34.0,17.0,18.0,17.0
Street Lights,90.0,99.0,47.0,97.0,144.0,133.0,112.0,120.0,74.0,183.0
Street Name Plates,3.0,2.0,5.0,4.0,2.0,7.0,4.0,2.0,1.0,2.0
Street Signs,20.0,12.0,1.0,20.0,21.0,18.0,24.0,8.0,11.0,11.0
Traffic Lights,14.0,17.0,4.0,4.0,5.0,6.0,10.0,3.0,8.0,7.0
