SHEF_B,2-20 Reports,21-50 Reports,50+ Reports,One Report
Abandoned Vehicles,5010.0,1002.0,2036.0,3924.0
Bridge/Culvert Defects,333.0,72.0,264.0,142.0
Bus Stops Damage,386.0,127.0,551.0,194.0
Dog Fouling,1184.0,477.0,1075.0,559.0
Environmental Health,268.0,73.0,463.0,412.0
Fences,10.0,2.0,12.0,8.0
Gritting,218.0,31.0,166.0,164.0
Grounds Maintenance,277.0,60.0,300.0,290.0
Open Spaces/Parks,2492.0,885.0,1886.0,766.0
Other,7435.0,1891.0,11669.0,4810.0
Parking,3481.0,759.0,1060.0,2635.0
Pavement /Footway Defects,6676.0,2151.0,3890.0,2984.0
Property Damage,5.0,2.0,1.0,4.0
Public Toilets,51.0,28.0,40.0,15.0
Retaining Wall,31.0,7.0,4.0,21.0
Right of Way,3408.0,823.0,3758.0,2508.0
Road Safety,7099.0,1939.0,6555.0,3500.0
Road Surface Defects,33792.0,8971.0,21342.0,16108.0
Rubbish,27010.0,12203.0,42466.0,7268.0
Street Furniture,4781.0,1507.0,5103.0,1566.0
Street Lights,14096.0,2744.0,12009.0,8850.0
Utility Works,119.0,36.0,191.0,113.0
