SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,515.0,976.0,1228.0,1394.0,1291.0,1180.0,1100.0,1273.0,1198.0,1450.0
Bin Replacement,7.0,6.0,17.0,33.0,31.0,57.0,43.0,43.0,50.0,100.0
Bridge/Culvert Defects,36.0,53.0,63.0,68.0,50.0,91.0,75.0,152.0,145.0,79.0
Bus Stops Damage,58.0,94.0,79.0,80.0,230.0,89.0,79.0,100.0,128.0,188.0
Dog Fouling,121.0,209.0,296.0,257.0,298.0,327.0,241.0,247.0,290.0,414.0
Drainage,735.0,1091.0,1300.0,1323.0,1495.0,1972.0,1985.0,2658.0,2621.0,2921.0
Environmental Health,12.0,76.0,140.0,159.0,196.0,128.0,79.0,136.0,69.0,221.0
Fences,,3.0,3.0,4.0,9.0,5.0,6.0,1.0,,1.0
Gritting,19.0,33.0,32.0,45.0,45.0,57.0,52.0,90.0,82.0,124.0
Grounds Maintenance,55.0,64.0,82.0,88.0,67.0,84.0,94.0,153.0,136.0,104.0
Highways Enquiries,699.0,800.0,1062.0,1212.0,1363.0,1584.0,1890.0,2214.0,2463.0,2353.0
Incivilities,304.0,422.0,606.0,505.0,720.0,670.0,636.0,897.0,1579.0,1938.0
Open Spaces/Parks,270.0,495.0,588.0,538.0,624.0,677.0,628.0,765.0,647.0,448.0
Other,1578.0,1912.0,2349.0,2417.0,2118.0,2662.0,2819.0,3097.0,2948.0,2774.0
Overgrown/Fallen Veg/Trees,663.0,1150.0,1470.0,1380.0,1788.0,2385.0,2527.0,3162.0,3120.0,2733.0
Parking,584.0,676.0,737.0,737.0,756.0,736.0,786.0,793.0,740.0,721.0
Pavement /Footway Defects,980.0,934.0,1146.0,1348.0,1185.0,1310.0,1387.0,1568.0,1821.0,2777.0
Property Damage,1.0,,,3.0,3.0,,,4.0,1.0,
Public Toilets,3.0,5.0,5.0,7.0,13.0,7.0,17.0,13.0,18.0,30.0
Retaining Wall,3.0,4.0,8.0,1.0,6.0,8.0,4.0,11.0,1.0,17.0
Right of Way,563.0,720.0,1098.0,1202.0,1390.0,1135.0,1022.0,1185.0,1034.0,1149.0
Road Safety,703.0,958.0,1261.0,1428.0,1467.0,1820.0,2042.0,2544.0,2908.0,3282.0
Road Surface Defects,2797.0,3957.0,5263.0,5247.0,6183.0,8235.0,9179.0,12000.0,12223.0,10344.0
Rubbish,6045.0,6691.0,8233.0,7765.0,7845.0,10042.0,7089.0,9374.0,9677.0,12323.0
Street Furniture,145.0,982.0,1133.0,810.0,1245.0,1116.0,1740.0,1955.0,2251.0,1518.0
Street Lights,1975.0,2419.0,2910.0,2962.0,2959.0,3615.0,4119.0,4769.0,4396.0,5370.0
Utility Works,27.0,34.0,43.0,55.0,50.0,37.0,35.0,48.0,28.0,102.0
