SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,1550.0,1839.0,1533.0,1448.0,1073.0,1144.0,1039.0,920.0,859.0,566.0
Accumulated Litter,123.0,335.0,96.0,395.0,170.0,215.0,137.0,142.0,110.0,140.0
Barriers/Bollards on RoW,30.0,28.0,22.0,23.0,8.0,20.0,18.0,30.0,14.0,16.0
Benches/Bicycle Racks,,2.0,7.0,4.0,1.0,4.0,4.0,6.0,1.0,24.0
Bin Collection,,3.0,4.0,3.0,2.0,1.0,3.0,2.0,4.0,8.0
Bin Repair/Replacement,110.0,78.0,26.0,30.0,22.0,26.0,16.0,12.0,15.0,3.0
Blocked Drains,303.0,552.0,506.0,661.0,669.0,694.0,878.0,1011.0,1981.0,3407.0
Bridge/Culvert Defects,5.0,36.0,15.0,35.0,30.0,37.0,44.0,67.0,144.0,399.0
Broken Fire Hydrant,,,,,,,1.0,,,
Broken Kerbs,1.0,15.0,28.0,41.0,57.0,49.0,72.0,103.0,159.0,173.0
Bus Stops Damage,88.0,145.0,107.0,153.0,93.0,158.0,222.0,112.0,131.0,49.0
C.C.T.V Faults,,1.0,,,,,,,,
Countryside RoW,,,,,,,,,,1.0
Dead Animals,112.0,173.0,127.0,135.0,92.0,95.0,120.0,60.0,86.0,135.0
Debris/Spillage,29.0,75.0,38.0,26.0,24.0,28.0,33.0,40.0,51.0,89.0
Demo,3.0,1.0,1.0,1.0,,,,,,
Discarded Syringes,,2.0,3.0,3.0,2.0,7.0,1.0,3.0,,
Dog Fouling,395.0,430.0,439.0,309.0,291.0,330.0,348.0,370.0,213.0,161.0
Dog Litter Bin,1.0,3.0,3.0,4.0,4.0,6.0,2.0,12.0,10.0,4.0
Environmental Health,4.0,10.0,3.0,35.0,5.0,8.0,,5.0,6.0,1.0
Fallen/Dangerous Trees,392.0,619.0,638.0,722.0,701.0,695.0,843.0,887.0,1461.0,1426.0
Fences,,2.0,1.0,1.0,6.0,1.0,3.0,6.0,10.0,2.0
Flooding,126.0,111.0,127.0,143.0,147.0,169.0,200.0,238.0,486.0,1538.0
Fly-tipping,17168.0,14188.0,6921.0,4482.0,2905.0,3109.0,2852.0,3029.0,4180.0,5566.0
Flyposting,120.0,117.0,92.0,101.0,92.0,77.0,125.0,197.0,203.0,228.0
Garden Waste,68.0,58.0,15.0,18.0,1.0,3.0,2.0,,,
Gates/Stiles RoW,,,,,,,,5.0,16.0,64.0
General Highways Enquiries,160.0,298.0,149.0,140.0,73.0,104.0,82.0,82.0,58.0,46.0
Graffiti,1434.0,1267.0,1005.0,686.0,652.0,752.0,528.0,309.0,196.0,80.0
Grass/Weed Control,30.0,173.0,227.0,343.0,198.0,247.0,244.0,350.0,730.0,824.0
Grids and Drains,16.0,8.0,5.0,3.0,2.0,13.0,14.0,7.0,,
Grit Bins,9.0,30.0,6.0,29.0,29.0,44.0,31.0,20.0,42.0,95.0
Gritting,1.0,1.0,1.0,1.0,1.0,2.0,,,,
Grounds Maintenance,,,,1.0,,1.0,,,1.0,2.0
Gullies,229.0,294.0,135.0,171.0,89.0,174.0,92.0,43.0,83.0,97.0
Gully/Manhole Defects,30.0,44.0,39.0,37.0,31.0,45.0,65.0,61.0,104.0,113.0
Highway Condition,1157.0,1344.0,1169.0,1192.0,1230.0,1292.0,1472.0,1745.0,2327.0,3329.0
Highway Drainage,,3.0,3.0,5.0,4.0,3.0,4.0,2.0,5.0,20.0
Ice & Snow,,5.0,6.0,3.0,7.0,9.0,7.0,9.0,13.0,19.0
Leafing,50.0,114.0,64.0,14.0,12.0,12.0,11.0,8.0,,
Lewisham Homes,97.0,51.0,14.0,12.0,,4.0,3.0,,,
Litter/Litter Bin,872.0,505.0,367.0,343.0,175.0,364.0,161.0,214.0,200.0,102.0
Manhole Covers,62.0,85.0,126.0,139.0,170.0,164.0,193.0,203.0,322.0,518.0
Manhole Defects,13.0,36.0,9.0,10.0,1.0,2.0,5.0,2.0,3.0,1.0
Missed Bin Collection,262.0,240.0,91.0,26.0,2.0,6.0,6.0,2.0,,
Noise,1.0,7.0,1.0,2.0,1.0,,,,,
Obstruction,382.0,764.0,491.0,570.0,379.0,557.0,692.0,419.0,580.0,1208.0
Open Spaces/Parks,399.0,768.0,582.0,813.0,619.0,752.0,727.0,601.0,521.0,247.0
Other,2177.0,2149.0,2042.0,2186.0,2102.0,2202.0,2112.0,2494.0,3002.0,4421.0
Overgrown Vegetation,183.0,759.0,567.0,941.0,789.0,990.0,915.0,1067.0,1391.0,1646.0
Parking,846.0,1079.0,872.0,961.0,827.0,803.0,872.0,777.0,607.0,289.0
Pavement /Footway Defects,2111.0,2237.0,2053.0,2281.0,1977.0,2044.0,2156.0,2244.0,2546.0,1839.0
Pest Control,,2.0,1.0,,,,,1.0,,
Phoenix HA,2.0,9.0,5.0,,,13.0,1.0,,,
Potholes,1260.0,2148.0,2761.0,3209.0,3715.0,3794.0,4801.0,5712.0,10605.0,21027.0
Property Damage,,2.0,,1.0,2.0,2.0,3.0,1.0,1.0,
Public Toilets,6.0,10.0,10.0,14.0,18.0,16.0,12.0,14.0,16.0,18.0
Recycling,26.0,25.0,19.0,5.0,4.0,5.0,1.0,11.0,2.0,
Retaining Wall,8.0,17.0,8.0,4.0,5.0,9.0,9.0,2.0,1.0,
Right of Way,19.0,63.0,59.0,47.0,67.0,78.0,71.0,112.0,190.0,805.0
Road Markings,70.0,166.0,217.0,222.0,346.0,328.0,517.0,486.0,970.0,1355.0
Road Safety,,3.0,1.0,2.0,4.0,11.0,11.0,25.0,44.0,172.0
Road Surface Defects,475.0,1418.0,1092.0,2051.0,1189.0,1893.0,1528.0,1544.0,2390.0,3032.0
Road Works,21.0,51.0,32.0,49.0,48.0,36.0,58.0,87.0,205.0,259.0
Road/Pavement Defects,15.0,44.0,44.0,25.0,32.0,48.0,88.0,7.0,3.0,
Rubbish,1965.0,1436.0,952.0,708.0,678.0,581.0,505.0,558.0,515.0,467.0
Salt Bins,,4.0,3.0,14.0,3.0,3.0,24.0,21.0,43.0,44.0
Shopping Trolley,108.0,60.0,33.0,12.0,4.0,6.0,1.0,1.0,,
Skips,,,2.0,,1.0,2.0,,1.0,1.0,
Spillage on Road,8.0,42.0,20.0,25.0,17.0,20.0,11.0,22.0,44.0,57.0
Street Cleaning,2259.0,3807.0,2364.0,2445.0,1796.0,2024.0,1397.0,1116.0,1213.0,554.0
Street Furniture,72.0,148.0,88.0,68.0,45.0,78.0,57.0,63.0,48.0,50.0
Street Lights,1919.0,3601.0,3571.0,4107.0,3616.0,3849.0,4426.0,4286.0,4678.0,3645.0
Street Name Plates,57.0,120.0,104.0,105.0,116.0,141.0,136.0,120.0,147.0,154.0
Street Signs,946.0,678.0,704.0,637.0,701.0,856.0,916.0,967.0,1498.0,2047.0
Trade Waste,43.0,35.0,10.0,7.0,1.0,,1.0,,,
Traffic Lights,180.0,298.0,296.0,358.0,319.0,368.0,554.0,457.0,472.0,264.0
Trees and Hedges RoW,7.0,21.0,37.0,86.0,87.0,91.0,106.0,111.0,205.0,193.0
Trees on RoW,,9.0,19.0,16.0,18.0,23.0,10.0,20.0,6.0,10.0
Trip Hazard,3.0,29.0,24.0,72.0,138.0,66.0,155.0,148.0,148.0,304.0
Utility Works,56.0,104.0,35.0,58.0,40.0,55.0,21.0,21.0,50.0,19.0
Vehicle Access,,,,2.0,,,,,,
Verge Damage,,4.0,14.0,25.0,13.0,26.0,35.0,31.0,45.0,92.0
Zebra Crossing,1.0,,,,,,,,,
