SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,1771.0,2000.0,1882.0,1450.0,1266.0,905.0,810.0,588.0,595.0,338.0
Bin Replacement,30.0,61.0,57.0,42.0,38.0,16.0,54.0,28.0,42.0,19.0
Bridge/Culvert Defects,243.0,133.0,98.0,52.0,50.0,55.0,39.0,43.0,58.0,41.0
Bus Stops Damage,106.0,272.0,113.0,117.0,103.0,87.0,106.0,66.0,100.0,55.0
Dog Fouling,246.0,312.0,362.0,329.0,241.0,238.0,258.0,269.0,212.0,233.0
Drainage,3249.0,2125.0,2189.0,2099.0,1712.0,1696.0,1326.0,1240.0,1449.0,1016.0
Environmental Health,204.0,160.0,154.0,165.0,138.0,91.0,154.0,59.0,70.0,21.0
Fences,3.0,5.0,2.0,2.0,4.0,5.0,1.0,5.0,3.0,2.0
Gritting,104.0,32.0,91.0,71.0,63.0,45.0,58.0,54.0,32.0,29.0
Grounds Maintenance,140.0,121.0,130.0,78.0,54.0,75.0,75.0,133.0,86.0,35.0
Highways Enquiries,2610.0,2512.0,1908.0,1694.0,1367.0,1254.0,1080.0,1160.0,1093.0,962.0
Incivilities,1201.0,1360.0,1418.0,1445.0,822.0,762.0,461.0,319.0,278.0,211.0
Open Spaces/Parks,834.0,1217.0,897.0,609.0,538.0,516.0,373.0,234.0,250.0,212.0
Other,3347.0,3463.0,2940.0,3109.0,2437.0,2574.0,1792.0,1920.0,1780.0,1312.0
Overgrown/Fallen Veg/Trees,3026.0,2554.0,2587.0,2469.0,2061.0,1765.0,1611.0,1558.0,1636.0,1111.0
Parking,779.0,990.0,968.0,851.0,721.0,642.0,640.0,585.0,592.0,498.0
Pavement /Footway Defects,1484.0,2127.0,1741.0,1735.0,1586.0,1321.0,1166.0,1255.0,1090.0,951.0
Property Damage,,1.0,3.0,,,2.0,4.0,1.0,1.0,
Public Toilets,13.0,16.0,3.0,21.0,8.0,11.0,11.0,10.0,12.0,13.0
Retaining Wall,1.0,10.0,7.0,12.0,13.0,12.0,2.0,4.0,2.0,
Right of Way,1913.0,1599.0,1343.0,1292.0,1039.0,917.0,789.0,688.0,522.0,396.0
Road Safety,2799.0,2429.0,2475.0,2244.0,1724.0,1810.0,1480.0,1299.0,1236.0,917.0
Road Surface Defects,14666.0,9784.0,9157.0,8228.0,6787.0,6541.0,6017.0,4976.0,5188.0,4084.0
Rubbish,19354.0,18379.0,12979.0,9604.0,7165.0,4306.0,4679.0,3109.0,3122.0,2387.0
Street Furniture,1839.0,2599.0,2841.0,2170.0,1487.0,1065.0,474.0,174.0,166.0,80.0
Street Lights,2989.0,3742.0,4501.0,5382.0,4270.0,3709.0,2950.0,2969.0,2835.0,2147.0
Utility Works,49.0,94.0,71.0,60.0,56.0,31.0,37.0,37.0,14.0,10.0
