SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,65.0,48.0,27.0,23.0,13.0,13.0,18.0,15.0,16.0,7.0
Bus Stops Damage,14.0,7.0,10.0,9.0,7.0,9.0,7.0,3.0,2.0,8.0
Dog Fouling,68.0,18.0,12.0,71.0,54.0,13.0,34.0,53.0,36.0,22.0
Fallen/Dangerous Trees,23.0,5.0,8.0,11.0,13.0,9.0,9.0,15.0,19.0,20.0
Fly-tipping,228.0,119.0,37.0,34.0,35.0,33.0,49.0,77.0,46.0,26.0
Flyposting,2.0,2.0,,1.0,,2.0,,2.0,2.0,3.0
Graffiti,31.0,6.0,4.0,6.0,4.0,2.0,5.0,7.0,4.0,8.0
Highway Condition,132.0,74.0,64.0,88.0,73.0,88.0,99.0,118.0,94.0,99.0
Open Spaces/Parks,29.0,23.0,15.0,21.0,9.0,14.0,16.0,12.0,15.0,16.0
Other,115.0,65.0,50.0,48.0,33.0,43.0,64.0,66.0,45.0,54.0
Parking,131.0,56.0,30.0,31.0,17.0,8.0,15.0,19.0,24.0,13.0
Pavement /Footway Defects,144.0,80.0,56.0,36.0,39.0,46.0,49.0,56.0,60.0,53.0
Potholes,332.0,251.0,202.0,181.0,227.0,363.0,497.0,413.0,423.0,302.0
Public Toilets,,,,1.0,1.0,1.0,2.0,2.0,,
Rubbish,276.0,81.0,33.0,31.0,85.0,16.0,25.0,32.0,21.0,14.0
Street Cleaning,72.0,38.0,20.0,17.0,9.0,9.0,11.0,8.0,7.0,15.0
Street Lights,210.0,146.0,114.0,88.0,67.0,71.0,85.0,98.0,72.0,59.0
Street Name Plates,6.0,4.0,,3.0,,1.0,4.0,2.0,5.0,3.0
Street Signs,60.0,30.0,14.0,19.0,11.0,32.0,23.0,31.0,17.0,11.0
Traffic Lights,60.0,20.0,19.0,16.0,10.0,14.0,15.0,24.0,12.0,11.0
