SHEF_A,A1,B1,C1,C2,D1,D2,E1,E2
Abandoned Vehicles,6271.0,111.0,4201.0,12.0,574.0,11.0,528.0,8.0
Accumulated Litter,308.0,,1349.0,,35.0,,171.0,
Barriers/Bollards on RoW,77.0,,99.0,,11.0,,22.0,
Benches/Bicycle Racks,,,25.0,1.0,13.0,,14.0,
Bin Collection,,,17.0,,5.0,,8.0,
Bin Repair/Replacement,205.0,,117.0,,8.0,,8.0,
Blocked Drains,879.0,,4762.0,17.0,2016.0,13.0,2849.0,123.0
Bridge/Culvert Defects,7.0,,297.0,7.0,150.0,3.0,323.0,25.0
Broken Fire Hydrant,,,1.0,,,,,
Broken Kerbs,,,385.0,1.0,161.0,6.0,142.0,3.0
Bus Stops Damage,471.0,24.0,566.0,,68.0,2.0,51.0,
C.C.T.V Faults,,,1.0,,,,,
Countryside RoW,,,,,,,1.0,
Dead Animals,645.0,,308.0,,24.0,,158.0,
Debris/Spillage,158.0,,158.0,,25.0,,92.0,
Demo,6.0,,,,,,,
Discarded Syringes,,,21.0,,,,,
Dog Fouling,1065.0,80.0,1453.0,5.0,155.0,36.0,84.0,17.0
Dog Litter Bin,8.0,,33.0,,5.0,,3.0,
Environmental Health,,,74.0,,2.0,,1.0,
Fallen/Dangerous Trees,1455.0,123.0,4332.0,6.0,1051.0,10.0,1232.0,39.0
Fences,6.0,,18.0,,5.0,,3.0,
Flooding,166.0,,1163.0,10.0,639.0,11.0,1176.0,120.0
Fly-tipping,40577.0,1654.0,14175.0,11.0,2410.0,32.0,4750.0,73.0
Flyposting,390.0,34.0,619.0,2.0,122.0,,164.0,5.0
Garden Waste,165.0,,,,,,,
Gates/Stiles RoW,,,6.0,,34.0,,45.0,
General Highways Enquiries,537.0,,578.0,,40.0,,37.0,
Graffiti,4942.0,144.0,1558.0,3.0,107.0,1.0,68.0,2.0
Grass/Weed Control,196.0,,1765.0,2.0,629.0,,774.0,
Grids and Drains,27.0,,41.0,,,,,
Grit Bins,,,211.0,1.0,37.0,1.0,74.0,11.0
Gritting,2.0,,5.0,,,,,
Grounds Maintenance,,,4.0,,,,1.0,
Gullies,78.0,,1191.0,,44.0,,94.0,
Gully/Manhole Defects,64.0,,326.0,,81.0,,98.0,
Highway Condition,4183.0,566.0,6135.0,16.0,1630.0,73.0,2558.0,139.0
Highway Drainage,,,22.0,,6.0,,21.0,
Ice & Snow,,,46.0,,14.0,,18.0,
Leafing,278.0,,7.0,,,,,
Lewisham Homes,181.0,,,,,,,
Litter/Litter Bin,1750.0,,1262.0,,159.0,,132.0,
Manhole Covers,224.0,,938.0,11.0,352.0,15.0,395.0,47.0
Manhole Defects,79.0,,1.0,1.0,,,1.0,
Missed Bin Collection,635.0,,,,,,,
Noise,,,12.0,,,,,
Obstruction,1285.0,,3108.0,21.0,607.0,18.0,909.0,94.0
Open Spaces/Parks,3431.0,113.0,1852.0,5.0,241.0,3.0,201.0,9.0
Other,4382.0,415.0,12818.0,14.0,2992.0,36.0,3556.0,73.0
Overgrown Vegetation,2775.0,18.0,3628.0,27.0,1411.0,18.0,1299.0,72.0
Parking,3013.0,271.0,3523.0,14.0,492.0,18.0,230.0,20.0
Pavement /Footway Defects,5458.0,536.0,11181.0,22.0,2068.0,23.0,1506.0,48.0
Pest Control,,,4.0,,,,,
Phoenix HA,30.0,,,,,,,
Potholes,5509.0,555.0,23084.0,142.0,9473.0,130.0,15869.0,1010.0
Property Damage,,,12.0,,,,,
Public Toilets,27.0,3.0,68.0,,13.0,3.0,12.0,1.0
Recycling,,,98.0,,,,,
Retaining Wall,,,62.0,,1.0,,,
Right of Way,126.0,,444.0,,209.0,1.0,643.0,88.0
Road Markings,53.0,,2680.0,11.0,799.0,5.0,1061.0,68.0
Road Safety,,,76.0,4.0,43.0,,135.0,15.0
Road Surface Defects,6397.0,,5968.0,26.0,1378.0,13.0,2654.0,176.0
Road Works,80.0,,367.0,3.0,200.0,,192.0,4.0
Road/Pavement Defects,306.0,,,,,,,
Rubbish,3830.0,363.0,2801.0,6.0,372.0,9.0,349.0,17.0
Salt Bins,,,82.0,,38.0,,39.0,
Shopping Trolley,199.0,,26.0,,,,,
Skips,,,6.0,,,,1.0,
Spillage on Road,63.0,,114.0,,32.0,,57.0,
Street Cleaning,13719.0,494.0,3607.0,13.0,348.0,12.0,541.0,13.0
Street Furniture,355.0,,274.0,1.0,54.0,1.0,31.0,1.0
Street Lights,6713.0,266.0,22088.0,188.0,4551.0,94.0,2618.0,77.0
Street Name Plates,224.0,34.0,645.0,3.0,124.0,,132.0,8.0
Street Signs,2224.0,99.0,4371.0,11.0,1281.0,10.0,1675.0,23.0
Trade Waste,96.0,,1.0,,,,,
Traffic Lights,791.0,79.0,1992.0,2.0,279.0,3.0,216.0,3.0
Trees and Hedges RoW,3.0,,607.0,,151.0,,183.0,
Trees on RoW,16.0,,99.0,,8.0,,8.0,
Trip Hazard,,,592.0,15.0,251.0,16.0,180.0,33.0
Utility Works,70.0,,344.0,,25.0,,20.0,
Vehicle Access,,,2.0,,,,,
Verge Damage,32.0,,118.0,,57.0,,78.0,
Zebra Crossing,1.0,,,,,,,
