SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,6.0,14.0,17.0,6.0,9.0,14.0,12.0,14.0,10.0,9.0
Bus Stops Damage,3.0,1.0,8.0,5.0,3.0,9.0,7.0,9.0,4.0,8.0
Dog Fouling,11.0,14.0,28.0,23.0,15.0,12.0,16.0,40.0,21.0,15.0
Highways Enquiries,30.0,52.0,67.0,65.0,69.0,69.0,105.0,102.0,118.0,85.0
Incivilities,10.0,16.0,7.0,14.0,3.0,7.0,4.0,6.0,10.0,4.0
Open Spaces/Parks,14.0,22.0,20.0,16.0,14.0,13.0,11.0,23.0,27.0,15.0
Other,51.0,55.0,69.0,48.0,47.0,34.0,55.0,78.0,52.0,40.0
Overgrown/Fallen Veg/Trees,11.0,16.0,27.0,18.0,31.0,20.0,28.0,31.0,31.0,35.0
Parking,29.0,45.0,28.0,27.0,27.0,32.0,34.0,26.0,37.0,30.0
Pavement /Footway Defects,41.0,55.0,90.0,46.0,48.0,31.0,56.0,67.0,83.0,80.0
Public Toilets,,1.0,1.0,,,,,1.0,,6.0
Road Safety,13.0,22.0,19.0,14.0,25.0,21.0,27.0,32.0,33.0,18.0
Road Surface Defects,61.0,113.0,114.0,111.0,125.0,157.0,201.0,227.0,227.0,189.0
Rubbish,512.0,428.0,202.0,231.0,247.0,150.0,113.0,138.0,183.0,92.0
Street Furniture,6.0,2.0,7.0,2.0,3.0,2.0,,1.0,4.0,5.0
Street Lights,75.0,94.0,179.0,77.0,112.0,40.0,116.0,126.0,154.0,128.0
