SHEF_B,First Report,Reported Before
Abandoned Vehicles,589.0,890.0
Bin Replacement,10.0,7.0
Bridge/Culvert Defects,13.0,5.0
Bus Stops Damage,36.0,38.0
Dog Fouling,119.0,146.0
Drainage,277.0,162.0
Environmental Health,26.0,52.0
Fences,1.0,2.0
Gritting,3.0,4.0
Grounds Maintenance,21.0,15.0
Highways Enquiries,770.0,791.0
Incivilities,142.0,145.0
Open Spaces/Parks,163.0,169.0
Other,926.0,1026.0
Overgrown/Fallen Veg/Trees,513.0,458.0
Parking,455.0,660.0
Pavement /Footway Defects,698.0,888.0
Property Damage,1.0,1.0
Public Toilets,5.0,6.0
Retaining Wall,,1.0
Right of Way,196.0,191.0
Road Safety,413.0,349.0
Road Surface Defects,2454.0,2135.0
Rubbish,2237.0,1673.0
Street Furniture,255.0,137.0
Street Lights,1346.0,1243.0
Utility Works,5.0,12.0
