SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,71.0,39.0,33.0,17.0,19.0,19.0,13.0,16.0,11.0,7.0
Bus Stops Damage,14.0,14.0,9.0,10.0,10.0,9.0,2.0,2.0,4.0,2.0
Dog Fouling,128.0,61.0,17.0,15.0,13.0,14.0,22.0,29.0,47.0,35.0
Open Spaces/Parks,34.0,12.0,23.0,14.0,17.0,16.0,19.0,15.0,16.0,4.0
Other,101.0,68.0,64.0,54.0,60.0,43.0,43.0,50.0,53.0,47.0
Parking,76.0,47.0,51.0,42.0,17.0,29.0,34.0,22.0,15.0,11.0
Pavement /Footway Defects,147.0,81.0,57.0,50.0,56.0,48.0,42.0,42.0,64.0,32.0
Public Toilets,1.0,,,3.0,1.0,1.0,,,,1.0
Road Safety,136.0,74.0,40.0,30.0,27.0,46.0,28.0,26.0,29.0,13.0
Road Surface Defects,415.0,267.0,223.0,220.0,238.0,383.0,300.0,453.0,470.0,222.0
Rubbish,326.0,234.0,271.0,152.0,186.0,84.0,75.0,71.0,69.0,36.0
Street Furniture,4.0,7.0,1.0,2.0,2.0,,6.0,3.0,2.0,1.0
Street Lights,199.0,115.0,100.0,112.0,93.0,92.0,63.0,116.0,57.0,63.0
