SHEF_A,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Abandoned Vehicles,824.0,771.0,807.0,828.0,887.0,1023.0,1222.0,1183.0,1191.0,1145.0,1082.0,1009.0
Accumulated Litter,160.0,184.0,208.0,146.0,140.0,158.0,190.0,116.0,123.0,136.0,177.0,125.0
Barriers/Bollards on RoW,10.0,15.0,9.0,10.0,12.0,27.0,27.0,21.0,33.0,10.0,12.0,23.0
Benches/Bicycle Racks,11.0,8.0,2.0,2.0,2.0,5.0,7.0,4.0,5.0,3.0,2.0,2.0
Bin Collection,5.0,2.0,1.0,1.0,2.0,4.0,3.0,4.0,2.0,1.0,2.0,3.0
Bin Repair/Replacement,19.0,12.0,16.0,20.0,18.0,17.0,30.0,35.0,47.0,47.0,46.0,31.0
Blocked Drains,386.0,470.0,569.0,402.0,522.0,1087.0,561.0,845.0,880.0,1649.0,1800.0,1493.0
Bridge/Culvert Defects,38.0,45.0,38.0,57.0,41.0,75.0,64.0,48.0,59.0,101.0,130.0,116.0
Broken Fire Hydrant,,,,,,,,,,,1.0,
Broken Kerbs,39.0,80.0,61.0,56.0,54.0,52.0,59.0,51.0,58.0,65.0,71.0,52.0
Bus Stops Damage,91.0,113.0,91.0,77.0,79.0,97.0,118.0,135.0,100.0,141.0,133.0,83.0
C.C.T.V Faults,,,,,,,1.0,,,,,
Countryside RoW,,,,,,,1.0,,,,,
Dead Animals,59.0,56.0,50.0,47.0,32.0,102.0,149.0,145.0,123.0,152.0,103.0,117.0
Debris/Spillage,31.0,21.0,15.0,24.0,7.0,35.0,48.0,37.0,22.0,60.0,74.0,59.0
Demo,,,1.0,,,3.0,,2.0,,,,
Discarded Syringes,,1.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,,1.0
Dog Fouling,407.0,451.0,334.0,284.0,250.0,223.0,172.0,188.0,199.0,231.0,262.0,294.0
Dog Litter Bin,1.0,1.0,3.0,2.0,3.0,4.0,2.0,1.0,,16.0,9.0,7.0
Environmental Health,4.0,7.0,11.0,9.0,6.0,10.0,10.0,9.0,2.0,5.0,2.0,2.0
Fallen/Dangerous Trees,286.0,363.0,601.0,421.0,665.0,1100.0,1175.0,1163.0,859.0,805.0,564.0,382.0
Fences,,3.0,,2.0,3.0,1.0,1.0,,2.0,2.0,12.0,6.0
Flooding,61.0,68.0,115.0,38.0,60.0,493.0,90.0,109.0,237.0,535.0,1040.0,439.0
Fly-tipping,4426.0,3716.0,4068.0,4283.0,4066.0,4898.0,6603.0,6677.0,6806.0,6510.0,6325.0,6023.0
Flyposting,75.0,86.0,91.0,98.0,115.0,120.0,135.0,151.0,134.0,133.0,132.0,82.0
Garden Waste,13.0,12.0,10.0,3.0,7.0,17.0,27.0,23.0,17.0,12.0,12.0,12.0
Gates/Stiles RoW,,,3.0,6.0,7.0,15.0,17.0,8.0,8.0,11.0,7.0,3.0
General Highways Enquiries,65.0,64.0,103.0,49.0,109.0,135.0,146.0,84.0,112.0,120.0,122.0,84.0
Graffiti,443.0,404.0,503.0,468.0,432.0,518.0,524.0,605.0,804.0,770.0,702.0,736.0
Grass/Weed Control,82.0,69.0,82.0,153.0,497.0,635.0,691.0,387.0,333.0,207.0,142.0,88.0
Grids and Drains,5.0,3.0,4.0,2.0,1.0,2.0,4.0,7.0,14.0,12.0,9.0,5.0
Grit Bins,79.0,136.0,10.0,9.0,6.0,5.0,3.0,8.0,5.0,17.0,30.0,27.0
Gritting,2.0,2.0,,1.0,,,1.0,,,,1.0,
Grounds Maintenance,,,1.0,2.0,,1.0,1.0,,,,,
Gullies,45.0,90.0,81.0,72.0,73.0,142.0,94.0,114.0,134.0,194.0,199.0,169.0
Gully/Manhole Defects,31.0,31.0,29.0,35.0,30.0,62.0,62.0,46.0,55.0,59.0,55.0,74.0
Highway Condition,1314.0,1473.0,1523.0,1196.0,1149.0,1384.0,1384.0,1312.0,1268.0,1361.0,1419.0,1476.0
Highway Drainage,4.0,1.0,3.0,2.0,2.0,3.0,5.0,4.0,6.0,4.0,5.0,10.0
Ice & Snow,40.0,14.0,,,,,,,,1.0,8.0,15.0
Leafing,3.0,1.0,,,,7.0,9.0,20.0,27.0,36.0,126.0,56.0
Lewisham Homes,17.0,19.0,12.0,9.0,19.0,22.0,13.0,16.0,21.0,11.0,12.0,10.0
Litter/Litter Bin,123.0,141.0,156.0,130.0,133.0,199.0,234.0,311.0,442.0,414.0,533.0,487.0
Manhole Covers,112.0,119.0,97.0,117.0,156.0,129.0,163.0,130.0,202.0,238.0,244.0,275.0
