SHEF_A,2-20 Reports,21-50 Reports,50+ Reports,One Report
Abandoned Vehicles,5010.0,1002.0,2036.0,3924.0
Accumulated Litter,757.0,152.0,692.0,262.0
Barriers/Bollards on RoW,68.0,19.0,93.0,29.0
Benches/Bicycle Racks,18.0,5.0,25.0,5.0
Bin Collection,18.0,4.0,5.0,3.0
Bin Repair/Replacement,97.0,28.0,174.0,39.0
Blocked Drains,4242.0,777.0,3329.0,2309.0
Bridge/Culvert Defects,333.0,72.0,264.0,142.0
Broken Fire Hydrant,1.0,,,
Broken Kerbs,267.0,43.0,198.0,190.0
Bus Stops Damage,386.0,127.0,551.0,194.0
C.C.T.V Faults,,,1.0,
Countryside RoW,,,1.0,
Dead Animals,249.0,68.0,418.0,400.0
Debris/Spillage,119.0,29.0,206.0,79.0
Demo,1.0,,4.0,1.0
Discarded Syringes,3.0,1.0,15.0,2.0
Dog Fouling,1184.0,477.0,1075.0,559.0
Dog Litter Bin,18.0,4.0,22.0,5.0
Environmental Health,16.0,4.0,45.0,12.0
Fallen/Dangerous Trees,3508.0,748.0,2014.0,2114.0
Fences,10.0,2.0,12.0,8.0
Flooding,899.0,127.0,1611.0,642.0
Fly-tipping,18538.0,9061.0,32309.0,4493.0
Flyposting,365.0,164.0,731.0,92.0
Garden Waste,65.0,42.0,43.0,15.0
Gates/Stiles RoW,58.0,3.0,4.0,20.0
General Highways Enquiries,349.0,140.0,437.0,266.0
Graffiti,1507.0,812.0,4159.0,431.0
Grass/Weed Control,1508.0,354.0,764.0,740.0
Grids and Drains,15.0,20.0,19.0,14.0
Grit Bins,102.0,24.0,127.0,82.0
Gritting,2.0,1.0,4.0,
Grounds Maintenance,1.0,1.0,,3.0
Gullies,484.0,89.0,423.0,411.0
Gully/Manhole Defects,258.0,42.0,100.0,169.0
Highway Condition,6589.0,2551.0,4653.0,2466.0
Highway Drainage,13.0,10.0,17.0,9.0
Ice & Snow,37.0,2.0,9.0,30.0
Leafing,75.0,20.0,151.0,39.0
Lewisham Homes,30.0,12.0,131.0,8.0
Litter/Litter Bin,687.0,227.0,2145.0,244.0
Manhole Covers,494.0,147.0,1028.0,312.0
Manhole Defects,12.0,,59.0,6.0
Missed Bin Collection,154.0,79.0,388.0,14.0
Noise,5.0,3.0,,4.0
Obstruction,1781.0,402.0,2404.0,1455.0
Open Spaces/Parks,2492.0,885.0,1886.0,766.0
Other,7132.0,1834.0,11311.0,4611.0
Overgrown Vegetation,3552.0,702.0,3096.0,1896.0
Parking,3481.0,759.0,1060.0,2635.0
Pavement /Footway Defects,8916.0,2613.0,5292.0,4668.0
Pest Control,3.0,1.0,,
Phoenix HA,4.0,2.0,24.0,
Potholes,24839.0,7128.0,15696.0,11370.0
Property Damage,5.0,2.0,1.0,4.0
Public Toilets,51.0,28.0,40.0,15.0
Recycling,52.0,15.0,7.0,24.0
Retaining Wall,31.0,7.0,4.0,21.0
Right of Way,440.0,144.0,724.0,203.0
Road Markings,1747.0,356.0,1694.0,878.0
Road Safety,66.0,19.0,160.0,28.0
Road Surface Defects,7099.0,1503.0,4628.0,3381.0
Road Works,259.0,40.0,271.0,276.0
Road/Pavement Defects,85.0,13.0,130.0,78.0
Rubbish,3710.0,1288.0,2286.0,1083.0
Salt Bins,77.0,4.0,26.0,52.0
Shopping Trolley,38.0,47.0,131.0,9.0
Skips,3.0,1.0,1.0,2.0
Spillage on Road,36.0,16.0,186.0,28.0
Street Cleaning,6622.0,2488.0,7868.0,1999.0
Street Furniture,159.0,38.0,399.0,121.0
Street Lights,14096.0,2744.0,12009.0,8850.0
Street Name Plates,514.0,152.0,310.0,224.0
Street Signs,3600.0,1126.0,3644.0,1581.0
Trade Waste,31.0,22.0,32.0,12.0
Traffic Lights,1477.0,406.0,854.0,829.0
Trees and Hedges RoW,458.0,87.0,55.0,344.0
Trees on RoW,73.0,16.0,14.0,28.0
Trip Hazard,257.0,70.0,540.0,218.0
Utility Works,119.0,36.0,191.0,113.0
Vehicle Access,,,2.0,
Zebra Crossing,1.0,,,
