SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,9.0,14.0,5.0,16.0,9.0,8.0,11.0,14.0,16.0,8.0
Bus Stops Damage,,6.0,6.0,5.0,6.0,7.0,7.0,8.0,9.0,3.0
Dog Fouling,11.0,11.0,7.0,32.0,27.0,28.0,31.0,18.0,11.0,19.0
Open Spaces/Parks,12.0,14.0,25.0,17.0,15.0,15.0,25.0,13.0,10.0,28.0
Other,41.0,54.0,71.0,46.0,34.0,59.0,62.0,28.0,65.0,69.0
Parking,22.0,36.0,24.0,35.0,37.0,34.0,37.0,29.0,34.0,26.0
Pavement /Footway Defects,33.0,54.0,45.0,73.0,46.0,50.0,65.0,49.0,82.0,99.0
Public Toilets,,,,,2.0,,1.0,,,6.0
Road Safety,10.0,13.0,19.0,22.0,27.0,28.0,24.0,23.0,34.0,24.0
Road Surface Defects,73.0,111.0,126.0,102.0,134.0,123.0,143.0,212.0,242.0,259.0
Rubbish,440.0,449.0,201.0,233.0,196.0,162.0,166.0,150.0,149.0,150.0
Street Furniture,3.0,4.0,6.0,5.0,2.0,2.0,1.0,2.0,2.0,5.0
Street Lights,61.0,90.0,102.0,109.0,92.0,118.0,135.0,95.0,152.0,147.0
