SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,6.0,10.0,17.0,13.0,10.0,13.0,10.0,10.0,10.0,12.0
Bus Stops Damage,2.0,3.0,7.0,6.0,10.0,4.0,8.0,6.0,5.0,6.0
Dog Fouling,11.0,11.0,27.0,28.0,22.0,18.0,34.0,14.0,20.0,10.0
Open Spaces/Parks,9.0,23.0,22.0,17.0,20.0,18.0,11.0,16.0,16.0,23.0
Other,48.0,58.0,59.0,50.0,43.0,62.0,39.0,65.0,48.0,57.0
Parking,25.0,40.0,39.0,35.0,27.0,31.0,26.0,29.0,29.0,34.0
Pavement /Footway Defects,34.0,51.0,102.0,43.0,47.0,65.0,59.0,48.0,59.0,89.0
Public Toilets,,1.0,1.0,,,1.0,,1.0,,5.0
Road Safety,12.0,21.0,21.0,12.0,29.0,30.0,20.0,31.0,18.0,30.0
Road Surface Defects,52.0,111.0,113.0,92.0,140.0,151.0,145.0,211.0,268.0,241.0
Rubbish,428.0,349.0,311.0,213.0,258.0,136.0,178.0,156.0,138.0,128.0
Street Furniture,5.0,4.0,5.0,3.0,3.0,,3.0,2.0,2.0,5.0
Street Lights,66.0,94.0,185.0,117.0,84.0,114.0,99.0,102.0,103.0,137.0
