SHEF_A,Not Reported Fixed,Reported Fixed
Abandoned Vehicles,7431.0,4541.0
Accumulated Litter,524.0,1339.0
Barriers/Bollards on RoW,89.0,120.0
Benches/Bicycle Racks,18.0,35.0
Bin Collection,19.0,11.0
Bin Repair/Replacement,193.0,145.0
Blocked Drains,8135.0,2529.0
Bridge/Culvert Defects,694.0,118.0
Broken Fire Hydrant,1.0,
Broken Kerbs,449.0,249.0
Bus Stops Damage,921.0,337.0
C.C.T.V Faults,1.0,
Countryside RoW,1.0,
Dead Animals,441.0,694.0
Debris/Spillage,283.0,150.0
Demo,6.0,
Discarded Syringes,6.0,15.0
Dog Fouling,2054.0,1241.0
Dog Litter Bin,38.0,11.0
Environmental Health,22.0,55.0
Fallen/Dangerous Trees,6987.0,1397.0
Fences,27.0,5.0
Flooding,2594.0,691.0
Fly-tipping,33390.0,31011.0
Flyposting,926.0,426.0
Garden Waste,44.0,121.0
Gates/Stiles RoW,72.0,13.0
General Highways Enquiries,875.0,318.0
Graffiti,3879.0,3030.0
Grass/Weed Control,3154.0,212.0
Grids and Drains,63.0,5.0
Grit Bins,219.0,116.0
Gritting,4.0,3.0
Grounds Maintenance,4.0,1.0
Gullies,615.0,792.0
Gully/Manhole Defects,496.0,73.0
Highway Condition,13007.0,3252.0
Highway Drainage,40.0,9.0
Ice & Snow,63.0,15.0
Leafing,273.0,12.0
Lewisham Homes,145.0,36.0
Litter/Litter Bin,1830.0,1473.0
Manhole Covers,1407.0,575.0
Manhole Defects,72.0,10.0
Missed Bin Collection,46.0,589.0
Noise,8.0,4.0
Obstruction,4461.0,1581.0
Open Spaces/Parks,3627.0,2402.0
Other,14644.0,10244.0
Overgrown Vegetation,7088.0,2161.0
Parking,6747.0,1188.0
Pavement /Footway Defects,15502.0,5988.0
Pest Control,4.0,
Phoenix HA,24.0,6.0
Potholes,36608.0,22431.0
Property Damage,9.0,3.0
Public Toilets,86.0,48.0
Recycling,64.0,34.0
Retaining Wall,48.0,15.0
Right of Way,1296.0,215.0
Road Markings,3342.0,1335.0
Road Safety,240.0,33.0
Road Surface Defects,9811.0,6801.0
Road Works,730.0,116.0
Road/Pavement Defects,268.0,38.0
Rubbish,4679.0,3688.0
Salt Bins,152.0,7.0
Shopping Trolley,198.0,27.0
Skips,5.0,2.0
Spillage on Road,200.0,66.0
Street Cleaning,8218.0,10759.0
Street Furniture,472.0,245.0
Street Lights,17266.0,20433.0
Street Name Plates,909.0,291.0
Street Signs,7866.0,2087.0
Trade Waste,35.0,62.0
Traffic Lights,2210.0,1356.0
Trees and Hedges RoW,812.0,132.0
Trees on RoW,84.0,47.0
Trip Hazard,699.0,388.0
Utility Works,296.0,163.0
Vehicle Access,2.0,
Verge Damage,254.0,31.0
Zebra Crossing,1.0,
