SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,538.0,1199.0,1281.0,1479.0,1361.0,1204.0,1193.0,1077.0,1249.0,1024.0
Bridge/Culvert Defects,32.0,30.0,55.0,103.0,62.0,123.0,103.0,107.0,99.0,98.0
Bus Stops Damage,60.0,108.0,99.0,221.0,97.0,95.0,99.0,98.0,118.0,130.0
Dog Fouling,173.0,323.0,333.0,386.0,294.0,323.0,251.0,239.0,193.0,185.0
Environmental Health,9.0,88.0,123.0,159.0,165.0,179.0,120.0,104.0,164.0,105.0
Fences,2.0,3.0,2.0,6.0,5.0,2.0,6.0,3.0,3.0,
Gritting,18.0,23.0,32.0,50.0,46.0,74.0,59.0,79.0,60.0,138.0
Grounds Maintenance,57.0,64.0,51.0,69.0,83.0,111.0,135.0,161.0,107.0,89.0
Open Spaces/Parks,350.0,657.0,581.0,705.0,537.0,461.0,686.0,525.0,665.0,513.0
Other,1628.0,2043.0,2481.0,2222.0,2235.0,2769.0,3035.0,3038.0,2710.0,2513.0
Parking,619.0,775.0,768.0,883.0,783.0,698.0,691.0,704.0,699.0,646.0
Pavement /Footway Defects,1155.0,1263.0,1191.0,1394.0,1420.0,1405.0,1509.0,1454.0,1687.0,1978.0
Property Damage,1.0,1.0,,,3.0,1.0,3.0,1.0,,2.0
Public Toilets,5.0,7.0,9.0,8.0,12.0,18.0,16.0,14.0,16.0,13.0
Retaining Wall,4.0,5.0,10.0,13.0,9.0,3.0,6.0,3.0,8.0,2.0
Right of Way,470.0,690.0,928.0,1460.0,1097.0,1276.0,1341.0,1164.0,1195.0,877.0
Road Safety,734.0,1053.0,1382.0,1661.0,1617.0,2232.0,2133.0,2472.0,2446.0,2683.0
Road Surface Defects,2358.0,3194.0,4629.0,6324.0,6294.0,8661.0,9846.0,10717.0,11493.0,11912.0
Rubbish,8054.0,10363.0,12520.0,12931.0,10355.0,10547.0,6084.0,5586.0,4605.0,4039.0
Street Furniture,147.0,1113.0,880.0,1566.0,1660.0,1159.0,1564.0,1973.0,1792.0,1041.0
Street Lights,1606.0,2227.0,2475.0,3171.0,3239.0,3459.0,3859.0,4430.0,4896.0,6132.0
Utility Works,27.0,65.0,59.0,79.0,55.0,55.0,47.0,32.0,25.0,15.0
