SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,7.0,15.0,11.0,9.0,14.0,11.0,17.0,12.0,4.0,11.0
Bus Stops Damage,3.0,3.0,5.0,4.0,8.0,13.0,6.0,7.0,4.0,4.0
Dog Fouling,11.0,22.0,20.0,8.0,40.0,23.0,26.0,24.0,11.0,10.0
Open Spaces/Parks,8.0,18.0,26.0,14.0,13.0,25.0,15.0,17.0,19.0,20.0
Other,36.0,85.0,44.0,41.0,51.0,62.0,36.0,62.0,59.0,53.0
Parking,23.0,48.0,36.0,22.0,44.0,33.0,20.0,17.0,34.0,38.0
Pavement /Footway Defects,35.0,83.0,64.0,44.0,62.0,61.0,57.0,54.0,72.0,65.0
Public Toilets,,1.0,,1.0,,,1.0,,1.0,5.0
Road Safety,13.0,16.0,26.0,9.0,31.0,26.0,25.0,28.0,20.0,30.0
Road Surface Defects,48.0,121.0,77.0,112.0,124.0,160.0,154.0,234.0,236.0,258.0
Rubbish,475.0,243.0,263.0,255.0,184.0,221.0,141.0,220.0,172.0,121.0
Street Furniture,4.0,7.0,4.0,,1.0,4.0,1.0,4.0,4.0,3.0
Street Lights,68.0,161.0,110.0,118.0,129.0,87.0,101.0,92.0,145.0,90.0
