SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,10.0,11.0,16.0,10.0,15.0,8.0,9.0,10.0,9.0,13.0
Bus Stops Damage,3.0,4.0,9.0,3.0,4.0,9.0,5.0,9.0,6.0,5.0
Dog Fouling,9.0,24.0,15.0,22.0,20.0,10.0,26.0,36.0,19.0,14.0
Open Spaces/Parks,12.0,26.0,11.0,19.0,13.0,11.0,20.0,18.0,23.0,22.0
Other,56.0,61.0,55.0,43.0,51.0,55.0,31.0,58.0,54.0,65.0
Parking,41.0,28.0,26.0,38.0,32.0,30.0,28.0,35.0,34.0,23.0
Pavement /Footway Defects,49.0,42.0,43.0,40.0,68.0,51.0,50.0,74.0,77.0,103.0
Public Toilets,1.0,1.0,,1.0,1.0,,,,,5.0
Road Safety,27.0,19.0,13.0,20.0,20.0,21.0,21.0,24.0,31.0,28.0
Road Surface Defects,147.0,175.0,138.0,89.0,123.0,132.0,144.0,187.0,202.0,188.0
Rubbish,480.0,215.0,129.0,327.0,235.0,157.0,190.0,232.0,180.0,151.0
Street Furniture,1.0,5.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,7.0
Street Lights,54.0,117.0,69.0,83.0,107.0,107.0,84.0,151.0,146.0,183.0
