SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,623.0,765.0,1145.0,1356.0,1414.0,1322.0,1531.0,1272.0,1232.0,945.0
Bin Replacement,40.0,50.0,60.0,51.0,39.0,45.0,49.0,26.0,20.0,7.0
Bridge/Culvert Defects,135.0,148.0,78.0,86.0,55.0,51.0,77.0,58.0,65.0,59.0
Bus Stops Damage,81.0,85.0,76.0,113.0,113.0,244.0,124.0,136.0,95.0,58.0
Dog Fouling,348.0,301.0,316.0,308.0,289.0,263.0,270.0,212.0,205.0,188.0
Drainage,2266.0,2799.0,2200.0,1609.0,1677.0,1562.0,1770.0,1530.0,1357.0,1331.0
Environmental Health,100.0,112.0,135.0,133.0,178.0,188.0,135.0,115.0,70.0,50.0
Fences,2.0,2.0,7.0,5.0,1.0,8.0,,3.0,3.0,1.0
Gritting,59.0,68.0,59.0,38.0,49.0,63.0,55.0,61.0,66.0,61.0
Grounds Maintenance,145.0,138.0,105.0,89.0,101.0,65.0,81.0,81.0,42.0,80.0
Highways Enquiries,1779.0,2001.0,1814.0,1491.0,1477.0,1643.0,1619.0,1543.0,1232.0,1041.0
Incivilities,733.0,942.0,1054.0,1388.0,988.0,778.0,825.0,570.0,608.0,391.0
Open Spaces/Parks,270.0,409.0,536.0,648.0,645.0,711.0,763.0,642.0,575.0,481.0
Other,2384.0,3256.0,2758.0,2329.0,2491.0,2461.0,2620.0,2277.0,2058.0,2040.0
Overgrown/Fallen Veg/Trees,1387.0,1741.0,1688.0,1686.0,1929.0,2031.0,2561.0,2406.0,2604.0,2345.0
Parking,620.0,794.0,792.0,779.0,860.0,690.0,794.0,721.0,670.0,546.0
Pavement /Footway Defects,1287.0,1719.0,1534.0,1468.0,1340.0,1473.0,1589.0,1439.0,1303.0,1304.0
Property Damage,,1.0,1.0,,1.0,1.0,,2.0,5.0,1.0
Public Toilets,14.0,18.0,17.0,17.0,16.0,6.0,7.0,5.0,8.0,10.0
Retaining Wall,1.0,11.0,9.0,24.0,2.0,5.0,3.0,5.0,3.0,
Right of Way,1195.0,1431.0,1178.0,1133.0,1169.0,1262.0,991.0,959.0,575.0,605.0
Road Safety,1910.0,2204.0,2238.0,1919.0,1540.0,1642.0,1883.0,1804.0,1665.0,1608.0
Road Surface Defects,9320.0,9279.0,6928.0,6623.0,6354.0,6480.0,7956.0,7553.0,7916.0,7019.0
Rubbish,8047.0,10734.0,12534.0,11031.0,11631.0,8588.0,7826.0,5731.0,4997.0,3965.0
Street Furniture,167.0,602.0,770.0,2262.0,1777.0,1376.0,2069.0,1671.0,1670.0,531.0
Street Lights,1830.0,2994.0,3029.0,2949.0,3162.0,3322.0,3951.0,4409.0,4806.0,5042.0
Utility Works,35.0,105.0,67.0,79.0,44.0,39.0,43.0,25.0,20.0,2.0
