SHEF_B,Urban,Rural,More Rural
Abandoned Vehicles,10811.0,603.0,558.0
Bin Replacement,363.0,13.0,11.0
Bridge/Culvert Defects,311.0,153.0,348.0
Bus Stops Damage,1122.0,82.0,54.0
Dog Fouling,2905.0,225.0,165.0
Drainage,10003.0,3177.0,4926.0
Environmental Health,1031.0,26.0,159.0
Fences,24.0,5.0,3.0
Gritting,347.0,90.0,142.0
Grounds Maintenance,530.0,200.0,197.0
Highways Enquiries,12545.0,1865.0,2952.0
Incivilities,7975.0,238.0,245.0
Open Spaces/Parks,5532.0,263.0,234.0
Other,18663.0,3258.0,3884.0
Overgrown/Fallen Veg/Trees,14266.0,3091.0,3406.0
Parking,7141.0,523.0,271.0
Pavement /Footway Defects,13340.0,1327.0,1034.0
Property Damage,12.0,,
Public Toilets,100.0,18.0,16.0
Retaining Wall,62.0,1.0,
Right of Way,7122.0,1223.0,2153.0
Road Safety,13176.0,2558.0,3363.0
Road Surface Defects,47017.0,12000.0,21203.0
Rubbish,78675.0,3763.0,6511.0
Street Furniture,12522.0,165.0,270.0
Street Lights,30105.0,4765.0,2829.0
Utility Works,414.0,25.0,20.0
