SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,15.0,11.0,11.0,9.0,14.0,14.0,5.0,14.0,9.0,9.0
Bus Stops Damage,5.0,3.0,2.0,3.0,5.0,7.0,6.0,5.0,8.0,13.0
Dog Fouling,21.0,13.0,21.0,25.0,31.0,30.0,15.0,12.0,16.0,11.0
Open Spaces/Parks,47.0,26.0,28.0,11.0,8.0,17.0,15.0,9.0,9.0,5.0
Other,104.0,59.0,57.0,33.0,37.0,53.0,64.0,47.0,37.0,38.0
Parking,36.0,40.0,31.0,25.0,32.0,28.0,40.0,24.0,30.0,29.0
Pavement /Footway Defects,75.0,64.0,67.0,45.0,58.0,79.0,56.0,59.0,43.0,51.0
Public Toilets,,,,1.0,6.0,,,1.0,1.0,
Road Safety,38.0,21.0,27.0,25.0,13.0,35.0,20.0,17.0,16.0,12.0
Road Surface Defects,220.0,164.0,143.0,101.0,107.0,168.0,218.0,141.0,162.0,101.0
Rubbish,707.0,192.0,179.0,109.0,290.0,185.0,310.0,111.0,142.0,71.0
Street Furniture,5.0,3.0,3.0,3.0,5.0,6.0,1.0,2.0,1.0,3.0
Street Lights,121.0,81.0,168.0,77.0,95.0,145.0,129.0,103.0,107.0,75.0
