SHEF_B,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Abandoned Vehicles,824.0,771.0,807.0,828.0,887.0,1023.0,1222.0,1183.0,1191.0,1145.0,1082.0,1009.0
Bin Replacement,20.0,13.0,19.0,22.0,21.0,21.0,32.0,36.0,47.0,63.0,55.0,38.0
Bridge/Culvert Defects,38.0,45.0,38.0,57.0,41.0,75.0,64.0,48.0,59.0,101.0,130.0,116.0
Bus Stops Damage,91.0,113.0,91.0,77.0,79.0,97.0,118.0,135.0,100.0,141.0,133.0,83.0
Dog Fouling,407.0,451.0,334.0,284.0,250.0,223.0,172.0,188.0,199.0,231.0,262.0,294.0
Drainage,645.0,782.0,898.0,668.0,844.0,1928.0,994.0,1263.0,1538.0,2718.0,3360.0,2468.0
Environmental Health,63.0,64.0,61.0,56.0,39.0,112.0,160.0,154.0,126.0,157.0,105.0,119.0
Fences,,3.0,,2.0,3.0,1.0,1.0,,2.0,2.0,12.0,6.0
Gritting,210.0,188.0,11.0,12.0,8.0,5.0,5.0,10.0,7.0,24.0,50.0,49.0
Grounds Maintenance,90.0,52.0,54.0,59.0,39.0,91.0,61.0,73.0,65.0,139.0,123.0,81.0
Highways Enquiries,1375.0,1525.0,1614.0,1234.0,1255.0,1511.0,1525.0,1382.0,1377.0,1474.0,1537.0,1553.0
Incivilities,538.0,512.0,611.0,576.0,549.0,644.0,673.0,775.0,973.0,923.0,854.0,830.0
Open Spaces/Parks,345.0,307.0,414.0,526.0,618.0,763.0,810.0,649.0,548.0,427.0,337.0,285.0
Other,1195.0,1236.0,1447.0,2208.0,2221.0,2418.0,2555.0,2626.0,2515.0,2440.0,2637.0,2307.0
Overgrown/Fallen Veg/Trees,569.0,679.0,1072.0,954.0,1996.0,3143.0,3452.0,2918.0,2081.0,1851.0,1270.0,778.0
Parking,587.0,618.0,676.0,633.0,712.0,701.0,757.0,580.0,711.0,648.0,662.0,650.0
Pavement /Footway Defects,1026.0,1066.0,1228.0,1110.0,1251.0,1581.0,1779.0,1549.0,1390.0,1366.0,1303.0,1052.0
Property Damage,2.0,,4.0,1.0,1.0,1.0,1.0,1.0,,,1.0,
Public Toilets,9.0,9.0,5.0,12.0,11.0,14.0,16.0,15.0,20.0,8.0,6.0,9.0
Retaining Wall,6.0,6.0,3.0,11.0,5.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0
Right of Way,385.0,388.0,614.0,498.0,636.0,1107.0,1322.0,1211.0,1204.0,1106.0,1119.0,908.0
Road Safety,1390.0,1307.0,1490.0,1441.0,1443.0,1561.0,1690.0,1573.0,1780.0,1803.0,1963.0,1656.0
Road Surface Defects,6658.0,7941.0,8580.0,6212.0,5342.0,6040.0,5012.0,4463.0,4143.0,6141.0,7664.0,12024.0
Rubbish,6268.0,5601.0,5877.0,6056.0,5695.0,6761.0,9024.0,8925.0,9150.0,8661.0,8659.0,8272.0
Street Furniture,1171.0,829.0,984.0,865.0,893.0,1034.0,1233.0,1132.0,1181.0,1039.0,1307.0,1289.0
Street Lights,4440.0,3113.0,3243.0,1877.0,1550.0,1429.0,1593.0,2415.0,3362.0,4720.0,5540.0,4417.0
Utility Works,24.0,33.0,35.0,30.0,29.0,42.0,21.0,49.0,29.0,67.0,48.0,52.0
