SHEF_A,Urban,Rural,More Rural
Abandoned Vehicles,10811.0,603.0,558.0
Accumulated Litter,1657.0,35.0,171.0
Barriers/Bollards on RoW,176.0,11.0,22.0
Benches/Bicycle Racks,26.0,13.0,14.0
Bin Collection,17.0,5.0,8.0
Bin Repair/Replacement,322.0,8.0,8.0
Blocked Drains,5661.0,2029.0,2974.0
Bridge/Culvert Defects,311.0,153.0,348.0
Broken Fire Hydrant,1.0,,
Broken Kerbs,386.0,167.0,145.0
Bus Stops Damage,1122.0,82.0,54.0
C.C.T.V Faults,1.0,,
Countryside RoW,,,1.0
Dead Animals,953.0,24.0,158.0
Debris/Spillage,316.0,25.0,92.0
Demo,6.0,,
Discarded Syringes,21.0,,
Dog Fouling,2905.0,225.0,165.0
Dog Litter Bin,41.0,5.0,3.0
Environmental Health,74.0,2.0,1.0
Fallen/Dangerous Trees,6013.0,1073.0,1298.0
Fences,24.0,5.0,3.0
Flooding,1339.0,650.0,1296.0
Fly-tipping,56964.0,2474.0,4963.0
Flyposting,1057.0,124.0,171.0
Garden Waste,165.0,,
Gates/Stiles RoW,6.0,34.0,45.0
General Highways Enquiries,1116.0,40.0,37.0
Graffiti,6720.0,114.0,75.0
Grass/Weed Control,1963.0,629.0,774.0
Grids and Drains,68.0,,
Grit Bins,212.0,38.0,85.0
Gritting,7.0,,
Grounds Maintenance,4.0,,1.0
Gullies,1269.0,44.0,94.0
Gully/Manhole Defects,390.0,81.0,98.0
Highway Condition,11513.0,1827.0,2919.0
Highway Drainage,22.0,6.0,21.0
Ice & Snow,46.0,14.0,18.0
Leafing,285.0,,
Lewisham Homes,181.0,,
Litter/Litter Bin,3012.0,159.0,132.0
Manhole Covers,1173.0,367.0,442.0
Manhole Defects,81.0,,1.0
Missed Bin Collection,635.0,,
Noise,12.0,,
Obstruction,4414.0,625.0,1003.0
Open Spaces/Parks,5532.0,263.0,234.0
Other,18058.0,3091.0,3739.0
Overgrown Vegetation,6449.0,1429.0,1371.0
Parking,7141.0,523.0,271.0
Pavement /Footway Defects,17718.0,2140.0,1632.0
Pest Control,4.0,,
Phoenix HA,30.0,,
Potholes,31173.0,9949.0,17917.0
Property Damage,12.0,,
Public Toilets,100.0,18.0,16.0
Recycling,98.0,,
Retaining Wall,62.0,1.0,
Right of Way,570.0,210.0,731.0
Road Markings,2744.0,804.0,1129.0
Road Safety,80.0,43.0,150.0
Road Surface Defects,12391.0,1391.0,2830.0
Road Works,450.0,200.0,196.0
Road/Pavement Defects,306.0,,
Rubbish,7579.0,394.0,394.0
Salt Bins,82.0,38.0,39.0
Shopping Trolley,225.0,,
Skips,6.0,,1.0
Spillage on Road,177.0,32.0,57.0
Street Cleaning,18025.0,373.0,579.0
Street Furniture,630.0,55.0,32.0
Street Lights,30105.0,4765.0,2829.0
Street Name Plates,930.0,128.0,142.0
Street Signs,6903.0,1316.0,1734.0
Trade Waste,97.0,,
Traffic Lights,3040.0,295.0,231.0
Trees and Hedges RoW,610.0,151.0,183.0
Trees on RoW,115.0,8.0,8.0
Trip Hazard,607.0,267.0,213.0
Utility Works,414.0,25.0,20.0
Vehicle Access,2.0,,
Verge Damage,150.0,57.0,78.0
Zebra Crossing,1.0,,
