SHEF_B,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Abandoned Vehicles,1997.0,1945.0,1982.0,1810.0,1706.0,1222.0,1310.0
Bridge/Culvert Defects,165.0,128.0,145.0,149.0,136.0,44.0,45.0
Bus Stops Damage,232.0,193.0,204.0,180.0,141.0,162.0,146.0
Dog Fouling,561.0,543.0,523.0,503.0,466.0,308.0,391.0
Environmental Health,252.0,208.0,191.0,202.0,150.0,108.0,105.0
Fences,3.0,2.0,6.0,7.0,8.0,3.0,3.0
Gritting,138.0,78.0,111.0,114.0,105.0,14.0,19.0
Grounds Maintenance,156.0,160.0,159.0,160.0,148.0,66.0,78.0
Open Spaces/Parks,1016.0,978.0,916.0,831.0,745.0,706.0,837.0
Other,4480.0,4624.0,4616.0,4216.0,4092.0,1828.0,1949.0
Parking,1249.0,1274.0,1181.0,1254.0,1136.0,901.0,940.0
Pavement /Footway Defects,2579.0,2681.0,2477.0,2387.0,2309.0,1598.0,1670.0
Property Damage,2.0,1.0,1.0,2.0,4.0,,2.0
Public Toilets,18.0,18.0,26.0,16.0,17.0,19.0,20.0
Retaining Wall,13.0,13.0,13.0,9.0,9.0,2.0,4.0
Right of Way,1914.0,1913.0,1682.0,1599.0,1436.0,908.0,1046.0
Road Safety,3406.0,3320.0,3358.0,3117.0,2741.0,1512.0,1643.0
Road Surface Defects,14041.0,13931.0,13196.0,12505.0,11500.0,7029.0,8018.0
Rubbish,16231.0,15328.0,13644.0,12695.0,11799.0,8995.0,10257.0
Street Furniture,2488.0,2144.0,2082.0,1841.0,1701.0,1185.0,1516.0
Street Lights,6712.0,6499.0,6171.0,6007.0,5409.0,3241.0,3660.0
Utility Works,91.0,81.0,74.0,77.0,64.0,37.0,35.0
