SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,694.0,1187.0,1388.0,1515.0,1452.0,1129.0,1025.0,1137.0,1047.0,1031.0
Accumulated Litter,11.0,148.0,69.0,134.0,250.0,246.0,221.0,231.0,222.0,331.0
Barriers/Bollards on RoW,,17.0,13.0,17.0,26.0,34.0,24.0,19.0,21.0,38.0
Benches/Bicycle Racks,2.0,5.0,3.0,5.0,3.0,17.0,5.0,,3.0,10.0
Bin Collection,,,2.0,1.0,3.0,5.0,1.0,2.0,10.0,6.0
Bin Repair/Replacement,16.0,49.0,65.0,42.0,26.0,32.0,36.0,23.0,22.0,27.0
Blocked Drains,239.0,363.0,615.0,781.0,816.0,1141.0,1459.0,1630.0,1800.0,1815.0
Bridge/Culvert Defects,26.0,16.0,45.0,70.0,68.0,123.0,142.0,93.0,132.0,97.0
Broken Fire Hydrant,,1.0,,,,,,,,
Broken Kerbs,14.0,21.0,37.0,53.0,41.0,81.0,97.0,61.0,103.0,190.0
Bus Stops Damage,59.0,105.0,109.0,216.0,105.0,101.0,108.0,101.0,92.0,129.0
C.C.T.V Faults,1.0,,,,,,,,,
Countryside RoW,,,,,,1.0,,,,
Dead Animals,14.0,102.0,114.0,125.0,156.0,132.0,110.0,123.0,146.0,113.0
Debris/Spillage,2.0,25.0,51.0,54.0,52.0,43.0,63.0,61.0,58.0,24.0
Demo,,2.0,1.0,2.0,,1.0,,,,
Discarded Syringes,,5.0,2.0,7.0,4.0,,1.0,2.0,,
Dog Fouling,168.0,319.0,376.0,361.0,334.0,267.0,286.0,219.0,171.0,199.0
Dog Litter Bin,,3.0,2.0,7.0,7.0,6.0,11.0,4.0,7.0,2.0
Environmental Health,,6.0,11.0,3.0,15.0,24.0,6.0,4.0,4.0,4.0
Fallen/Dangerous Trees,223.0,416.0,574.0,648.0,709.0,822.0,940.0,956.0,1237.0,1475.0
Fences,1.0,3.0,5.0,4.0,6.0,4.0,7.0,,,2.0
Flooding,80.0,132.0,249.0,386.0,356.0,523.0,547.0,493.0,313.0,206.0
Fly-tipping,6307.0,9031.0,8882.0,9883.0,7983.0,5459.0,4134.0,3528.0,3233.0,3706.0
Flyposting,84.0,112.0,129.0,100.0,171.0,100.0,126.0,90.0,192.0,190.0
Garden Waste,8.0,47.0,31.0,34.0,20.0,21.0,1.0,3.0,,
Gates/Stiles RoW,,,2.0,2.0,,3.0,7.0,31.0,28.0,12.0
General Highways Enquiries,60.0,92.0,150.0,154.0,149.0,123.0,112.0,105.0,121.0,126.0
Graffiti,334.0,734.0,919.0,1047.0,792.0,549.0,586.0,700.0,467.0,658.0
Grass/Weed Control,11.0,88.0,123.0,192.0,230.0,313.0,441.0,496.0,717.0,755.0
Grids and Drains,7.0,6.0,7.0,8.0,1.0,4.0,4.0,6.0,12.0,13.0
Grit Bins,8.0,24.0,19.0,43.0,35.0,34.0,39.0,35.0,56.0,42.0
Gritting,2.0,,,2.0,1.0,1.0,1.0,,,
Grounds Maintenance,,,,,1.0,,1.0,,1.0,2.0
Gullies,140.0,94.0,138.0,153.0,113.0,85.0,153.0,133.0,144.0,254.0
Gully/Manhole Defects,25.0,23.0,34.0,55.0,60.0,66.0,40.0,92.0,93.0,81.0
Highway Condition,719.0,966.0,1138.0,1382.0,1418.0,1444.0,1647.0,1746.0,2100.0,1978.0
Highway Drainage,,2.0,1.0,2.0,1.0,1.0,17.0,1.0,12.0,12.0
Ice & Snow,,1.0,5.0,10.0,1.0,3.0,15.0,6.0,11.0,26.0
Leafing,1.0,16.0,29.0,46.0,35.0,36.0,76.0,33.0,7.0,6.0
Lewisham Homes,10.0,78.0,44.0,21.0,8.0,4.0,,10.0,6.0,
Litter/Litter Bin,110.0,278.0,254.0,283.0,329.0,371.0,442.0,399.0,266.0,571.0
Manhole Covers,67.0,138.0,169.0,229.0,228.0,237.0,282.0,204.0,261.0,167.0
Manhole Defects,,8.0,7.0,14.0,19.0,10.0,11.0,8.0,4.0,1.0
Missed Bin Collection,20.0,145.0,132.0,190.0,71.0,53.0,6.0,8.0,10.0,
Noise,,,2.0,3.0,3.0,3.0,,1.0,,
Obstruction,285.0,451.0,653.0,886.0,643.0,674.0,728.0,624.0,595.0,503.0
Open Spaces/Parks,418.0,614.0,615.0,798.0,496.0,587.0,434.0,607.0,553.0,558.0
Other,1425.0,1718.0,2242.0,2316.0,2117.0,2409.0,2473.0,3068.0,3387.0,2602.0
Overgrown Vegetation,223.0,415.0,626.0,829.0,797.0,1032.0,1206.0,1404.0,1428.0,1288.0
Parking,642.0,705.0,775.0,892.0,889.0,762.0,639.0,750.0,600.0,612.0
Pavement /Footway Defects,1159.0,1481.0,1682.0,1874.0,2064.0,1947.0,2079.0,2172.0,2517.0,3270.0
Pest Control,,,,1.0,,1.0,,1.0,,1.0
Phoenix HA,3.0,9.0,18.0,,,,,,,
Potholes,1733.0,2121.0,3260.0,4121.0,4499.0,5880.0,7041.0,7918.0,8742.0,8932.0
Property Damage,1.0,1.0,,2.0,2.0,1.0,3.0,1.0,1.0,
Public Toilets,2.0,6.0,11.0,13.0,14.0,12.0,20.0,13.0,13.0,14.0
Recycling,13.0,18.0,16.0,14.0,11.0,10.0,8.0,4.0,3.0,1.0
Retaining Wall,3.0,3.0,9.0,11.0,9.0,5.0,8.0,3.0,6.0,6.0
Right of Way,52.0,60.0,64.0,94.0,144.0,378.0,235.0,176.0,221.0,87.0
Road Markings,73.0,116.0,310.0,445.0,446.0,626.0,673.0,563.0,626.0,799.0
Road Safety,7.0,10.0,21.0,37.0,36.0,53.0,50.0,34.0,20.0,5.0
Road Surface Defects,410.0,432.0,963.0,1367.0,1395.0,1638.0,1975.0,2268.0,2582.0,3582.0
Road Works,23.0,45.0,50.0,59.0,63.0,111.0,160.0,112.0,131.0,92.0
Road/Pavement Defects,,21.0,25.0,84.0,36.0,20.0,27.0,14.0,47.0,32.0
Rubbish,901.0,1095.0,975.0,1032.0,760.0,650.0,437.0,410.0,479.0,563.0
Salt Bins,,1.0,9.0,8.0,10.0,9.0,20.0,9.0,35.0,58.0
Shopping Trolley,11.0,49.0,51.0,66.0,22.0,20.0,4.0,,2.0,
Skips,1.0,,,1.0,,1.0,,1.0,2.0,1.0
Spillage on Road,3.0,9.0,28.0,19.0,36.0,39.0,43.0,27.0,38.0,24.0
Street Cleaning,1397.0,1719.0,1877.0,2564.0,2144.0,1431.0,1589.0,2319.0,1722.0,1670.0
Street Furniture,23.0,73.0,93.0,98.0,93.0,81.0,88.0,74.0,54.0,40.0
Street Lights,1503.0,2215.0,2745.0,3370.0,3949.0,3629.0,4278.0,3992.0,4271.0,5542.0
Street Name Plates,51.0,81.0,88.0,113.0,110.0,122.0,135.0,164.0,121.0,153.0
Street Signs,378.0,547.0,771.0,713.0,824.0,885.0,1089.0,1290.0,1498.0,1553.0
Trade Waste,2.0,22.0,22.0,15.0,17.0,15.0,1.0,1.0,1.0,1.0
Traffic Lights,198.0,259.0,274.0,311.0,316.0,336.0,395.0,294.0,410.0,494.0
Trees and Hedges RoW,12.0,24.0,45.0,67.0,94.0,111.0,88.0,147.0,183.0,173.0
Trees on RoW,,9.0,4.0,16.0,33.0,14.0,7.0,7.0,17.0,24.0
Trip Hazard,81.0,72.0,112.0,144.0,126.0,197.0,150.0,110.0,76.0,19.0
Utility Works,26.0,31.0,92.0,47.0,49.0,54.0,51.0,23.0,42.0,44.0
Vehicle Access,,,1.0,1.0,,,,,,
Verge Damage,3.0,15.0,21.0,26.0,10.0,21.0,28.0,58.0,71.0,32.0
Zebra Crossing,1.0,,,,,,,,,
