SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,401.0,661.0,855.0,1134.0,1173.0,1179.0,1393.0,1265.0,1442.0,2102.0
Accumulated Litter,30.0,134.0,64.0,31.0,89.0,142.0,192.0,235.0,392.0,554.0
Barriers/Bollards on RoW,5.0,10.0,7.0,4.0,14.0,33.0,25.0,31.0,31.0,49.0
Benches/Bicycle Racks,8.0,1.0,2.0,1.0,8.0,18.0,3.0,1.0,8.0,3.0
Bin Collection,,,1.0,,1.0,2.0,1.0,1.0,14.0,10.0
Bin Repair/Replacement,5.0,11.0,32.0,45.0,53.0,46.0,29.0,33.0,39.0,45.0
Blocked Drains,242.0,408.0,507.0,458.0,733.0,852.0,1009.0,1309.0,1864.0,3277.0
Bridge/Culvert Defects,36.0,22.0,37.0,31.0,81.0,99.0,74.0,113.0,128.0,191.0
Broken Fire Hydrant,1.0,,,,,,,,,
Broken Kerbs,10.0,9.0,42.0,21.0,55.0,41.0,48.0,84.0,115.0,273.0
Bus Stops Damage,65.0,81.0,83.0,208.0,79.0,109.0,77.0,107.0,142.0,174.0
C.C.T.V Faults,1.0,,,,,,,,,
Countryside RoW,,,,,,,,,1.0,
Dead Animals,4.0,36.0,63.0,78.0,102.0,147.0,139.0,160.0,206.0,200.0
Debris/Spillage,,15.0,28.0,21.0,46.0,66.0,50.0,73.0,55.0,79.0
Demo,,,1.0,1.0,3.0,1.0,,,,
Discarded Syringes,,4.0,,3.0,3.0,3.0,5.0,1.0,2.0,
Dog Fouling,174.0,261.0,280.0,301.0,271.0,395.0,304.0,268.0,219.0,227.0
Dog Litter Bin,,1.0,1.0,2.0,5.0,4.0,7.0,12.0,5.0,12.0
Environmental Health,2.0,11.0,11.0,3.0,6.0,20.0,6.0,9.0,4.0,5.0
Fallen/Dangerous Trees,219.0,308.0,415.0,500.0,561.0,710.0,783.0,1052.0,1242.0,2210.0
Fences,,3.0,5.0,4.0,1.0,8.0,2.0,2.0,5.0,2.0
Flooding,105.0,125.0,241.0,267.0,427.0,467.0,369.0,636.0,315.0,333.0
Fly-tipping,3719.0,4503.0,5675.0,6974.0,7242.0,8932.0,6446.0,7287.0,4598.0,6770.0
Flyposting,81.0,72.0,93.0,108.0,84.0,167.0,84.0,143.0,214.0,248.0
Garden Waste,,5.0,20.0,35.0,41.0,40.0,12.0,9.0,3.0,
Gates/Stiles RoW,,2.0,,,2.0,2.0,15.0,10.0,31.0,23.0
General Highways Enquiries,63.0,93.0,98.0,61.0,109.0,93.0,109.0,148.0,146.0,272.0
Graffiti,286.0,429.0,590.0,644.0,602.0,742.0,747.0,726.0,707.0,1313.0
Grass/Weed Control,21.0,48.0,90.0,93.0,153.0,237.0,304.0,424.0,675.0,1321.0
Grids and Drains,11.0,4.0,16.0,3.0,11.0,4.0,,2.0,1.0,16.0
Grit Bins,16.0,24.0,20.0,33.0,27.0,40.0,32.0,29.0,35.0,79.0
Gritting,2.0,1.0,2.0,,,,,,2.0,
Grounds Maintenance,,,,,,,1.0,1.0,2.0,1.0
Gullies,128.0,188.0,137.0,110.0,159.0,130.0,134.0,138.0,126.0,157.0
Gully/Manhole Defects,10.0,35.0,44.0,32.0,49.0,62.0,80.0,93.0,105.0,59.0
Highway Condition,712.0,838.0,1068.0,1198.0,1248.0,1387.0,1470.0,1686.0,2092.0,2839.0
Highway Drainage,,,,3.0,,1.0,10.0,4.0,16.0,15.0
Ice & Snow,,1.0,1.0,5.0,4.0,8.0,7.0,6.0,16.0,30.0
Leafing,,3.0,9.0,16.0,22.0,57.0,55.0,56.0,48.0,19.0
Lewisham Homes,2.0,3.0,20.0,72.0,40.0,10.0,13.0,15.0,6.0,
Litter/Litter Bin,22.0,119.0,158.0,81.0,346.0,333.0,281.0,573.0,477.0,913.0
Manhole Covers,84.0,87.0,154.0,164.0,223.0,237.0,226.0,254.0,264.0,289.0
Manhole Defects,,1.0,6.0,,9.0,15.0,13.0,16.0,15.0,7.0
Missed Bin Collection,2.0,16.0,58.0,157.0,99.0,191.0,50.0,46.0,14.0,2.0
Noise,,4.0,6.0,,2.0,,,,,
Obstruction,362.0,535.0,514.0,643.0,635.0,740.0,666.0,795.0,630.0,522.0
Open Spaces/Parks,291.0,316.0,510.0,519.0,558.0,500.0,484.0,688.0,766.0,1048.0
Other,1535.0,2372.0,1854.0,2099.0,1996.0,2039.0,2736.0,2272.0,2897.0,3957.0
Overgrown Vegetation,258.0,295.0,384.0,515.0,750.0,873.0,952.0,1365.0,1518.0,2338.0
Parking,526.0,605.0,829.0,828.0,730.0,767.0,665.0,715.0,706.0,895.0
Pavement /Footway Defects,1161.0,1397.0,1761.0,1455.0,1586.0,1815.0,1909.0,2102.0,2787.0,4272.0
Pest Control,,,1.0,1.0,,,2.0,,,
Phoenix HA,,1.0,4.0,4.0,16.0,5.0,,,,
Potholes,1979.0,2151.0,2753.0,3149.0,4039.0,4761.0,5373.0,7200.0,9181.0,13661.0
Property Damage,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,
Public Toilets,4.0,9.0,9.0,8.0,10.0,9.0,9.0,20.0,24.0,16.0
Recycling,8.0,36.0,15.0,8.0,9.0,8.0,7.0,5.0,2.0,
Retaining Wall,3.0,9.0,12.0,10.0,5.0,9.0,6.0,4.0,3.0,2.0
Right of Way,25.0,61.0,88.0,49.0,142.0,190.0,260.0,255.0,243.0,198.0
Road Markings,101.0,155.0,190.0,241.0,353.0,493.0,350.0,634.0,824.0,1336.0
Road Safety,13.0,5.0,11.0,27.0,53.0,36.0,26.0,64.0,22.0,16.0
Road Surface Defects,333.0,425.0,595.0,662.0,1021.0,1061.0,1234.0,2011.0,2655.0,6615.0
Road Works,17.0,37.0,49.0,48.0,53.0,92.0,88.0,179.0,110.0,173.0
Road/Pavement Defects,,8.0,4.0,70.0,11.0,27.0,36.0,40.0,55.0,55.0
Rubbish,764.0,804.0,838.0,898.0,902.0,795.0,686.0,452.0,421.0,742.0
Salt Bins,,,1.0,,,2.0,8.0,23.0,31.0,94.0
Shopping Trolley,7.0,21.0,18.0,45.0,62.0,44.0,15.0,11.0,2.0,
Skips,1.0,,,,1.0,,1.0,2.0,1.0,1.0
Spillage on Road,2.0,18.0,17.0,10.0,23.0,39.0,33.0,43.0,38.0,43.0
Street Cleaning,689.0,833.0,1150.0,1393.0,1371.0,1609.0,2104.0,2240.0,2693.0,4350.0
Street Furniture,23.0,48.0,71.0,56.0,84.0,108.0,100.0,96.0,81.0,50.0
Street Lights,1667.0,1700.0,2237.0,2511.0,2969.0,3262.0,3072.0,4911.0,5397.0,7768.0
Street Name Plates,47.0,71.0,104.0,112.0,111.0,111.0,132.0,143.0,132.0,175.0
Street Signs,422.0,475.0,622.0,567.0,733.0,888.0,869.0,1069.0,1527.0,2376.0
Trade Waste,,1.0,13.0,21.0,17.0,26.0,2.0,11.0,6.0,
Traffic Lights,216.0,202.0,352.0,265.0,237.0,279.0,240.0,319.0,519.0,658.0
Trees and Hedges RoW,5.0,33.0,45.0,95.0,78.0,106.0,143.0,164.0,166.0,109.0
Trees on RoW,,6.0,5.0,10.0,10.0,14.0,17.0,9.0,20.0,40.0
Trip Hazard,104.0,53.0,89.0,99.0,160.0,167.0,156.0,145.0,83.0,31.0
Utility Works,37.0,47.0,68.0,53.0,52.0,52.0,46.0,53.0,24.0,27.0
Vehicle Access,,,1.0,,1.0,,,,,
Zebra Crossing,,,,,,1.0,,,,
