SHEF_B,A1,B1,C1,C2,D1,D2,E1,E2
Abandoned Vehicles,6271.0,111.0,4201.0,12.0,574.0,11.0,528.0,8.0
Bridge/Culvert Defects,7.0,,297.0,7.0,150.0,3.0,323.0,25.0
Bus Stops Damage,471.0,24.0,566.0,,68.0,2.0,51.0,
Dog Fouling,1065.0,80.0,1453.0,5.0,155.0,36.0,84.0,17.0
Environmental Health,645.0,,386.0,,26.0,,159.0,
Fences,6.0,,18.0,,5.0,,3.0,
Gritting,2.0,,344.0,1.0,89.0,1.0,131.0,11.0
Grounds Maintenance,80.0,,447.0,3.0,200.0,,193.0,4.0
Open Spaces/Parks,3431.0,113.0,1852.0,5.0,241.0,3.0,201.0,9.0
Other,4599.0,415.0,13205.0,15.0,3153.0,42.0,3698.0,76.0
Parking,3013.0,271.0,3523.0,14.0,492.0,18.0,230.0,20.0
Pavement /Footway Defects,4526.0,536.0,7735.0,22.0,1256.0,22.0,913.0,43.0
Property Damage,,,12.0,,,,,
Public Toilets,27.0,3.0,68.0,,13.0,3.0,12.0,1.0
Retaining Wall,,,62.0,,1.0,,,
Right of Way,2281.0,,4820.0,21.0,1202.0,21.0,1969.0,184.0
Road Safety,3176.0,178.0,9419.0,29.0,2501.0,19.0,3205.0,110.0
Road Surface Defects,12359.0,555.0,32052.0,168.0,11510.0,144.0,18976.0,1189.0
Rubbish,51531.0,2511.0,23270.0,45.0,3636.0,69.0,6182.0,136.0
Street Furniture,10643.0,34.0,1817.0,4.0,161.0,,260.0,8.0
Street Lights,6713.0,266.0,22088.0,188.0,4551.0,94.0,2618.0,77.0
Utility Works,70.0,,344.0,,25.0,,20.0,
