SHEF_A,First Report,Reported Before
Abandoned Vehicles,4519.0,7204.0
Accumulated Litter,312.0,347.0
Admin,3.0,6.0
Barriers/Bollards on RoW,13.0,12.0
Benches/Bicycle Racks,3.0,2.0
Bin Collection,65.0,37.0
Bin Repair/Replacement,33.0,15.0
Blocked Drains,1022.0,660.0
Bridge/Culvert Defects,60.0,65.0
Broken Kerbs,35.0,14.0
Bus Stops Damage,352.0,413.0
Countryside RoW,1.0,2.0
Dangerous Building/Structure,54.0,68.0
Dead Animals,144.0,294.0
Debris/Spillage,93.0,56.0
Demo,1.0,3.0
Discarded Syringes,3.0,6.0
Dog Fouling,2188.0,3312.0
Dog Litter Bin,10.0,16.0
Dumped Rubbish,759.0,489.0
Environmental Health,2.0,4.0
Fallen/Dangerous Trees,3108.0,3425.0
Fences,20.0,14.0
Flooding,261.0,190.0
Floral displays,2.0,4.0
Fly-tipping,12063.0,8934.0
Flyposting,234.0,200.0
Garden Waste,35.0,45.0
Gates/Stiles RoW,5.0,3.0
General Highways Enquiries,396.0,566.0
Graffiti,2049.0,1437.0
Grass/Weed Control,439.0,328.0
Grids and Drains,9.0,4.0
Grit Bins,3.0,4.0
Gritting,15.0,34.0
Grounds Maintenance,6.0,4.0
Gullies,90.0,47.0
Gully/Manhole Defects,164.0,203.0
Highway Condition,10497.0,11342.0
Highway Drainage,12.0,19.0
Ice & Snow,5.0,6.0
Leafing,43.0,13.0
Lewisham Homes,15.0,5.0
Litter/Litter Bin,220.0,162.0
Manhole Covers,221.0,216.0
Manhole Defects,6.0,11.0
Missed Bin Collection,74.0,34.0
Noise,6.0,11.0
Obstruction,380.0,416.0
Open Spaces/Parks,1638.0,1494.0
Other,9652.0,11334.0
Overgrown Vegetation,838.0,667.0
Parking,4029.0,6778.0
Pavement /Footway Defects,9525.0,10811.0
Pest Control,3.0,1.0
Potholes,25340.0,29081.0
Property Damage,13.0,12.0
Public Toilets,53.0,65.0
Recycling,87.0,57.0
Retaining Wall,6.0,3.0
Right of Way,349.0,397.0
Road Markings,256.0,215.0
Road Safety,3.0,4.0
Road Surface Defects,1112.0,696.0
Road Works,101.0,172.0
Road/Pavement Defects,1001.0,1274.0
Rubbish,4301.0,3888.0
Salt Bins,1.0,1.0
Shopping Trolley,16.0,13.0
Sign or Marking,2.0,1.0
Skips,15.0,9.0
Spillage on Road,17.0,10.0
Street Cleaning,3573.0,2532.0
Street Furniture,87.0,85.0
Street Lights,13385.0,14795.0
Street Name Plates,795.0,935.0
Street Signs,2470.0,2248.0
Trade Waste,10.0,7.0
Traffic Lights,1261.0,1442.0
Trees and Hedges RoW,291.0,384.0
Trees on RoW,63.0,37.0
Trip Hazard,32.0,41.0
Untaxed Vehcile,16.0,24.0
Utility Works,43.0,51.0
Vehicle Access,2.0,2.0
Verge Damage,8.0,7.0
Zebra Crossing,,4.0
