SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,376.0,281.0,192.0,167.0,151.0,147.0,138.0,146.0,106.0,100.0
Bus Stops Damage,136.0,78.0,73.0,72.0,60.0,54.0,45.0,46.0,42.0,55.0
Dog Fouling,543.0,335.0,285.0,521.0,403.0,192.0,293.0,283.0,246.0,219.0
Open Spaces/Parks,209.0,202.0,134.0,168.0,122.0,141.0,113.0,121.0,154.0,145.0
Other,1123.0,722.0,643.0,505.0,566.0,565.0,651.0,672.0,602.0,582.0
Parking,693.0,325.0,257.0,266.0,203.0,194.0,151.0,166.0,149.0,152.0
Pavement /Footway Defects,1297.0,676.0,556.0,535.0,505.0,494.0,493.0,548.0,573.0,686.0
Public Toilets,11.0,10.0,4.0,4.0,7.0,6.0,8.0,7.0,2.0,4.0
Road Safety,887.0,429.0,255.0,353.0,299.0,350.0,397.0,407.0,367.0,342.0
Road Surface Defects,3964.0,2692.0,2290.0,2211.0,2541.0,3360.0,4296.0,4422.0,3690.0,3196.0
Rubbish,4202.0,1839.0,1087.0,1031.0,887.0,680.0,667.0,1096.0,676.0,542.0
Street Furniture,56.0,39.0,31.0,36.0,39.0,33.0,42.0,37.0,38.0,46.0
Street Lights,1981.0,1236.0,1057.0,1031.0,942.0,1170.0,1034.0,1166.0,1267.0,1370.0
