SHEF_A,First Report,Reported Before
Abandoned Vehicles,30826.0,39410.0
Accumulated Litter,1893.0,5554.0
Admin,19.0,1361.0
Barriers/Bollards on RoW,158.0,604.0
Benches/Bicycle Racks,29.0,129.0
Bin Collection,183.0,433.0
Bin Repair/Replacement,182.0,1018.0
Blocked Drains,11815.0,29451.0
Bridge/Culvert Defects,839.0,2076.0
Broken Fire Hydrant,,2.0
Broken Kerbs,616.0,1318.0
Bus Stops Damage,1525.0,4925.0
C.C.T.V Faults,,3.0
Countryside RoW,10.0,24.0
Dangerous Building/Structure,244.0,363.0
Dead Animals,3263.0,3734.0
Debris/Spillage,986.0,2003.0
Demo,5.0,38.0
Discarded Syringes,28.0,149.0
Dog Fouling,11710.0,19010.0
Dog Litter Bin,60.0,246.0
Dumped Rubbish,7025.0,23538.0
Environmental Health,56.0,152.0
Fallen/Dangerous Trees,16465.0,30138.0
Fences,157.0,302.0
Flooding,2659.0,6571.0
Floral displays,39.0,130.0
Fly-tipping,42601.0,270077.0
Flyposting,854.0,6591.0
Garden Waste,219.0,3256.0
Gates/Stiles RoW,85.0,258.0
General Highways Enquiries,2810.0,5540.0
Graffiti,5598.0,43016.0
Grass/Weed Control,5372.0,12889.0
Grids and Drains,55.0,243.0
Grit Bins,240.0,501.0
Gritting,98.0,117.0
Grounds Maintenance,16.0,18.0
Gullies,2381.0,4984.0
Gully/Manhole Defects,1069.0,1537.0
Highway Condition,37341.0,110628.0
Highway Drainage,46.0,165.0
Ice & Snow,165.0,170.0
Leafing,444.0,1555.0
Lewisham Homes,44.0,697.0
Lit Signs,,1.0
Litter/Litter Bin,1908.0,15104.0
Manhole Covers,2124.0,5602.0
Manhole Defects,64.0,196.0
Missed Bin Collection,238.0,2301.0
Noise,58.0,69.0
Obstruction,7482.0,13855.0
Open Spaces/Parks,6895.0,25678.0
Other,46028.0,80809.0
Overgrown Vegetation,11685.0,27882.0
Parking,26191.0,29402.0
Pavement /Footway Defects,45165.0,103053.0
Pest Control,8.0,38.0
Phoenix HA,3.0,79.0
Potholes,117070.0,327032.0
Property Damage,145.0,179.0
Protected Trees,,3.0
Public Toilets,281.0,809.0
Recycling,255.0,697.0
Retaining Wall,124.0,153.0
Right of Way,2496.0,6928.0
Road Markings,3873.0,10198.0
Road Safety,103.0,386.0
Road Surface Defects,17662.0,45926.0
Road Works,1407.0,2943.0
Road/Pavement Defects,3798.0,8907.0
Rubbish,15132.0,43683.0
Salt Bins,97.0,140.0
Shopping Trolley,84.0,823.0
Sign or Marking,2.0,14.0
Skips,80.0,80.0
Spillage on Road,467.0,1181.0
Street Cleaning,15734.0,78997.0
Street Furniture,705.0,2841.0
Street Lights,69177.0,134387.0
Street Name Plates,2818.0,7016.0
Street Signs,11957.0,45303.0
To Let Signs,2.0,30.0
Trade Waste,51.0,210.0
Traffic Lights,6568.0,16127.0
Trees and Hedges RoW,2017.0,2324.0
Trees on RoW,166.0,608.0
Trenches,,1.0
Trip Hazard,772.0,1949.0
Untaxed Vehcile,72.0,74.0
Utility Works,631.0,1854.0
Vehicle Access,9.0,22.0
Verge Damage,364.0,463.0
Zebra Crossing,5.0,48.0
