SHEF_A,Not Reported Fixed,Reported Fixed
Abandoned Vehicles,42623.0,27613.0
Accumulated Litter,3419.0,4028.0
Admin,37.0,1343.0
Barriers/Bollards on RoW,396.0,366.0
Benches/Bicycle Racks,52.0,106.0
Bin Collection,354.0,262.0
Bin Repair/Replacement,736.0,464.0
Blocked Drains,28186.0,13080.0
Bridge/Culvert Defects,2308.0,607.0
Broken Fire Hydrant,1.0,1.0
Broken Kerbs,1307.0,627.0
Bus Stops Damage,4393.0,2057.0
C.C.T.V Faults,1.0,2.0
Countryside RoW,29.0,5.0
Dangerous Building/Structure,435.0,172.0
Dead Animals,2892.0,4105.0
Debris/Spillage,2184.0,805.0
Demo,30.0,13.0
Discarded Syringes,52.0,125.0
Dog Fouling,22015.0,8705.0
Dog Litter Bin,232.0,74.0
Dumped Rubbish,12215.0,18348.0
Environmental Health,73.0,135.0
Fallen/Dangerous Trees,35661.0,10942.0
Fences,356.0,103.0
Flooding,7234.0,1996.0
Floral displays,86.0,83.0
Fly-tipping,165032.0,147646.0
Flyposting,4223.0,3222.0
Garden Waste,270.0,3205.0
Gates/Stiles RoW,289.0,54.0
General Highways Enquiries,6019.0,2331.0
Graffiti,26640.0,21974.0
Grass/Weed Control,14012.0,4249.0
Grids and Drains,269.0,29.0
Grit Bins,465.0,276.0
Gritting,168.0,47.0
Grounds Maintenance,28.0,6.0
Gullies,4022.0,3343.0
Gully/Manhole Defects,2128.0,478.0
Highway Condition,111543.0,36426.0
Highway Drainage,165.0,46.0
Ice & Snow,249.0,86.0
Leafing,1274.0,725.0
Lewisham Homes,430.0,311.0
Lit Signs,1.0,
Litter/Litter Bin,8270.0,8742.0
Manhole Covers,5586.0,2140.0
Manhole Defects,217.0,43.0
Missed Bin Collection,345.0,2194.0
Noise,101.0,26.0
Obstruction,14376.0,6961.0
Open Spaces/Parks,20314.0,12259.0
Other,89121.0,37716.0
Overgrown Vegetation,27591.0,11976.0
Parking,47253.0,8340.0
Pavement /Footway Defects,99953.0,48265.0
Pest Control,44.0,2.0
Phoenix HA,61.0,21.0
Potholes,258428.0,185674.0
Property Damage,231.0,93.0
Protected Trees,2.0,1.0
Public Toilets,735.0,355.0
Recycling,611.0,341.0
Retaining Wall,170.0,107.0
Right of Way,7906.0,1518.0
Road Markings,10351.0,3720.0
Road Safety,417.0,72.0
Road Surface Defects,35924.0,27664.0
Road Works,3792.0,558.0
Road/Pavement Defects,8022.0,4683.0
Rubbish,33741.0,25074.0
Salt Bins,201.0,36.0
Shopping Trolley,551.0,356.0
Sign or Marking,9.0,7.0
Skips,111.0,49.0
Spillage on Road,1067.0,581.0
Street Cleaning,43738.0,50993.0
Street Furniture,2288.0,1258.0
Street Lights,100409.0,103155.0
Street Name Plates,6843.0,2991.0
Street Signs,40268.0,16992.0
To Let Signs,21.0,11.0
Trade Waste,105.0,156.0
Traffic Lights,13171.0,9524.0
Trees and Hedges RoW,3418.0,923.0
Trees on RoW,531.0,243.0
Trenches,,1.0
Trip Hazard,1800.0,921.0
Untaxed Vehcile,89.0,57.0
Utility Works,1627.0,858.0
Vehicle Access,27.0,4.0
Verge Damage,734.0,93.0
Zebra Crossing,44.0,9.0
