SHEF_B,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Abandoned Vehicles,501.0,208.0,159.0,103.0,83.0,192.0,561.0,1749.0,3581.0,5430.0,5676.0,5822.0,5613.0,5359.0,5364.0,5281.0,5048.0,4332.0,3784.0,3278.0,2917.0,2365.0,1729.0,1101.0
Bin Replacement,6.0,2.0,3.0,1.0,1.0,6.0,9.0,48.0,80.0,129.0,179.0,150.0,132.0,118.0,118.0,114.0,109.0,78.0,75.0,49.0,37.0,29.0,21.0,12.0
Bridge/Culvert Defects,12.0,4.0,,5.0,,5.0,18.0,60.0,128.0,231.0,281.0,292.0,246.0,234.0,274.0,258.0,243.0,154.0,131.0,103.0,96.0,70.0,43.0,27.0
Bus Stops Damage,134.0,67.0,63.0,24.0,31.0,45.0,83.0,202.0,364.0,453.0,468.0,450.0,465.0,441.0,409.0,393.0,401.0,368.0,303.0,312.0,325.0,289.0,184.0,176.0
Dangerous Building/Structure,9.0,10.0,4.0,,1.0,1.0,3.0,12.0,30.0,34.0,41.0,57.0,62.0,62.0,65.0,46.0,47.0,35.0,37.0,38.0,40.0,29.0,39.0,21.0
Dog Fouling,275.0,130.0,57.0,35.0,53.0,49.0,210.0,800.0,1933.0,3005.0,2629.0,2548.0,2319.0,2239.0,2248.0,2153.0,1996.0,1623.0,1323.0,1321.0,1285.0,1101.0,845.0,543.0
Drainage,392.0,137.0,86.0,65.0,55.0,127.0,486.0,1337.0,3273.0,6182.0,6554.0,6687.0,6024.0,5793.0,6024.0,5781.0,5106.0,3592.0,2655.0,2343.0,2057.0,1867.0,1538.0,801.0
Environmental Health,58.0,32.0,10.0,16.0,8.0,46.0,134.0,417.0,738.0,859.0,750.0,639.0,511.0,462.0,461.0,379.0,368.0,279.0,243.0,213.0,194.0,175.0,152.0,107.0
Fences,4.0,1.0,1.0,,,1.0,,5.0,15.0,44.0,47.0,44.0,31.0,40.0,41.0,48.0,34.0,23.0,15.0,14.0,18.0,18.0,11.0,4.0
Floral Displays,,1.0,,,,,3.0,4.0,12.0,11.0,20.0,14.0,14.0,13.0,5.0,13.0,10.0,4.0,9.0,11.0,9.0,4.0,6.0,6.0
Gritting,4.0,4.0,1.0,,3.0,1.0,11.0,36.0,81.0,190.0,165.0,200.0,134.0,88.0,130.0,119.0,96.0,60.0,52.0,47.0,34.0,37.0,17.0,18.0
Grounds Maintenance,24.0,15.0,13.0,13.0,11.0,18.0,38.0,106.0,308.0,466.0,452.0,395.0,358.0,332.0,355.0,375.0,324.0,263.0,192.0,140.0,147.0,153.0,116.0,73.0
Highways Enquiries,1909.0,949.0,522.0,326.0,245.0,472.0,1322.0,3732.0,7463.0,10205.0,10700.0,10769.0,10685.0,10611.0,10651.0,10753.0,10677.0,9881.0,9662.0,8693.0,8108.0,7370.0,6230.0,3940.0
Incivilities,657.0,273.0,131.0,110.0,65.0,149.0,476.0,1330.0,2937.0,3987.0,3924.0,4087.0,3956.0,4158.0,4107.0,4025.0,4116.0,3671.0,3201.0,2789.0,2824.0,2421.0,1916.0,1233.0
Open Spaces/Parks,305.0,148.0,62.0,35.0,40.0,62.0,290.0,872.0,1664.0,2427.0,2570.0,2603.0,2506.0,2350.0,2375.0,2453.0,2194.0,1964.0,1781.0,1607.0,1422.0,1284.0,974.0,594.0
Other,1311.0,695.0,393.0,220.0,257.0,358.0,1063.0,3262.0,6640.0,9620.0,10323.0,10215.0,9794.0,9509.0,10054.0,10169.0,9038.0,7283.0,6448.0,6108.0,5914.0,5296.0,4488.0,2746.0
Overgrown/Fallen Veg/Trees,610.0,301.0,170.0,113.0,123.0,255.0,797.0,2239.0,4761.0,8193.0,9193.0,9612.0,8745.0,8240.0,8618.0,8323.0,7445.0,5275.0,4326.0,4008.0,3922.0,3470.0,2667.0,1464.0
Parking,654.0,309.0,158.0,96.0,85.0,174.0,435.0,1289.0,2581.0,3792.0,3809.0,3799.0,3847.0,3913.0,3768.0,4231.0,4004.0,3574.0,3288.0,3200.0,2978.0,2517.0,1972.0,1120.0
Pavement /Footway Defects,1243.0,519.0,267.0,174.0,144.0,285.0,930.0,2576.0,5644.0,8844.0,9805.0,9977.0,9969.0,9688.0,9891.0,9544.0,9199.0,7591.0,6543.0,6194.0,5970.0,5063.0,4219.0,2518.0
Property Damage,3.0,2.0,1.0,,,1.0,1.0,5.0,11.0,18.0,28.0,26.0,24.0,23.0,24.0,27.0,40.0,22.0,17.0,10.0,12.0,12.0,5.0,12.0
Public Toilets,17.0,6.0,1.0,1.0,2.0,6.0,8.0,21.0,36.0,58.0,82.0,76.0,64.0,99.0,79.0,102.0,70.0,68.0,69.0,60.0,54.0,47.0,33.0,31.0
Retaining Wall,1.0,1.0,,,,,2.0,4.0,14.0,29.0,17.0,28.0,22.0,26.0,23.0,14.0,26.0,21.0,14.0,15.0,5.0,7.0,3.0,5.0
Right of Way,389.0,145.0,61.0,42.0,51.0,103.0,355.0,994.0,2223.0,3993.0,4205.0,4084.0,3809.0,3437.0,3739.0,3850.0,3371.0,2488.0,2116.0,1938.0,1685.0,1393.0,1124.0,770.0
Road Safety,1189.0,610.0,304.0,211.0,203.0,339.0,872.0,2308.0,4880.0,7064.0,7215.0,7314.0,6963.0,6705.0,6788.0,6714.0,6453.0,5396.0,4742.0,4493.0,4339.0,4105.0,3638.0,2495.0
Road Surface Defects,4656.0,1972.0,1077.0,749.0,669.0,1328.0,4043.0,12771.0,27008.0,36830.0,39253.0,40458.0,39675.0,40332.0,40677.0,40327.0,38030.0,31879.0,28069.0,26385.0,25582.0,22970.0,18250.0,10249.0
Rubbish,3980.0,1714.0,825.0,568.0,580.0,1290.0,5339.0,16800.0,32250.0,41839.0,42785.0,43123.0,38950.0,37226.0,36500.0,35331.0,33714.0,28922.0,25685.0,22268.0,19820.0,16545.0,12903.0,8041.0
Street Furniture,403.0,182.0,100.0,44.0,52.0,114.0,505.0,1663.0,2708.0,4343.0,4518.0,4013.0,3799.0,3434.0,3420.0,3293.0,3142.0,2332.0,1945.0,1787.0,1659.0,1396.0,1133.0,794.0
Street Lights,4419.0,2245.0,1180.0,880.0,676.0,1056.0,2478.0,4684.0,7654.0,11943.0,12030.0,11692.0,10598.0,9601.0,9792.0,9463.0,10439.0,11394.0,12487.0,14295.0,15061.0,15662.0,14858.0,8977.0
Utility Works,13.0,5.0,4.0,5.0,5.0,7.0,25.0,48.0,156.0,215.0,244.0,223.0,205.0,192.0,206.0,219.0,183.0,135.0,104.0,88.0,67.0,63.0,48.0,26.0
