SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,4148.0,6713.0,7913.0,9272.0,8860.0,6651.0,5841.0,6103.0,6073.0,5879.0
Bin Replacement,65.0,219.0,225.0,228.0,125.0,177.0,180.0,88.0,88.0,111.0
Bridge/Culvert Defects,66.0,66.0,169.0,238.0,207.0,362.0,483.0,392.0,501.0,431.0
Bus Stops Damage,410.0,632.0,602.0,726.0,618.0,534.0,529.0,470.0,443.0,541.0
Dangerous Building/Structure,27.0,97.0,103.0,110.0,85.0,76.0,53.0,51.0,52.0,69.0
Dog Fouling,1966.0,2773.0,2968.0,3326.0,3579.0,2808.0,2447.0,2214.0,1852.0,1651.0
Drainage,1735.0,2670.0,4216.0,5355.0,5571.0,7024.0,8888.0,10223.0,11611.0,11642.0
Environmental Health,154.0,555.0,679.0,808.0,966.0,799.0,727.0,817.0,894.0,852.0
Fences,4.0,36.0,37.0,48.0,54.0,55.0,56.0,54.0,63.0,52.0
Floral Displays,6.0,10.0,11.0,20.0,13.0,15.0,9.0,34.0,21.0,30.0
Gritting,41.0,73.0,90.0,164.0,154.0,154.0,189.0,159.0,224.0,280.0
Grounds Maintenance,164.0,315.0,390.0,440.0,422.0,675.0,610.0,590.0,592.0,489.0
Highways Enquiries,8103.0,10286.0,11232.0,12335.0,13015.0,14480.0,15890.0,16386.0,18577.0,18205.0
Incivilities,3160.0,6119.0,7389.0,7039.0,6514.0,4951.0,4513.0,4935.0,4027.0,5553.0
Open Spaces/Parks,2397.0,3301.0,3545.0,3732.0,2658.0,3136.0,2350.0,2940.0,2923.0,2912.0
Other,9360.0,10977.0,11759.0,12255.0,12428.0,12821.0,11990.0,12989.0,13244.0,12708.0
Overgrown/Fallen Veg/Trees,2885.0,5033.0,6539.0,8468.0,8818.0,9943.0,12276.0,13554.0,15838.0,16895.0
Parking,4326.0,5218.0,5703.0,5945.0,5801.0,5221.0,5067.0,4914.0,4187.0,4221.0
Pavement /Footway Defects,7087.0,8594.0,9730.0,11021.0,11555.0,11681.0,12592.0,13003.0,13474.0,17493.0
Property Damage,14.0,12.0,13.0,24.0,29.0,24.0,33.0,63.0,64.0,48.0
Public Toilets,58.0,84.0,88.0,121.0,111.0,107.0,119.0,107.0,82.0,99.0
Retaining Wall,23.0,20.0,46.0,31.0,20.0,19.0,37.0,21.0,22.0,38.0
Right of Way,1591.0,2634.0,4056.0,4632.0,4864.0,5384.0,5170.0,6003.0,6771.0,5260.0
Road Safety,4044.0,5209.0,7035.0,7937.0,8725.0,9300.0,10628.0,10704.0,12543.0,13561.0
Road Surface Defects,15191.0,20098.0,28837.0,35439.0,40146.0,49793.0,60834.0,70234.0,83686.0,85284.0
Rubbish,46560.0,62694.0,63330.0,69448.0,58484.0,43622.0,36513.0,34990.0,31864.0,33890.0
Street Furniture,2284.0,3357.0,4528.0,6392.0,6439.0,3939.0,4264.0,6034.0,4350.0,4510.0
Street Lights,10545.0,13053.0,14858.0,17560.0,19446.0,18687.0,21330.0,20478.0,21571.0,26971.0
Utility Works,115.0,218.0,346.0,266.0,300.0,241.0,314.0,197.0,224.0,265.0
