SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,85.0,110.0,134.0,114.0,93.0,88.0,67.0,74.0,88.0,53.0
Bus Stops Damage,31.0,16.0,30.0,36.0,24.0,26.0,34.0,25.0,30.0,28.0
Dog Fouling,154.0,176.0,190.0,243.0,182.0,177.0,147.0,151.0,132.0,108.0
Highways Enquiries,301.0,380.0,496.0,417.0,536.0,581.0,807.0,753.0,790.0,587.0
Incivilities,86.0,99.0,91.0,83.0,103.0,99.0,63.0,91.0,142.0,104.0
Open Spaces/Parks,88.0,145.0,117.0,84.0,128.0,78.0,93.0,109.0,163.0,151.0
Other,390.0,412.0,435.0,428.0,360.0,360.0,414.0,410.0,388.0,316.0
Overgrown/Fallen Veg/Trees,65.0,80.0,132.0,119.0,163.0,116.0,178.0,170.0,180.0,179.0
Parking,263.0,263.0,245.0,278.0,206.0,219.0,264.0,198.0,261.0,188.0
Pavement /Footway Defects,295.0,385.0,440.0,381.0,383.0,319.0,418.0,397.0,523.0,504.0
Public Toilets,3.0,3.0,4.0,6.0,1.0,5.0,8.0,4.0,4.0,11.0
Road Safety,97.0,124.0,137.0,101.0,134.0,147.0,165.0,183.0,230.0,164.0
Road Surface Defects,524.0,741.0,851.0,794.0,772.0,1070.0,1359.0,1403.0,1620.0,1372.0
Rubbish,2349.0,1824.0,1331.0,1254.0,1446.0,919.0,882.0,846.0,1068.0,600.0
Street Furniture,25.0,33.0,24.0,24.0,14.0,16.0,35.0,37.0,27.0,29.0
Street Lights,405.0,520.0,820.0,529.0,559.0,389.0,612.0,658.0,845.0,817.0
