SHEF_A,2-20 Reports,21-50 Reports,50+ Reports,One Report
Abandoned Vehicles,24712.0,4935.0,8889.0,18847.0
Accumulated Litter,2627.0,608.0,1666.0,1034.0
Admin,15.0,1.0,1354.0,10.0
Barriers/Bollards on RoW,164.0,42.0,198.0,71.0
Benches/Bicycle Racks,33.0,15.0,58.0,14.0
Bin Collection,266.0,69.0,155.0,108.0
Bin Repair/Replacement,192.0,57.0,360.0,69.0
Blocked Drains,11452.0,2873.0,9579.0,5545.0
Bridge/Culvert Defects,719.0,170.0,436.0,333.0
Broken Fire Hydrant,2.0,,,
Broken Kerbs,389.0,62.0,256.0,288.0
Bus Stops Damage,1943.0,674.0,1908.0,914.0
C.C.T.V Faults,2.0,,1.0,
Countryside RoW,12.0,3.0,11.0,7.0
Dangerous Building/Structure,246.0,86.0,110.0,165.0
Dead Animals,1903.0,305.0,1052.0,1992.0
Debris/Spillage,977.0,329.0,489.0,498.0
Demo,5.0,3.0,15.0,2.0
Discarded Syringes,24.0,5.0,120.0,13.0
Dog Fouling,10620.0,3101.0,5829.0,7816.0
Dog Litter Bin,80.0,18.0,37.0,31.0
Dumped Rubbish,13124.0,4583.0,9254.0,3602.0
Environmental Health,27.0,13.0,73.0,30.0
Fallen/Dangerous Trees,15254.0,3755.0,6527.0,8255.0
Fences,167.0,46.0,54.0,90.0
Flooding,1857.0,258.0,1905.0,1260.0
Floral displays,78.0,23.0,45.0,23.0
Fly-tipping,68817.0,34083.0,103019.0,18837.0
Flyposting,1507.0,803.0,3739.0,452.0
Garden Waste,191.0,76.0,2881.0,67.0
Gates/Stiles RoW,64.0,3.0,10.0,21.0
General Highways Enquiries,2780.0,846.0,1667.0,1685.0
Graffiti,9061.0,4615.0,22304.0,2757.0
Grass/Weed Control,6491.0,1626.0,3295.0,2621.0
Grids and Drains,44.0,31.0,41.0,25.0
Grit Bins,183.0,36.0,214.0,142.0
Gritting,91.0,14.0,38.0,62.0
Grounds Maintenance,17.0,2.0,,10.0
Gullies,1424.0,316.0,1071.0,1223.0
Gully/Manhole Defects,895.0,169.0,336.0,614.0
Highway Condition,51108.0,19283.0,39782.0,21819.0
Highway Drainage,54.0,44.0,39.0,26.0
Ice & Snow,140.0,21.0,19.0,106.0
Leafing,776.0,176.0,476.0,235.0
Lewisham Homes,84.0,30.0,437.0,22.0
Lit Signs,,,1.0,
Litter/Litter Bin,2700.0,1025.0,6439.0,880.0
Manhole Covers,1830.0,529.0,1746.0,975.0
Manhole Defects,56.0,7.0,74.0,33.0
Missed Bin Collection,417.0,201.0,1320.0,106.0
Noise,61.0,12.0,8.0,38.0
Obstruction,5624.0,1066.0,4515.0,3865.0
Open Spaces/Parks,10409.0,3771.0,7792.0,3386.0
Other,42086.0,10621.0,24800.0,27742.0
Overgrown Vegetation,11787.0,2458.0,5752.0,5166.0
Parking,20058.0,4209.0,5259.0,16350.0
Pavement /Footway Defects,50056.0,15441.0,29697.0,25078.0
Pest Control,28.0,6.0,7.0,4.0
Phoenix HA,12.0,12.0,30.0,
Potholes,150582.0,51090.0,108477.0,61882.0
Property Damage,141.0,43.0,45.0,92.0
Protected Trees,,,1.0,
Public Toilets,370.0,148.0,278.0,169.0
Recycling,432.0,215.0,53.0,133.0
Retaining Wall,86.0,16.0,25.0,76.0
Right of Way,2582.0,883.0,2490.0,1208.0
Road Markings,3689.0,870.0,2725.0,1937.0
Road Safety,82.0,22.0,180.0,38.0
Road Surface Defects,18830.0,4443.0,12460.0,8527.0
Road Works,794.0,102.0,397.0,753.0
Road/Pavement Defects,4617.0,1496.0,3681.0,2177.0
Rubbish,21193.0,7464.0,12477.0,8176.0
Salt Bins,106.0,12.0,33.0,67.0
Shopping Trolley,151.0,105.0,399.0,40.0
Sign or Marking,7.0,6.0,2.0,1.0
Skips,73.0,12.0,21.0,47.0
Spillage on Road,504.0,123.0,398.0,268.0
Street Cleaning,24727.0,10252.0,32668.0,7287.0
Street Furniture,560.0,189.0,900.0,311.0
Street Lights,65675.0,15211.0,45286.0,39808.0
Street Name Plates,3427.0,999.0,2217.0,1484.0
Street Signs,16017.0,6067.0,17274.0,6050.0
To Let Signs,4.0,2.0,24.0,2.0
Trade Waste,70.0,36.0,58.0,25.0
Traffic Lights,7783.0,2685.0,4983.0,3854.0
Trees and Hedges RoW,1641.0,292.0,217.0,1111.0
Trees on RoW,257.0,67.0,128.0,88.0
Trenches,,,1.0,
Trip Hazard,430.0,114.0,755.0,333.0
Untaxed Vehcile,76.0,10.0,11.0,49.0
Utility Works,513.0,151.0,519.0,370.0
Vehicle Access,4.0,,5.0,4.0
Verge Damage,132.0,8.0,56.0,142.0
Zebra Crossing,5.0,1.0,3.0,3.0
