SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,72.0,101.0,155.0,112.0,107.0,78.0,72.0,74.0,67.0,68.0
Bus Stops Damage,25.0,23.0,39.0,24.0,31.0,26.0,28.0,27.0,23.0,34.0
Dog Fouling,139.0,169.0,207.0,283.0,182.0,173.0,186.0,114.0,121.0,87.0
Open Spaces/Parks,87.0,133.0,134.0,99.0,114.0,109.0,72.0,128.0,121.0,159.0
Other,352.0,385.0,498.0,393.0,343.0,422.0,347.0,367.0,407.0,393.0
Parking,256.0,281.0,232.0,261.0,232.0,267.0,227.0,190.0,206.0,232.0
Pavement /Footway Defects,271.0,353.0,504.0,346.0,393.0,419.0,357.0,408.0,401.0,584.0
Public Toilets,3.0,2.0,8.0,3.0,2.0,6.0,4.0,7.0,5.0,9.0
Road Safety,80.0,122.0,134.0,107.0,124.0,138.0,155.0,201.0,171.0,246.0
Road Surface Defects,539.0,705.0,812.0,737.0,782.0,979.0,1012.0,1370.0,1771.0,1794.0
Rubbish,1906.0,1682.0,1574.0,1296.0,1257.0,932.0,1118.0,937.0,916.0,890.0
Street Furniture,27.0,31.0,33.0,15.0,16.0,25.0,27.0,34.0,27.0,29.0
Street Lights,379.0,528.0,843.0,648.0,483.0,657.0,537.0,590.0,592.0,884.0
