SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,142.0,125.0,76.0,93.0,114.0,111.0,62.0,85.0,51.0,47.0
Bus Stops Damage,47.0,26.0,32.0,28.0,28.0,49.0,20.0,18.0,18.0,14.0
Dog Fouling,134.0,326.0,169.0,208.0,155.0,205.0,166.0,100.0,134.0,62.0
Highways Enquiries,515.0,496.0,377.0,436.0,534.0,693.0,651.0,597.0,701.0,646.0
Incivilities,149.0,161.0,73.0,131.0,104.0,110.0,74.0,47.0,63.0,49.0
Open Spaces/Parks,162.0,161.0,97.0,131.0,93.0,132.0,107.0,107.0,102.0,64.0
Other,558.0,512.0,317.0,419.0,422.0,408.0,337.0,311.0,320.0,306.0
Overgrown/Fallen Veg/Trees,96.0,106.0,95.0,135.0,134.0,179.0,143.0,152.0,177.0,165.0
Parking,390.0,285.0,208.0,314.0,222.0,303.0,231.0,172.0,145.0,115.0
Pavement /Footway Defects,477.0,440.0,275.0,365.0,440.0,519.0,409.0,368.0,375.0,375.0
Public Toilets,4.0,3.0,4.0,3.0,6.0,6.0,5.0,5.0,11.0,2.0
Road Safety,206.0,184.0,94.0,135.0,152.0,183.0,146.0,106.0,142.0,133.0
Road Surface Defects,784.0,932.0,736.0,855.0,1067.0,1200.0,1126.0,1184.0,1265.0,1358.0
Rubbish,2631.0,2004.0,1639.0,1462.0,1161.0,1129.0,989.0,583.0,496.0,425.0
Street Furniture,18.0,21.0,20.0,27.0,35.0,37.0,39.0,22.0,25.0,20.0
Street Lights,541.0,685.0,444.0,577.0,724.0,756.0,612.0,562.0,485.0,767.0
