SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,3168.0,5967.0,7640.0,7974.0,8256.0,6728.0,6831.0,5971.0,7491.0,7427.0
Bin Replacement,66.0,133.0,244.0,257.0,161.0,184.0,132.0,80.0,85.0,164.0
Bridge/Culvert Defects,90.0,115.0,190.0,182.0,212.0,383.0,308.0,432.0,472.0,531.0
Bus Stops Damage,446.0,505.0,589.0,642.0,679.0,473.0,534.0,489.0,549.0,599.0
Dangerous Building/Structure,11.0,57.0,84.0,93.0,92.0,88.0,71.0,75.0,56.0,96.0
Dog Fouling,2228.0,2744.0,3011.0,3079.0,3162.0,2947.0,2595.0,2071.0,2018.0,1729.0
Drainage,1913.0,2877.0,4232.0,4923.0,5310.0,6537.0,7340.0,9648.0,11596.0,14559.0
Environmental Health,95.0,460.0,648.0,691.0,965.0,703.0,837.0,678.0,1082.0,1092.0
Fences,7.0,40.0,39.0,53.0,39.0,50.0,35.0,72.0,64.0,60.0
Floral Displays,,12.0,8.0,13.0,20.0,12.0,14.0,21.0,28.0,41.0
Gritting,49.0,86.0,116.0,116.0,153.0,135.0,131.0,188.0,218.0,336.0
Grounds Maintenance,223.0,317.0,378.0,493.0,384.0,668.0,472.0,629.0,573.0,550.0
Highways Enquiries,8462.0,9340.0,11318.0,11853.0,12613.0,14270.0,14830.0,15979.0,18753.0,21091.0
Incivilities,3080.0,4286.0,5922.0,6430.0,7115.0,4727.0,5897.0,4456.0,4927.0,7360.0
Open Spaces/Parks,2148.0,3055.0,3239.0,3115.0,3501.0,2872.0,2925.0,2468.0,3021.0,3550.0
Other,9273.0,10314.0,11616.0,11363.0,11641.0,12253.0,12457.0,12796.0,13837.0,14981.0
Overgrown/Fallen Veg/Trees,2788.0,4839.0,6514.0,7663.0,8769.0,9682.0,10827.0,12977.0,16515.0,19675.0
Parking,4083.0,4893.0,5534.0,5729.0,5455.0,5396.0,5265.0,4847.0,4668.0,4733.0
Pavement /Footway Defects,6737.0,8818.0,9099.0,9999.0,11107.0,11096.0,11383.0,13570.0,14658.0,19763.0
Property Damage,11.0,13.0,16.0,24.0,26.0,24.0,25.0,51.0,63.0,71.0
Public Toilets,70.0,75.0,94.0,112.0,91.0,92.0,122.0,91.0,97.0,132.0
Retaining Wall,28.0,20.0,34.0,40.0,25.0,8.0,18.0,32.0,25.0,47.0
Right of Way,1688.0,2446.0,3332.0,4548.0,5199.0,4717.0,5382.0,5520.0,6816.0,6717.0
Road Safety,4132.0,5259.0,6456.0,7476.0,7889.0,8895.0,9631.0,10855.0,12609.0,16484.0
Road Surface Defects,16330.0,21584.0,28134.0,34890.0,39038.0,45514.0,51918.0,66266.0,85500.0,100368.0
Rubbish,36989.0,47933.0,59950.0,60415.0,54995.0,50816.0,48117.0,37971.0,39633.0,44576.0
Street Furniture,956.0,3753.0,4391.0,4607.0,6776.0,4042.0,4736.0,5504.0,5586.0,5746.0
Street Lights,11551.0,12781.0,14393.0,16173.0,17870.0,18851.0,18702.0,22240.0,22111.0,29827.0
Utility Works,134.0,281.0,274.0,333.0,194.0,272.0,209.0,209.0,273.0,307.0
