SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,366.0,261.0,212.0,194.0,179.0,155.0,133.0,138.0,97.0,69.0
Bus Stops Damage,144.0,104.0,83.0,58.0,66.0,53.0,53.0,52.0,21.0,27.0
Dog Fouling,877.0,421.0,296.0,266.0,238.0,247.0,288.0,215.0,258.0,214.0
Fallen/Dangerous Trees,122.0,116.0,117.0,110.0,137.0,155.0,125.0,111.0,114.0,106.0
Fly-tipping,950.0,1130.0,1028.0,643.0,482.0,445.0,368.0,280.0,315.0,103.0
Flyposting,20.0,25.0,16.0,11.0,17.0,14.0,7.0,6.0,10.0,8.0
Graffiti,230.0,168.0,205.0,120.0,111.0,118.0,76.0,60.0,48.0,45.0
Highway Condition,1668.0,1127.0,1122.0,1033.0,1095.0,1274.0,1150.0,1187.0,949.0,854.0
Open Spaces/Parks,189.0,174.0,158.0,164.0,188.0,133.0,112.0,189.0,133.0,69.0
Other,1074.0,778.0,759.0,606.0,725.0,607.0,543.0,630.0,493.0,416.0
Parking,456.0,325.0,377.0,317.0,245.0,239.0,213.0,176.0,131.0,77.0
Pavement /Footway Defects,1166.0,720.0,710.0,570.0,621.0,629.0,531.0,487.0,522.0,407.0
Potholes,4535.0,3335.0,2788.0,2678.0,2656.0,3743.0,3228.0,3739.0,3459.0,2501.0
Public Toilets,20.0,2.0,7.0,10.0,9.0,3.0,5.0,2.0,3.0,2.0
Rubbish,1063.0,687.0,898.0,556.0,471.0,371.0,248.0,242.0,167.0,108.0
Street Cleaning,362.0,339.0,288.0,241.0,202.0,208.0,125.0,194.0,117.0,76.0
Street Lights,1865.0,1216.0,1141.0,1151.0,1144.0,1298.0,1084.0,1281.0,1026.0,1048.0
Street Name Plates,50.0,38.0,30.0,34.0,39.0,50.0,39.0,44.0,43.0,30.0
Street Signs,490.0,261.0,207.0,202.0,215.0,246.0,223.0,168.0,221.0,113.0
Traffic Lights,515.0,256.0,191.0,159.0,134.0,134.0,110.0,92.0,86.0,63.0
