SHEF_B,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Abandoned Vehicles,5767,5118,5475,4989,5321,5926,6675,6450,6585,6476,6184,5270
Bridge/Culvert Defects,224,246,175,175,204,222,199,210,243,332,329,356
Bus Stops Damage,570,573,525,414,424,500,492,610,537,609,688,508
Dangerous Building/Structure,59,49,60,49,53,59,59,60,86,70,63,56
Dog Fouling,4313,4056,3662,2478,1705,1833,1760,1720,2136,2335,2214,2508
Environmental Health,611,506,482,496,505,695,843,728,695,668,551,471
Fences,44,46,52,39,30,43,44,22,42,22,37,38
Gritting,456,284,108,31,26,25,23,31,47,85,143,269
Grounds Maintenance,393,357,332,225,250,388,419,451,474,524,505,369
Open Spaces/Parks,1744,1808,2057,2454,3511,4711,4187,3457,3019,2338,1766,1530
Other,10753,9933,10785,9649,10267,12603,13276,12329,11086,10531,10304,9688
Parking,4393,4531,4722,3898,4262,4839,5064,4588,5191,5172,4888,4045
Pavement /Footway Defects,9942,9497,9627,8668,9861,12883,13399,11961,11932,10578,10087,8362
Property Damage,38,39,31,22,28,29,26,20,26,22,24,19
Public Toilets,95,103,83,96,94,104,115,104,101,74,60,61
Retaining Wall,21,22,20,26,17,16,30,25,33,23,24,20
Right of Way,3169,3356,2710,2246,3258,5066,5347,5112,4844,4184,3861,3212
Road Safety,8437,8108,7658,6566,6740,7507,7926,7857,8647,8993,9196,7705
Road Surface Defects,71585,80278,79399,50846,37290,33057,27470,25915,25923,27708,31746,42022
Rubbish,40881,36623,40268,38643,37968,42959,49537,46897,46633,42912,43343,40334
Street Furniture,3973,3224,3365,2841,3170,3547,3969,3855,4286,4176,5434,4939
Street Lights,25662,18133,15119,10044,8574,8284,9450,12355,17420,24707,29494,24322
Utility Works,196,199,188,170,163,202,217,217,231,256,220,227
