year,1,2,3,4,5,6,7,8,9,10
2007,134,78,58,66,65,64,71,71,89,81
2008,557,412,341,351,369,366,304,399,438,472
2009,603,432,419,315,407,423,365,395,435,369
2010,786,577,448,476,458,514,472,622,593,628
2011,1282,791,739,640,694,629,750,868,825,821
2012,1213,719,519,506,600,557,620,681,586,555
2013,1176,629,463,490,600,623,595,699,623,612
2014,1144,542,535,432,560,571,606,613,576,562
2015,1348,674,554,509,561,610,558,649,570,658
2016,1500,800,673,696,671,735,829,998,830,796
2017,1731,908,628,682,607,767,865,864,808,726
2018,1871,1260,807,1131,958,1137,1429,1461,1130,982
2019,1998,1073,715,735,707,787,1027,1053,920,744
2020,2193,1182,951,999,764,849,1228,1381,1027,927
