SHEF_A,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Abandoned Vehicles,637.0,901.0,1077.0,992.0,1447.0,1829.0,1763.0,2726.0,4723.0,8664.0,9884.0,9845.0,11972.0,13776.0
Accumulated Litter,,,,,,354.0,684.0,763.0,522.0,288.0,291.0,1041.0,1863.0,1641.0
Admin,,,,,,,,,,1249.0,131.0,,,
Barriers/Bollards on RoW,,,1.0,2.0,,5.0,20.0,16.0,9.0,28.0,18.0,148.0,209.0,306.0
Benches/Bicycle Racks,,,1.0,1.0,3.0,3.0,2.0,5.0,,14.0,10.0,25.0,53.0,41.0
Bin Collection,,,1.0,1.0,74.0,126.0,133.0,155.0,48.0,11.0,8.0,7.0,30.0,22.0
Bin Repair/Replacement,,,,,,,,,,75.0,75.0,154.0,338.0,558.0
Blocked Drains,,,13.0,29.0,155.0,677.0,1169.0,2505.0,2086.0,2342.0,2004.0,6811.0,10664.0,12811.0
Bridge/Culvert Defects,,,,,,,9.0,29.0,132.0,124.0,153.0,311.0,812.0,1345.0
Broken Fire Hydrant,,,,,,,,,1.0,,,,1.0,
Broken Kerbs,,,,,,2.0,,,,,,238.0,698.0,996.0
Bus Stops Damage,45.0,158.0,187.0,173.0,179.0,203.0,221.0,268.0,517.0,616.0,700.0,840.0,1258.0,1085.0
C.C.T.V Faults,,,,,,,,,,,2.0,,1.0,
Countryside RoW,,,,,2.0,5.0,4.0,4.0,4.0,6.0,3.0,4.0,1.0,1.0
Dangerous Building/Structure,,,,,70.0,136.0,164.0,195.0,42.0,,,,,
Dead Animals,,,1.0,,18.0,115.0,282.0,483.0,603.0,798.0,752.0,971.0,1135.0,1839.0
Debris/Spillage,,,,,,1.0,97.0,256.0,481.0,442.0,393.0,144.0,433.0,742.0
Demo,,,,,,,,,,,7.0,11.0,6.0,19.0
Discarded Syringes,,,,,,1.0,6.0,22.0,7.0,24.0,42.0,38.0,21.0,16.0
Dog Fouling,585.0,1358.0,1473.0,1524.0,1582.0,2218.0,2144.0,1999.0,2290.0,2606.0,2716.0,3271.0,3295.0,3659.0
Dog Litter Bin,,,,,,7.0,15.0,20.0,30.0,19.0,12.0,13.0,49.0,141.0
Dumped Rubbish,,,,,538.0,1949.0,3207.0,6159.0,4987.0,5062.0,4779.0,3882.0,,
Environmental Health,,,,,,,3.0,7.0,1.0,4.0,3.0,48.0,77.0,65.0
Fallen/Dangerous Trees,203.0,459.0,973.0,1047.0,1162.0,1186.0,1439.0,2276.0,3202.0,3319.0,4134.0,5577.0,8384.0,13242.0
Fences,,,,,,,13.0,23.0,95.0,103.0,80.0,5.0,32.0,108.0
Flooding,,,,,,1.0,,41.0,203.0,379.0,213.0,874.0,3285.0,4234.0
Floral displays,,,,,,1.0,14.0,29.0,36.0,31.0,32.0,26.0,,
Fly-tipping,805.0,1630.0,2626.0,3275.0,3784.0,4678.0,7036.0,9756.0,19914.0,30700.0,32223.0,38949.0,64401.0,92901.0
Flyposting,20.0,90.0,197.0,233.0,271.0,425.0,304.0,462.0,683.0,938.0,641.0,824.0,1352.0,1005.0
Garden Waste,,,,,,,,,,2817.0,118.0,99.0,165.0,276.0
Gates/Stiles RoW,,,,,,,,5.0,3.0,,,,85.0,250.0
General Highways Enquiries,,,,,,373.0,1095.0,1102.0,641.0,603.0,969.0,910.0,1193.0,1464.0
Graffiti,655.0,1396.0,1644.0,1633.0,1781.0,2315.0,1947.0,2776.0,4074.0,3871.0,4190.0,4759.0,6909.0,10664.0
Grass/Weed Control,,,,,6.0,139.0,572.0,1017.0,1439.0,2234.0,2072.0,3097.0,3366.0,4319.0
Grids and Drains,,,,,,,,,,14.0,15.0,37.0,68.0,164.0
Grit Bins,,,,,,,,,,11.0,17.0,185.0,335.0,193.0
